StartYear,DebtEnergy,DebtDiscountedEnergy,DebtEnd,EquityEnd,EquityEnergy,EquityDiscountedEnergy,DebtAvEnergy,EquityAvEnergy
1940,15108.47584445429,5630.038056105416,1957,1964,21605.559451303077,5986.467587883694,839.3597691363494,864.2223780521231
1941,15184.515445251705,5601.816446298302,1958,1965,21639.243358267948,5957.5551884085935,843.5841914028725,865.5697343307179
1942,15326.782438656528,5735.346782599112,1959,1966,21806.910822397993,6097.58590104711,851.487913258696,872.2764328959197
1943,15504.96633672966,5847.196589231061,1960,1967,22087.03446224501,6215.030767726426,861.3870187072033,883.4813784898004
1944,15687.863565724789,5879.238865216804,1961,1968,22294.957251525237,6245.22435848086,871.5479758735994,891.7982900610094
1945,15961.168286702703,5959.94715457165,1962,1969,22541.637111638596,6318.704683283273,886.7315714834835,901.6654844655438
1946,16147.050251570732,6049.391600381082,1963,1970,22686.671420466457,6404.670685621539,897.0583473094852,907.4668568186582
1947,16138.862622865478,6052.530282912183,1964,1971,22671.890752909243,6411.778763224031,896.6034790480821,906.8756301163697
1948,16081.882605086103,5979.483053262589,1965,1972,22439.377020946322,6336.2673821834705,893.4379225047835,897.5750808378529
1949,16401.97983993154,6347.317978196344,1966,1973,22821.62949542721,6710.570508929291,911.2211022184189,912.8651798170883
1950,16582.55247425247,6445.952648710612,1967,1974,22946.793270098864,6803.5437416638115,921.2529152362482,917.8717308039545
1951,16737.907513497994,6509.680943458882,1968,1975,23000.62724704566,6858.014800469373,929.8837507498886,920.0250898818264
1952,16835.63278101861,6511.183624263382,1969,1976,23009.485162613877,6849.01139288442,935.3129322788116,920.379406504555
1953,16860.269520446334,6541.060531057896,1970,1977,23176.045365690683,6881.024191266488,936.6816400247964,927.0418146276273
1954,16817.426121398836,6585.06474799511,1971,1978,23334.064218122156,6934.330132197086,934.3014511888242,933.3625687248863
1955,16567.999819982895,6556.136607194816,1972,1979,23406.05821794117,6928.980589329589,920.4444344434942,936.2423287176467
1956,16489.164208437967,6485.994097046988,1973,1980,23327.04501385431,6861.933194149559,916.0646782465537,933.0818005541723
1957,16570.87823424461,6550.314056778281,1974,1981,23143.517697065075,6918.37760240228,920.6043463469227,925.740707882603
1958,16501.777066269457,6478.887211340199,1975,1982,22877.047603246687,6841.803381788822,916.7653925705254,915.0819041298674
1959,16533.204646930793,6493.46786970213,1976,1983,22677.74421626695,6848.262955386684,918.5113692739329,907.109768650678
1960,16774.25428613593,6619.538628567943,1977,1984,22617.062932897425,6955.285586315683,931.9030158964405,904.682517315897
1961,16913.173161172886,6672.014888957978,1978,1985,22423.635005743785,6986.1554653275825,939.6207311762714,896.9454002297514
1962,16926.64777034444,6618.700236564013,1979,1986,22245.972124416,6914.605172040037,940.3693205746911,889.83888497664
1963,16782.132217306586,6482.598066583485,1980,1987,21957.340746840728,6765.039180003896,932.3406787392547,878.2936298736291
1964,16501.980281145563,6410.6425225085295,1981,1988,21881.560496239443,6702.970752115003,916.7766822858646,875.2624198495777
1965,16379.963996397899,6466.046144913659,1982,1989,21670.976051419508,6757.11331923956,909.9979997998832,866.8390420567803
1966,16223.016303250708,6505.968811454059,1983,1990,21540.089143198038,6800.488846192801,901.2786835139282,861.6035657279215
1967,16136.934549155962,6576.665556713426,1984,1991,21260.028628480937,6864.358310529707,896.4963638419979,850.4011451392375
1968,15841.566880228427,6474.596531988636,1985,1992,20996.412837005926,6765.467624199806,880.0870489015792,839.856513480237
1969,15638.878438615546,6345.128110928704,1986,1993,20589.1442335934,6624.88789918952,868.8265799230859,823.5657693437361
1970,15376.871921904829,6185.216621309611,1987,1994,20035.183451675555,6452.283693357277,854.270662328046,801.4073380670222
1971,15341.939327343709,6134.620084993675,1988,1995,19518.437427209632,6373.444940304843,852.3299626302061,780.7374970883852
1972,15137.947921375744,6147.972061640245,1989,1996,19323.985000584136,6386.073867739517,840.9971067430969,772.9594000233654
1973,15182.594727337819,6344.469108548911,1990,1997,19431.635966964328,6577.858253435883,843.477484852101,777.2654386785731
1974,14840.378972985269,6301.4367244534005,1991,1998,19323.644416221596,6545.0370578438615,824.4654984991816,772.9457766488638
1975,14632.172041159534,6224.754134854005,1992,1999,19107.783289894454,6461.700978412499,812.8984467310852,764.3113315957781
1976,14326.424500045738,6155.547782924059,1993,2000,19036.282818333842,6400.488731548366,795.9124722247632,761.4513127333537
1977,13861.331070080289,6042.266589869466,1994,2001,18883.457879800622,6307.330981101589,770.0739483377938,755.3383151920249
1978,13202.661581965283,5762.242625426947,1995,2002,18653.668070143467,6058.519941984873,733.4811989980712,746.1467228057387
1979,12807.346903860815,5489.632812051621,1996,2003,18474.099592238188,5800.455469239553,711.519272436712,738.9639836895275
1980,12593.57756900605,5223.600342576561,1997,2004,18212.79900849749,5533.103278650739,699.6431982781139,728.5119603398997
1981,12485.76361080525,5034.407366823363,1998,2005,18128.10300993019,5344.580677603559,693.653533933625,725.1241203972075
1982,12535.143827073984,5071.986644753447,1999,2006,18352.22382940408,5392.308122768832,696.396879281888,734.0889531761632
1983,12661.012281356609,5078.607050681141,2000,2007,18556.820192251904,5400.411515299222,703.3895711864783,742.2728076900762
1984,12738.918310464465,5098.143187042683,2001,2008,18767.086072470815,5427.206691671183,707.7176839146925,750.6834428988326
1985,12810.859423381977,5063.345297559775,2002,2009,18973.554829615197,5398.067196867383,711.7144124101098,758.9421931846078
1986,12963.637747667295,5088.148114486502,2003,2010,19246.157110273143,5427.319598850674,720.2020970926275,769.8462844109257
1987,12893.474654425941,4977.284171000629,2004,2011,19341.938082365723,5329.602278683619,716.3041474681079,773.6775232946289
1988,12952.894480396051,4919.025224627489,2005,2012,19469.218832642942,5278.658398579595,719.6052489108918,778.7687533057177
1989,12972.643614310198,4720.507668335713,2006,2013,19543.59656340579,5083.378474348355,720.7024230172333,781.7438625362316
1990,13265.808137230302,4783.57547259797,2007,2014,19697.363646731283,5142.12605412366,736.989340957239,787.8945458692513
1991,13450.013232523494,4741.186626114894,2008,2015,19747.242923052825,5095.515932508632,747.2229573624163,789.889716922113
1992,13850.460750290227,4888.421927838504,2009,2016,20030.35710597693,5235.599442645965,769.4700416827905,801.2142842390772
