WaterYear,Flow_max,Flow_min,EWRProportion_max,EWRProportion_min,HeadTurbine1_max,HeadTurbine1_min,PowerTurbine1_max,LevelTailwater_max,LevelTailwater_min,Power_max,Power_min,Energy,CapFactor,Prop4Units,Prop3Units,Prop2Units,Prop1Units,Prop0Units,Days0Units,Exceedance
1934,3278.6645629042023,178.2793688535273,0.5221265790467693,0.07158511310109213,25.43600491785945,15.044750735054619,58.62140999562312,974.2145395771963,964.3985022799416,58.62140999562312,18.498304066154613,394159.95381171454,0.2499746028739945,0,0,0,1.0,0.0,0,0.45
1935,2496.800686844093,189.23960472725517,0.4914404684687322,0.061776340307242585,25.42904471556579,16.817877005248608,60.180344638097665,972.4414133070024,964.407469860292,60.180344638097665,20.279715743585047,393841.56530502974,0.24977268220765458,0,0,0,1.0027397260273974,0.0,0,0.45
1936,3600.306705040052,201.17011281861926,0.5438621230113355,0.05018735452937796,25.12608630142817,14.393467027233285,59.34368754899339,974.8658232850177,964.7062133951467,59.34368754899339,21.938060443046144,377319.97588447935,0.23929475893231822,0,0,0,1.0,0.0,0,0.8
1937,3227.9047484993603,224.67104686473823,0.5509695261471764,0.04585017574288852,25.06532149032516,15.151240257707355,58.81845765646239,974.1080500545436,964.7179669028592,58.81845765646239,26.10241510574223,403174.57035122695,0.25569163517962135,0,0,0,1.0,0.0,0,0.35000000000000003
1938,2873.0524012848505,220.53049583159046,0.4995886136944385,0.07005249112451256,25.07860418649529,15.927121202676132,59.83008964891336,973.3321691095747,964.7139035738527,59.83008964891336,25.37584738855323,398151.79691440356,0.2525062131623564,0,0,0,1.0,0.0,0,0.4
1939,5259.545195770601,214.75310038088367,0.5376285669324958,0.04672621341938372,25.095388759610227,11.562681367441044,59.75885010948896,977.7242467860423,964.7095807268092,59.75885010948896,25.307516556522714,388772.8676676856,0.24655813525347894,0,0,0,1.0027397260273974,0.0,0,0.55
1940,3355.9174512398436,224.67104686473823,0.5252123121633966,0.054530542737989775,25.10789020723723,14.884688722027548,59.83008964891336,974.3746015902234,964.7179669028592,59.83008964891336,22.448484404424647,410685.4182124962,0.2604549836456724,0,0,0,1.0,0.0,0,0.2
1941,2187.823512835168,189.23960472725517,0.4821789809675057,0.06764713841483905,25.387793187475328,17.611872451064144,60.4717223942609,971.6474178611867,964.3985022799416,60.4717223942609,21.938060443046144,393898.5542550972,0.2498088243626948,0,0,0,1.0,0.0,0,0.45
1942,1707.8301963432584,171.1379824381925,0.4559546776568619,0.08665966927911921,25.390715534276705,18.984702491362512,60.521134781941754,970.2745878208883,964.3985022799416,60.521134781941754,24.85203452061397,403864.7947192009,0.2561293726022329,0,0,0,1.0,0.0,0,0.30000000000000004
1943,2542.9744128795624,178.2793688535273,0.4570738376467937,0.08093376915587656,25.426598754884147,16.70434558108964,60.180344638097665,972.5549447311612,964.3985022799416,60.180344638097665,22.403650357174893,381205.1867188703,0.24175874347975032,0,0,0,1.0027397260273974,0.0,0,0.7000000000000001
1944,3886.053218431513,192.89523707448373,0.5465290723543582,0.059651366422558826,25.390715534276705,13.845953105574338,57.68565234364087,975.4133372066766,964.3985022799416,57.68565234364087,24.370073346707848,382175.172007057,0.24237390411406456,0,0,0,1.0,0.0,0,0.7000000000000001
1945,1589.152359062425,194.7956741845264,0.487210574194934,0.09541273251312553,25.437889857510857,19.355542834161113,59.83008964891336,969.9037474780896,964.3985022799416,59.83008964891336,21.745247813886994,394951.5663695552,0.25047664026481176,0,0,0,1.0,0.0,0,0.45
1946,4629.081161917657,192.89523707448373,0.4831464060712186,0.04690866465601761,25.390715534276705,12.53751527247671,60.180344638097665,976.7217750397743,964.3985022799416,60.180344638097665,26.07050134400107,388004.497431825,0.24607083804656582,0,0,0,1.0,0.0,0,0.6000000000000001
1947,6170.049530809099,261.382924552137,0.4865871740961382,0.03873550752009265,24.93097648234209,10.326688422725582,59.3599023655685,979.0342701067267,964.7827075018073,59.3599023655685,22.48282881713783,379584.02099482715,0.24073060692213796,0,0,0,1.0027397260273974,0.0,0,0.75
1948,905.4211927358452,192.89523707448373,0.471758667451502,0.13729101014335654,25.426598754884147,21.812429457658553,59.96189320164477,967.4468608545924,964.3985022799416,59.96189320164477,21.713754569292306,432905.2952815858,0.2745467372409854,0,0,0,1.0,0.0,0,0.05
1949,5186.55444773476,171.1379824381925,0.5350733899864419,0.031234608955229205,25.38870217496677,11.668422168203008,59.347131690364606,977.6125713265303,964.3985022799416,59.347131690364606,20.649072018601434,361686.21751826745,0.22937989441797785,0,0,0,1.0,0.0,0,1.0
1950,4401.902674556776,192.89523707448373,0.504083003920991,0.05300893207969328,25.390715534276705,12.921560225697204,59.03294320520085,976.3377300865536,964.3985022799416,59.03294320520085,26.07050134400107,389849.810383681,0.24724112784353183,0,0,0,1.0,0.0,0,0.55
