WaterYear,Flow_max,Flow_min,EWRProportion_max,EWRProportion_min,HeadTurbine1_max,HeadTurbine1_min,PowerTurbine1_max,LevelTailwater_max,LevelTailwater_min,Power_max,Power_min,Energy,CapFactor,Prop4Units,Prop3Units,Prop2Units,Prop1Units,Prop0Units,Days0Units,Exceedance
1934,3278.6645629042023,178.2793688535273,0.5221265790467693,0.07158511310109213,19.859276022365673,18.063098006885255,47.04921906663933,970,970,178.94556104082417,14.445471230143301,826510.1698434622,0.5241693111640425,0.33424657534246577,0.10410958904109589,0.19726027397260273,0.3643835616438356,0.0,0,0.55
1935,2496.800686844093,189.23960472725517,0.4914404684687322,0.061776340307242585,19.847216934748605,18.063098006885255,47.63393986200699,970,970,179.08877438553122,15.829833970742257,760780.4315493803,0.48248378459499003,0.28493150684931506,0.10684931506849316,0.18356164383561643,0.4273972602739726,0.0,0,0.8
1936,3600.306705040052,201.17011281861926,0.5438621230113355,0.05018735452937796,19.832421655737946,18.063098006885255,47.238768086155126,970,970,180.35647915046118,17.316061872748804,856702.1655310302,0.5433169492205925,0.3917808219178082,0.06301369863013699,0.16712328767123288,0.3780821917808219,0.0,0,0.45
1937,3227.9047484993603,224.67104686473823,0.5509695261471764,0.04585017574288852,19.794929751847032,18.063098006885255,46.769802000996215,970,970,178.91093028587449,20.621404751786454,781391.5280800717,0.49555525626590036,0.2958904109589041,0.11506849315068493,0.2191780821917808,0.3698630136986301,0.0,0,0.75
1938,2873.0524012848505,220.53049583159046,0.4995886136944385,0.07005249112451256,19.802329736962776,18.063098006885255,47.60575138742672,970,970,180.73696226308337,20.044544776784985,781780.2206946259,0.49580176350496313,0.30684931506849317,0.09315068493150686,0.1917808219178082,0.40821917808219177,0.0,0,0.7000000000000001
1939,5259.545195770601,214.75310038088367,0.5376285669324958,0.04672621341938372,19.80496948641946,18.063098006885255,47.392785719899756,970,970,179.0614365354742,19.97237811217603,921011.7486329294,0.5841018192750694,0.410958904109589,0.1178082191780822,0.1780821917808219,0.2958904109589041,0.0,0,0.25
1940,3355.9174512398436,224.67104686473823,0.5252123121633966,0.054530542737989775,19.82585711009619,18.063098006885255,47.60575138742672,970,970,180.73696226308337,17.72591963987716,832401.3228139288,0.5279054558688031,0.36164383561643837,0.0547945205479452,0.20273972602739726,0.38082191780821917,0.0,0,0.55
1941,2187.823512835168,189.23960472725517,0.4821789809675057,0.06764713841483905,19.832421655737946,18.063098006885255,47.657256607773895,970,970,180.6067790876991,17.316061872748804,681281.6413407667,0.43206598258546847,0.2191780821917808,0.10410958904109589,0.2191780821917808,0.4575342465753425,0.0,0,0.9500000000000001
1942,1707.8301963432584,171.1379824381925,0.4559546776568619,0.08665966927911921,19.809841724976625,18.063098006885255,47.60575138742672,970,970,179.4019252810709,19.611439830243352,724174.7005987826,0.45926858231784795,0.2493150684931507,0.09315068493150686,0.2547945205479452,0.40273972602739727,0.0,0,0.8500000000000001
1943,2542.9744128795624,178.2793688535273,0.4570738376467937,0.08093376915587656,19.832663267892283,18.063098006885255,47.63393986200699,970,970,179.18657003151097,17.500665257938422,815723.3390989406,0.5173283479825853,0.3561643835616438,0.07397260273972603,0.15616438356164383,0.41643835616438357,0.0,0,0.65
1944,3886.053218431513,192.89523707448373,0.5465290723543582,0.059651366422558826,19.81227624804036,18.063098006885255,46.63968979410672,970,970,178.9440244518837,19.246802910002785,782105.2137295108,0.4960078727356106,0.3041095890410959,0.10136986301369863,0.20821917808219179,0.3863013698630137,0.0,0,0.7000000000000001
1945,1589.152359062425,194.7956741845264,0.487210574194934,0.09541273251312553,19.836392137452425,18.063098006885255,47.60575138742672,970,970,180.73696226308337,16.974110380595665,778222.7409994062,0.4935456246825255,0.3041095890410959,0.12054794520547946,0.1506849315068493,0.4246575342465753,0.0,0,0.75
1946,4629.081161917657,192.89523707448373,0.4831464060712186,0.04690866465601761,19.802789970479406,18.063098006885255,47.63393986200699,970,970,178.87201788004634,20.33347299161169,856280.9256728203,0.5430498006550103,0.3589041095890411,0.1178082191780822,0.18082191780821918,0.3424657534246575,0.0,0,0.45
1947,6170.049530809099,261.382924552137,0.4865871740961382,0.03873550752009265,19.73579731226525,18.063098006885255,47.37516750892597,970,970,178.9700763125502,24.884100879468864,922999.3850981621,0.5853623700521069,0.4054794520547945,0.10136986301369863,0.1780821917808219,0.3178082191780822,0.0,0,0.25
1948,905.4211927358452,192.89523707448373,0.471758667451502,0.13729101014335654,19.83710700388378,18.91930755814759,47.57833638610301,970,970,133.43114976869236,16.941913776637318,530168.4993194162,0.3362306565952665,0.0,0.1917808219178082,0.3506849315068493,0.4575342465753425,0.0,0,1.0
1949,5186.55444773476,171.1379824381925,0.5350733899864419,0.031234608955229205,19.84598256259213,18.063098006885255,47.639399178298255,970,970,178.9440244518837,16.141081981690913,825736.9415189592,0.5236789329775237,0.36164383561643837,0.06027397260273973,0.1780821917808219,0.4,0.0,0,0.55
