Name,Scheme,Return,Exceedance,Flow,Area_ha,Houses
P6a_D5_03_R1000,D5.03-A,R1000,0.000218517,12212,6840.1543,816
P6a_CFL_Q90,CFL,Q90,0.899599151,235,2044.9554,26
P6a_CFL_Q50,CFL,Q50,0.500388502,569,2045.4695,26
P6a_CFL_Q25,CFL,Q25,0.249994078,1366,2055.1067,26
P6a_CFL_R2,CFL,R2,0.061671186,3418,2340.7737,26
P6a_CFL_R5,CFL,R5,0.015179177,5124,4708.441,292
P6a_CFL_R10,CFL,R10,0.007376213,6218,5342.8179,391
P6a_CFL_R15,CFL,R15,0.006257386,6724,5544.7106,417
P6a_CFL_R20,CFL,R20,0.005357748,7231,5743.1486,440
P6a_CFL_R50,CFL,R50,0.003623349,8489,6154.2493,515
P7_No_Weir_Q90,No Weir B,Q90,0.899599151,235,1599.6876,0
P7_No_weir_Q50,No Weir B,Q50,0.500388502,569,1631.5903,0
P7_No_weir_Q25,No Weir B,Q25,0.249994078,1366,1663.7808,2
P7_No_weir_R2,No Weir B,R2,0.061671186,3418,1894.4162,2
P7_No_weir_R5,No Weir B,R5,0.015179177,5124,4281.7021,244
P7_No_weir_R10,No Weir B,R10,0.007376213,6218,5079.8651,353
P7_No_weir_R15,No Weir B,R15,0.006257386,6724,5307.1953,384
P7_No_weir_R20,No Weir B,R20,0.005357748,7231,5509.1646,403
P7_No_weir_R50,No Weir B,R50,0.003623349,8489,5921.7395,465
P7_No_weir_R100,No Weir B,R100,0.002627514,9395,6162.1184,510
P7_D3.03B_Q90,D3.03 B,Q90,0.899599151,235,1839.2769,5
P7_D3.03B_Q50,D3.03 B,Q50,0.500388502,569,1849.6311,5
P7_D3.03B_Q25,D3.03 B,Q25,0.249994078,1366,1867.3511,5
P7_D3.03B_R2,D3.03 B,R2,0.061671186,3418,2223.3041,5
P7_D3.03B_R5,D3.03 B,R5,0.015179177,5124,4488.4811,258
P7_D3.03B_R10,D3.03 B,R10,0.007376213,6218,5155.8199,359
P7_D3.03B_R15,D3.03 B,R15,0.006257386,6724,5372.1911,391
P7_D3.03B_R20,D3.03 B,R20,0.005357748,7231,5567.1448,409
P7_D3.03B_R50,D3.03 B,R50,0.003623349,8489,5972.8485,477
P7_D3.03B_R100,D3.03 B,R100,0.002627514,9395,6208.4374,538
P7_CFL-B_Q90,CFL B,Q90,0.899599151,235,2035.3406,26
P7_CFL-B_Q50,CFL B,Q50,0.500388502,569,2035.4598,26
P7_CFL-B_Q25,CFL B,Q25,0.249994078,1366,2042.5871,22
P7_CFL-B_R2,CFL B,R2,0.061671186,3418,2352.7012,20
P7_CFL-B_R5,CFL B,R5,0.015179177,5124,4697.3869,283
P7_CFL-B_R10,CFL B,R10,0.007376213,6218,5351.8306,393
P7_CFL-B_R15,CFL B,R15,0.006257386,6724,5568.5847,425
P7_CFL-B_R20,CFL B,R20,0.005357748,7231,5763.6047,448
P7_CFL-B_R50,CFL B,R50,0.003623349,8489,6179.8552,544
P7_CFL-B_R100,CFL B,R100,0.002627514,9395,6426.5712,634
P7_D3.03C_R100,D3.03 C,R100,0.002627514,9395,6204.429733,535
