Exceedance,VicFalls_full,Ngonye_gauged,Ngonye_synthetic,Conversion,,Exceedance,VicFalls_full,Ngonye_gauged,Ngonye_synthetic,Conversion,,Ngonye_synthetic dx,%
0.016,4932.0805,4738.5808,5110.454412,1.036166058,,0.016,4932.0805,4738.5808,5044.696093,1.036166058,,-65.75831943,1.30%
0.017,4866.3108,4672.6183,5008.694157,1.029258994,,0.017,4866.3108,4672.6183,4967.490886,1.029258994,,-41.20327063,0.83%
0.018,4814.0403,4646.3417,4949.603781,1.028160022,,0.018,4814.0403,4646.3417,4856.042746,1.028160022,,-93.56103514,1.93%
0.019,4762.0068,4573.6544,4838.446655,1.016052026,,0.019,4762.0068,4573.6544,4784.241393,1.016052026,,-54.20526208,1.13%
0.02,4692.9981,4526.1725,4760.069741,1.014291853,,0.02,4692.9981,4526.1725,4719.752686,1.014291853,,-40.31705451,0.85%
0.021,4641.5191,4478.3988,4685.510192,1.009477736,,0.021,4641.5191,4478.3988,4611.983718,1.009477736,,-73.52647409,1.59%
0.022,4590.2785,4412.2718,4594.912801,1.00100959,,0.022,4590.2785,4412.2718,4542.047335,1.00100959,,-52.86546556,1.16%
0.023,4556.2508,4364.6335,4525.309128,0.993176832,,0.023,4556.2508,4364.6335,4525.162733,0.993176832,,-0.146394603,0.00%
0.024,4512.8455,4358.2728,4506.92188,0.998417694,,0.024,4512.8455,4358.2728,4501.386001,0.998417694,,-5.535879127,0.12%
0.025,4488.5142,4346.2425,4491.976493,0.999107207,,0.025,4488.5142,4346.2425,4486.476932,0.999107207,,-5.499560855,0.12%
0.026,4437.9913,4333.699,4462.335029,1.005485303,,0.026,4437.9913,4333.699,4462.335029,1.005485303,,-8.71096E-08,0.00%
0.027,4404.4427,4299.4605,4415.415344,1.002491267,,0.027,4404.4427,4299.4605,4415.415344,1.002491267,,9.79981E-09,0.00%
0.028,4371.001,4283.6688,4385.141126,1.003234986,,0.028,4371.001,4283.6688,4385.141126,1.003234986,,3.20297E-08,0.00%
0.029,4337.6663,4252.5173,4336.075193,0.999633188,,0.029,4337.6663,4252.5173,4339.088529,0.999633188,,3.013336464,0.07%
0.03,4321.0391,4237.4742,4305.170853,0.996327678,,0.03,4321.0391,4237.4742,4305.170853,0.996327678,,-2.88999E-07,0.00%
0.031,4256.8747,4204.3311,4253.107974,0.999115143,,0.031,4256.8747,4204.3311,4267.820444,0.999115143,,14.71246975,0.34%
0.032,4203.5996,4165.0832,4193.756222,0.997658346,,0.032,4203.5996,4165.0832,4214.52857,0.997658346,,20.77234835,0.49%
0.033,4156.6796,4128.8163,4140.756949,0.996169382,,0.033,4156.6796,4128.8163,4170.664345,0.996169382,,29.90739584,0.72%
0.034,4104.5596,4085.9377,4082.818023,0.99375289,,0.034,4104.5596,4085.9377,4110.977626,0.99375289,,28.15960258,0.68%
0.035,4057.9837,4058.3465,4051.545961,0.994835562,,0.035,4057.9837,4058.3465,4065.072699,0.994835562,,13.52673765,0.33%
0.036,4018.9229,4046.8965,4027.022077,0.999642946,,0.036,4018.9229,4046.8965,4041.137057,0.999642946,,14.11498025,0.35%
0.037,3960.7774,4027.0423,3988.05126,1.006885987,,0.037,3960.7774,4027.0423,4027.022077,1.006885987,,38.97081729,0.97%
0.038,3922.3099,4000.4964,3969.276649,1.00743304,,0.038,3922.3099,4000.4964,3988.05126,1.00743304,,18.774611,0.47%
0.039,3884.0786,3982.9149,3936.514206,1.012083018,,0.039,3884.0786,3982.9149,3970.811433,1.012083018,,34.29722695,0.86%
0.04,3827.1734,3957.2349,3915.559952,1.019341909,,0.04,3827.1734,3957.2349,3939.149939,1.019341909,,23.58998748,0.60%
0.041,3789.5302,3948.0376,3886.053218,1.025470972,,0.041,3789.5302,3948.0376,3922.69145,1.025470972,,36.63823242,0.93%
0.042,3761.6431,3924.6162,3857.302531,1.025430225,,0.042,3761.6431,3924.6162,3901.19824,1.025430225,,43.89570907,1.13%
0.043,3731.5124,3903.8119,3830.75397,1.024952275,,0.043,3731.5124,3903.8119,3886.053218,1.024952275,,55.29924843,1.42%
0.044,3696.4452,3897.8003,3811.676948,1.031173666,,0.044,3696.4452,3897.8003,3846.356144,1.031173666,,34.67919555,0.90%
0.045,3678.0029,3893.6548,3803.114618,1.03401621,,0.045,3678.0029,3893.6548,3826.663622,1.03401621,,23.54900386,0.62%
0.046,3641.2927,3875.9272,3773.14826,1.036211195,,0.046,3641.2927,3875.9272,3811.676948,1.036211195,,38.52868822,1.01%
0.047,3623.0245,3846.8509,3734.259034,1.03070212,,0.047,3623.0245,3846.8509,3800.223422,1.03070212,,65.96438795,1.74%
0.048,3588.6115,3816.004,3692.324235,1.029171959,,0.048,3588.6115,3816.004,3773.14826,1.029171959,,80.82402464,2.14%
0.049,3568.5667,3805.9321,3670.338944,1.028519081,,0.049,3568.5667,3805.9321,3734.259034,1.028519081,,63.92009023,1.71%
0.05,3550.5294,3782.5013,3639.447142,1.025043517,,0.05,3550.5294,3782.5013,3688.949791,1.025043517,,49.50264899,1.34%
0.051,3514.6276,3756.1638,3600.306705,1.024377862,,0.051,3514.6276,3756.1638,3670.338944,1.024377862,,70.03223891,1.91%
0.052,3496.7627,3743.5998,3573.268091,1.02187892,,0.052,3496.7627,3743.5998,3639.447142,1.02187892,,66.17905074,1.82%
0.053,3478.9553,3730.9755,3553.830101,1.021522208,,0.053,3478.9553,3730.9755,3600.306705,1.021522208,,46.47660404,1.29%
0.054,3453.1404,3715.4673,3530.144696,1.021913525,,0.054,3453.1404,3715.4673,3573.268091,1.021913525,,43.12339521,1.21%
0.055,3425.876,3701.4616,3512.065006,1.025158239,,0.055,3425.876,3701.4616,3558.245017,1.025158239,,46.18001139,1.30%
0.056,3408.2305,3685.1161,3496.366436,1.025839689,,0.056,3408.2305,3685.1161,3530.144696,1.025839689,,33.77826033,0.96%
0.057,3378.487,3673.4263,3488.168641,1.031077026,,0.057,3378.487,3673.4263,3524.628422,1.031077026,,36.45978136,1.03%
0.058,3363.674,3666.2324,3478.204646,1.034049271,,0.058,3363.674,3666.2324,3498.793989,1.034049271,,20.58934261,0.59%
0.059,3348.3517,3642.8011,3467.070775,1.03312647,,0.059,3348.3517,3642.8011,3496.150307,1.03312647,,29.07953211,0.83%
0.06,3321.255,3637.1866,3452.248382,1.039440929,,0.06,3321.255,3637.1866,3483.48033,1.039440929,,31.2319475,0.90%
0.061,3304.0166,3624.3853,3441.005216,1.041461237,,0.061,3304.0166,3624.3853,3467.070775,1.041461237,,26.06555871,0.75%
0.062,3304.0166,3619.4296,3441.005216,1.038489805,,0.062,3304.0166,3619.4296,3457.099437,1.038489805,,16.09422124,0.47%
0.063,3286.8346,3613.4037,3417.233059,1.03967296,,0.063,3286.8346,3613.4037,3441.835365,1.03967296,,24.60230576,0.71%
0.064,3269.7091,3607.7663,3405.101513,1.041408091,,0.064,3269.7091,3607.7663,3441.005216,1.041408091,,35.90370301,1.04%
0.065,3252.6399,3590.2993,3381.839586,1.039721485,,0.065,3252.6399,3590.2993,3420.728127,1.039721485,,38.8885414,1.14%
0.066,3235.6269,3571.6357,3355.917451,1.037176892,,0.066,3235.6269,3571.6357,3411.254881,1.037176892,,55.33743015,1.62%
0.067,3218.6702,3556.0991,3332.217132,1.035277591,,0.067,3218.6702,3556.0991,3388.742278,1.035277591,,56.52514568,1.67%
0.068,3201.7695,3544.0245,3313.040641,1.034753014,,0.068,3201.7695,3544.0245,3355.917451,1.034753014,,42.87681024,1.28%
0.069,3186.0438,3525.5087,3281.694709,1.031558685,,0.069,3186.0438,3525.5087,3345.629162,1.031558685,,63.93445264,1.91%
0.07,3168.946,3504.9688,3262.215367,1.029432299,,0.07,3168.946,3504.9688,3313.040641,1.029432299,,50.82527365,1.53%
0.071,3160.3899,3493.7816,3243.067894,1.026160694,,0.071,3160.3899,3493.7816,3289.603717,1.026160694,,46.53582324,1.41%
0.072,3134.7263,3470.3991,3210.822806,1.024275327,,0.072,3134.7263,3470.3991,3278.664563,1.024275327,,67.8417569,2.07%
0.073,3131.9704,3457.8345,3190.389713,1.018652575,,0.073,3131.9704,3457.8345,3243.942279,1.018652575,,53.55256551,1.65%
0.074,3103.7054,3448.9166,3171.125615,1.021722492,,0.074,3103.7054,3448.9166,3222.534985,1.021722492,,51.4093701,1.60%
0.075,3088.1552,3443.1939,3153.332597,1.0217692,,0.075,3088.1552,3443.1939,3210.822806,1.0217692,,57.49020944,1.79%
0.076,3075.5944,3434.6169,3139.322873,1.020504676,,0.076,3075.5944,3434.6169,3185.545389,1.020504676,,46.22251562,1.45%
0.077,3052.1754,3426.0484,3122.545577,1.023055745,,0.077,3052.1754,3426.0484,3169.05743,1.023055745,,46.51185298,1.47%
0.078,3047.6373,3418.0702,3112.623308,1.020051335,,0.078,3047.6373,3418.0702,3139.322873,1.020051335,,26.69956463,0.85%
0.079,3019.8338,3408.9368,3096.220842,1.025295115,,0.079,3019.8338,3408.9368,3132.18399,1.025295115,,35.96314765,1.15%
0.08,3019.5429,3397.2072,3080.14569,1.020070187,,0.08,3019.5429,3397.2072,3112.623308,1.020070187,,32.47761837,1.04%
0.081,3005.1131,3389.0165,3070.286485,1.021787368,,0.081,3005.1131,3389.0165,3108.746496,1.021787368,,38.4600106,1.24%
0.082,2992.1835,3377.6542,3056.460779,1.02148173,,0.082,2992.1835,3377.6542,3080.14569,1.02148173,,23.6849114,0.77%
0.083,2984.8564,3371.9788,3047.063816,1.020895042,,0.083,2984.8564,3371.9788,3079.573802,1.020895042,,32.50998612,1.06%
0.084,2971.0078,3360.39,3032.4708,1.020687593,,0.084,2971.0078,3360.39,3067.476806,1.020687593,,35.00600562,1.14%
0.085,2954.9395,3352.1446,3020.841273,1.022302241,,0.085,2954.9395,3352.1446,3049.547329,1.022302241,,28.70605631,0.94%
0.086,2938.9259,3336.4356,3004.264014,1.02223197,,0.086,2938.9259,3336.4356,3032.509821,1.02223197,,28.24580684,0.93%
0.087,2937.3416,3330.3759,2995.115358,1.019668723,,0.087,2937.3416,3330.3759,3030.805346,1.019668723,,35.68998792,1.18%
0.088,2923.7265,3313.045,2975.524395,1.017716395,,0.088,2923.7265,3313.045,3016.601229,1.017716395,,41.07683393,1.36%
0.089,2922.9672,3304.1697,2963.553345,1.013885255,,0.089,2922.9672,3304.1697,3004.264014,1.013885255,,40.71066851,1.36%
0.09,2907.0632,3303.1006,2959.582773,1.018066196,,0.09,2907.0632,3303.1006,2975.524395,1.018066196,,15.94162172,0.54%
0.091,2891.2138,3289.3091,2942.868342,1.01786604,,0.091,2891.2138,3289.3091,2963.553345,1.01786604,,20.68500265,0.70%
0.092,2875.419,3281.6884,2931.535401,1.019515904,,0.092,2875.419,3281.6884,2959.582773,1.019515904,,28.0473716,0.95%
0.093,2859.6787,3270.3253,2914.698848,1.019239975,,0.093,2859.6787,3270.3253,2942.868342,1.019239975,,28.16949384,0.96%
0.094,2843.9928,3259.7832,2910.273319,1.020159485,,0.094,2843.9928,3259.7832,2931.535401,1.020159485,,21.26208229,0.73%
0.095,2828.3612,3256.0238,2895.45739,1.023722639,,0.095,2828.3612,3256.0238,2914.698848,1.023722639,,19.24145759,0.66%
0.096,2812.7838,3234.0328,2873.052401,1.021426674,,0.096,2812.7838,3234.0328,2913.801047,1.021426674,,40.7486457,1.40%
0.097,2802.899,3214.4606,2853.581718,1.018082249,,0.097,2802.899,3214.4606,2896.607236,1.018082249,,43.02551761,1.49%
0.098,2797.2606,3202.2731,2840.311133,1.015390248,,0.098,2797.2606,3202.2731,2873.052401,1.015390248,,32.74126828,1.14%
0.099,2781.7915,3195.1504,2831.488197,1.017864997,,0.099,2781.7915,3195.1504,2853.581718,1.017864997,,22.09352126,0.77%
0.1,2763.3038,3181.2788,2816.695634,1.019321739,,0.1,2763.3038,3181.2788,2840.311133,1.019321739,,23.61549949,0.83%
0.101,2750.1807,3168.5881,2801.95915,1.01882729,,0.101,2750.1807,3168.5881,2831.488197,1.01882729,,29.52904705,1.04%
0.102,2735.7079,3153.6075,2782.206511,1.016996921,,0.102,2735.7079,3153.6075,2817.134109,1.016996921,,34.92759821,1.24%
0.103,2720.4544,3145.3249,2769.149075,1.017899464,,0.103,2720.4544,3145.3249,2802.809361,1.017899464,,33.66028609,1.20%
0.104,2705.2546,3129.1288,2750.610553,1.016272068,,0.104,2705.2546,3129.1288,2782.206511,1.016272068,,31.5959585,1.14%
0.105,2690.1084,3128.1811,2742.500114,1.019475689,,0.105,2690.1084,3128.1811,2769.149075,1.019475689,,26.6489607,0.96%
0.106,2690.1084,3117.8231,2742.500114,1.013856449,,0.106,2690.1084,3117.8231,2750.610553,1.013856449,,8.110439089,0.29%
0.107,2675.0157,3111.643,2715.94609,1.015300991,,0.107,2675.0157,3111.643,2742.500114,1.015300991,,26.55402425,0.97%
0.108,2659.9765,3106.7871,2708.993474,1.016857657,,0.108,2659.9765,3106.7871,2742.500114,1.016857657,,33.50664025,1.22%
0.109,2644.9907,3102.2906,2697.063906,1.019687482,,0.109,2644.9907,3102.2906,2715.94609,1.019687482,,18.88218418,0.70%
0.11,2630.0582,3090.3287,2680.672991,1.019244742,,0.11,2630.0582,3090.3287,2711.222732,1.019244742,,30.54974103,1.13%
0.111,2615.179,3084.8503,2671.404692,1.021499749,,0.111,2615.179,3084.8503,2697.063906,1.021499749,,25.65921356,0.95%
0.112,2615.179,3076.64,2671.404692,1.015830859,,0.112,2615.179,3076.64,2680.672991,1.015830859,,9.268298962,0.35%
0.113,2600.3529,3068.4383,2645.61905,1.017407695,,0.113,2600.3529,3068.4383,2671.404692,1.017407695,,25.78564213,0.97%
0.114,2595.6253,3059.814,2632.652468,1.014265221,,0.114,2595.6253,3059.814,2671.404692,1.014265221,,38.75222413,1.45%
0.115,2570.8598,3048.7657,2616.952803,1.017929023,,0.115,2570.8598,3048.7657,2645.61905,1.017929023,,28.66624671,1.08%
0.116,2570.388,3045.7597,2606.733061,1.014139912,,0.116,2570.388,3045.7597,2632.652468,1.014139912,,25.91940664,0.98%
0.117,2556.1926,3037.3895,2591.967454,1.013995367,,0.117,2556.1926,3037.3895,2616.952803,1.013995367,,24.98534931,0.95%
0.118,2541.5783,3030.2789,2575.550312,1.013366502,,0.118,2541.5783,3030.2789,2606.733061,1.013366502,,31.18274851,1.20%
0.119,2527.0168,3027.5605,2567.771472,1.016127583,,0.119,2527.0168,3027.5605,2591.967454,1.016127583,,24.19598184,0.93%
0.12,2512.5079,3020.7069,2554.425018,1.016683377,,0.12,2512.5079,3020.7069,2575.550312,1.016683377,,21.12529372,0.82%
0.121,2498.0517,3016.0942,2542.974413,1.0179831,,0.121,2498.0517,3016.0942,2567.771472,1.0179831,,24.79705903,0.97%
0.122,2498.0517,3008.5864,2542.974413,1.013943809,,0.122,2498.0517,3008.5864,2554.425018,1.013943809,,11.45060465,0.45%
0.123,2483.648,2997.722,2517.067714,1.013455898,,0.123,2483.648,2997.722,2542.974413,1.013455898,,25.90669888,1.02%
0.124,2469.2967,2979.9132,2496.736423,1.011112364,,0.124,2469.2967,2979.9132,2542.974413,1.011112364,,46.23798988,1.82%
0.125,2469.2967,2976.0951,2496.736423,1.007497435,,0.125,2469.2967,2976.0951,2515.505205,1.007497435,,18.76878224,0.75%
0.126,2446.4198,2973.04,2479.231876,1.013412284,,0.126,2446.4198,2973.04,2496.736423,1.013412284,,17.50454733,0.70%
0.127,2440.7511,2967.2965,2467.465034,1.010944965,,0.127,2440.7511,2967.2965,2496.736423,1.010944965,,29.27138933,1.17%
0.128,2426.5566,2954.8104,2450.1297,1.00971463,,0.128,2426.5566,2954.8104,2479.231876,1.00971463,,29.10217648,1.17%
0.129,2422.0679,2945.8927,2433.747276,1.004822068,,0.129,2422.0679,2945.8927,2467.465034,1.004822068,,33.71775842,1.37%
0.13,2412.4143,2940.2249,2423.365591,1.004539557,,0.13,2412.4143,2940.2249,2450.1297,1.004539557,,26.76410928,1.09%
0.131,2398.3241,2933.0281,2411.047976,1.00530532,,0.131,2398.3241,2933.0281,2433.747276,1.00530532,,22.69930003,0.93%
0.132,2384.2857,2922.3003,2395.739198,1.004803744,,0.132,2384.2857,2922.3003,2422.732439,1.004803744,,26.99324088,1.11%
0.133,2384.2857,2919.6208,2395.739198,1.001271087,,0.133,2384.2857,2919.6208,2411.047976,1.001271087,,15.30877821,0.63%
0.134,2373.8032,2919.1172,2384.832211,1.003751458,,0.134,2373.8032,2919.1172,2395.739198,1.003751458,,10.90698727,0.46%
0.135,2358.8507,2911.5882,2369.509969,1.006131256,,0.135,2358.8507,2911.5882,2395.739198,1.006131256,,26.22922927,1.09%
0.136,2356.3647,2903.9398,2363.833401,1.003169586,,0.136,2356.3647,2903.9398,2384.832211,1.003169586,,20.99881047,0.88%
0.137,2349.8899,2897.328,2353.225622,1.001419523,,0.137,2349.8899,2897.328,2363.833401,1.001419523,,10.6077792,0.45%
0.138,2342.4819,2892.8796,2345.660513,1.001356942,,0.138,2342.4819,2892.8796,2363.833401,1.001356942,,18.1728882,0.77%
0.139,2328.6506,2881.9493,2335.160166,1.002795424,,0.139,2328.6506,2881.9493,2353.225622,1.002795424,,18.0654557,0.77%
0.14,2314.871,2876.8818,2327.360452,1.005395312,,0.14,2314.871,2876.8818,2345.435551,1.005395312,,18.07509874,0.77%
0.141,2302.4999,2874.2189,2320.512863,1.00782322,,0.141,2302.4999,2874.2189,2335.160166,1.00782322,,14.64730261,0.63%
0.142,2301.1428,2866.2362,2310.382755,1.004015377,,0.142,2301.1428,2866.2362,2327.360452,1.004015377,,16.97769682,0.73%
0.143,2287.0683,2859.256,2301.531632,1.006148958,,0.143,2287.0683,2859.256,2310.382755,1.006148958,,8.851122765,0.38%
0.144,2273.8406,2852.93,2293.963201,1.008849609,,0.144,2273.8406,2852.93,2301.531632,1.008849609,,7.568431213,0.33%
0.145,2273.4465,2845.5759,2292.665031,1.004749316,,0.145,2273.4465,2845.5759,2294.807068,1.004749316,,2.14203704,0.09%
0.146,2260.2665,2839.6908,2276.101844,1.007005963,,0.146,2260.2665,2839.6908,2293.963201,1.007005963,,17.86135665,0.78%
0.147,2246.7435,2829.1001,2266.016442,1.008578167,,0.147,2246.7435,2829.1001,2276.101844,1.008578167,,10.0854016,0.44%
0.148,2233.2716,2825.0376,2261.108088,1.012464443,,0.148,2233.2716,2825.0376,2274.628683,1.012464443,,13.52059493,0.59%
0.149,2233.2716,2814.2236,2261.108088,1.00700904,,0.149,2233.2716,2814.2236,2266.016442,1.00700904,,4.908353941,0.22%
0.15,2233.2716,2805.3286,2261.108088,1.002223937,,0.15,2233.2716,2805.3286,2261.108088,1.002223937,,-3.7905E-07,0.00%
0.151,2219.8507,2799.5641,2231.730716,1.005351718,,0.151,2219.8507,2799.5641,2261.108088,1.005351718,,29.37737162,1.30%
0.152,2206.4807,2789.3569,2222.253956,1.007008969,,0.152,2206.4807,2789.3569,2232.847762,1.007008969,,10.59380626,0.47%
0.153,2193.1616,2786.8948,2217.372658,1.011039341,,0.153,2193.1616,2786.8948,2224.943721,1.011039341,,7.571063243,0.34%
0.154,2193.1616,2772.5928,2217.372658,1.004233401,,0.154,2193.1616,2772.5928,2217.372658,1.004233401,,-1.687E-07,0.00%
0.155,2179.8933,2767.9586,2195.21817,1.007030101,,0.155,2179.8933,2767.9586,2217.372658,1.007030101,,22.15448783,1.00%
0.156,2166.6756,2761.7138,2187.823513,1.009760535,,0.156,2166.6756,2761.7138,2196.391836,1.009760535,,8.568322854,0.39%
0.157,2166.6756,2755.4064,2187.823513,1.006507889,,0.157,2166.6756,2755.4064,2187.823513,1.006507889,,-1.6484E-07,0.00%
0.158,2153.5086,2744.9419,2169.229153,1.00729681,,0.158,2153.5086,2744.9419,2187.823513,1.00729681,,18.59435984,0.85%
0.159,2140.3921,2739.7155,2161.570985,1.009894862,,0.159,2140.3921,2739.7155,2179.589442,1.009894862,,18.01845735,0.83%
0.16,2127.3261,2734.2279,2155.19737,1.01310155,,0.16,2127.3261,2734.2279,2162.37375,1.01310155,,7.176380043,0.33%
0.161,2127.3261,2728.1656,2155.19737,1.009224975,,0.161,2127.3261,2728.1656,2157.839235,1.009224975,,2.641865213,0.12%
0.162,2114.3104,2721.501,2139.20594,1.01177478,,0.162,2114.3104,2721.501,2155.19737,1.01177478,,15.9914303,0.74%
0.163,2101.345,2713.0613,2130.055447,1.013662891,,0.163,2101.345,2713.0613,2143.663719,1.013662891,,13.60827193,0.63%
0.164,2091.5487,2701.843,2116.610838,1.012529125,,0.164,2091.5487,2701.843,2136.329412,1.012529125,,19.71857389,0.92%
0.165,2085.2774,2695.8295,2109.462887,1.011598211,,0.165,2085.2774,2695.8295,2122.654008,1.011598211,,13.19112108,0.62%
0.166,2075.5648,2688.3317,2102.049533,1.012760253,,0.166,2075.5648,2688.3317,2112.651849,1.012760253,,10.6023165,0.50%
0.167,2062.7498,2683.4255,2094.732546,1.015504908,,0.167,2062.7498,2683.4255,2102.049533,1.015504908,,7.316986808,0.35%
0.168,2052.1583,2671.2238,2083.117901,1.015086361,,0.168,2052.1583,2671.2238,2094.732546,1.015086361,,11.61464547,0.55%
0.169,2049.9848,2666.9631,2076.782126,1.013071963,,0.169,2049.9848,2666.9631,2083.117901,1.013071963,,6.335774677,0.30%
0.17,2037.2697,2659.3693,2067.468969,1.014823403,,0.17,2037.2697,2659.3693,2076.782126,1.014823403,,9.313157372,0.45%
0.171,2037.1063,2651.1235,2062.652901,1.010064766,,0.171,2037.1063,2651.1235,2067.468969,1.010064766,,4.816068295,0.23%
0.172,2024.6043,2635.2142,2041.668093,1.008428211,,0.172,2024.6043,2635.2142,2067.468969,1.008428211,,25.8008763,1.25%
0.173,2011.9887,2623.1722,2029.00029,1.008179899,,0.173,2011.9887,2623.1722,2041.668093,1.008179899,,12.6678027,0.62%
0.174,1999.4228,2616.8389,2019.835369,1.010209231,,0.174,1999.4228,2616.8389,2029.00029,1.010209231,,9.164921302,0.45%
0.175,1997.6676,2610.3474,2011.441429,1.006894956,,0.175,1997.6676,2610.3474,2019.835369,1.006894956,,8.393940096,0.42%
0.176,1986.9064,2607.1913,2004.193058,1.008700288,,0.176,1986.9064,2607.1913,2011.441429,1.008700288,,7.248371348,0.36%
0.177,1976.1181,2601.0933,1994.662194,1.009384102,,0.177,1976.1181,2601.0933,2004.193058,1.009384102,,9.530863869,0.48%
0.178,1974.4395,2592.4346,1983.443683,1.004560374,,0.178,1974.4395,2592.4346,1988.604198,1.004560374,,5.160515068,0.26%
0.179,1961.9378,2581.2565,1971.846746,1.00500746,,0.179,1961.9378,2581.2565,1977.204374,1.00500746,,5.357628478,0.27%
0.18,1944.0572,2572.6344,1961.009053,1.008719832,,0.18,1944.0572,2572.6344,1971.846746,1.008719832,,10.83769284,0.55%
0.181,1937.3349,2566.8129,1952.52785,1.007842191,,0.181,1937.3349,2566.8129,1961.009053,1.007842191,,8.481202762,0.43%
0.182,1937.3349,2557.9662,1952.52785,1.001931178,,0.182,1937.3349,2557.9662,1952.52785,1.001931178,,-2.7228E-07,0.00%
0.183,1929.0568,2549.1365,1931.263795,1.00114408,,0.183,1929.0568,2549.1365,1952.52785,1.00114408,,21.26405473,1.09%
0.184,1925.0651,2541.5257,1921.651232,0.998226622,,0.184,1925.0651,2541.5257,1931.263795,0.998226622,,9.612562526,0.50%
0.185,1912.8444,2537.0806,1916.509067,1.001915821,,0.185,1912.8444,2537.0806,1919.273854,1.001915821,,2.764786554,0.14%
0.186,1902.2114,2523.8025,1902.132073,0.999792807,,0.186,1902.2114,2523.8025,1916.509067,0.999792807,,14.37699385,0.75%
0.187,1888.8793,2513.697,1890.329618,1.000767819,,0.187,1888.8793,2513.697,1902.132073,1.000767819,,11.80245491,0.62%
0.188,1888.5499,2506.1285,1881.043696,0.996025414,,0.188,1888.5499,2506.1285,1890.329618,0.996025414,,9.285921712,0.49%
0.189,1876.4759,2498.0706,1871.701607,0.997455713,,0.189,1876.4759,2498.0706,1881.043696,0.997455713,,9.342089234,0.50%
0.19,1864.4507,2488.4836,1860.273133,0.997759358,,0.19,1864.4507,2488.4836,1871.701607,0.997759358,,11.42847446,0.61%
0.191,1862.3957,2478.4549,1850.529998,0.993628796,,0.191,1862.3957,2478.4549,1860.273133,0.993628796,,9.743134591,0.52%
0.192,1852.4742,2463.4117,1835.773683,0.99098475,,0.192,1852.4742,2463.4117,1840.954746,0.99098475,,5.181063483,0.28%
0.193,1840.5463,2461.5941,1832.296133,0.995517544,,0.193,1840.5463,2461.5941,1835.773683,0.995517544,,3.477549526,0.19%
0.194,1836.1519,2448.1352,1820.719932,0.991595484,,0.194,1836.1519,2448.1352,1832.296133,0.991595484,,11.57620109,0.63%
0.195,1828.6668,2434.7058,1807.794012,0.98858579,,0.195,1828.6668,2434.7058,1807.889602,0.98858579,,0.095590467,0.01%
0.196,1816.8359,2430.785,1801.658296,0.991646134,,0.196,1816.8359,2430.785,1807.794012,0.991646134,,6.135716388,0.34%
0.197,1816.8359,2418.5007,1801.658296,0.985058028,,0.197,1816.8359,2418.5007,1801.658296,0.985058028,,4.9004E-07,0.00%
0.198,1805.0532,2413.5309,1783.417728,0.988013942,,0.198,1805.0532,2413.5309,1788.450572,0.988013942,,5.032844471,0.28%
0.199,1793.3188,2396.1239,1767.625484,0.985672756,,0.199,1793.3188,2396.1239,1771.48459,0.985672756,,3.859106084,0.22%
