Exceedance,Flow
0.271,1207.037553529988
0.272,1207.037553529988
0.273,1202.4586518443166
0.274,1202.4586518443166
0.275,1193.686786936766
0.276,1193.362050376472
0.277,1190.6228872922106
0.278,1190.6228872922106
0.279,1177.0948317976456
0.28,1177.0948317976456
0.281,1175.533811733754
0.28200000000000003,1175.533811733754
0.28300000000000003,1161.6879744739092
0.28400000000000003,1161.6879744739092
0.28500000000000003,1151.2126243612868
0.28600000000000003,1151.2126243612868
0.28700000000000003,1145.132184118074
0.28800000000000003,1142.98120061961
0.289,1142.98120061961
0.29,1138.6936899101813
0.291,1134.1944374621282
0.292,1127.6208598704386
0.293,1127.6208598704386
0.294,1122.4631985931537
0.295,1120.4195826596165
0.296,1115.9585706668174
0.297,1115.9585706668174
0.298,1106.978244728267
0.299,1106.978244728267
0.3,1103.1264727766265
0.301,1100.3571176148444
0.302,1095.717921114043
0.303,1093.868608167015
0.304,1093.868608167015
0.305,1088.5058938551592
0.306,1088.5058938551592
0.307,1086.6960212023441
0.308,1086.6960212023441
0.309,1079.8538343407615
0.31,1079.8538343407615
0.311,1079.8538343407615
0.312,1072.0132818332322
0.313,1072.0132818332322
0.314,1068.4697610522605
0.315,1062.7673957376614
0.316,1059.9536327754158
0.317,1059.9536327754158
0.318,1054.0908455982096
0.319,1051.2886595903117
0.32,1050.1886740177758
0.321,1046.4279267518214
0.322,1046.4279267518214
0.323,1035.2803165564353
0.324,1031.5428424894446
0.325,1030.5770456270398
0.326,1025.6066649602776
0.327,1025.6066649602776
0.328,1016.7503233587123
0.329,1016.7503233587123
0.33,1000.5009087958437
0.331,996.4319218276207
0.332,992.6816361792442
0.333,989.1465926555912
0.334,989.1465926555912
0.335,977.8674889372647
0.336,977.8674889372647
0.337,963.0506170046988
0.338,963.0506170046988
0.339,963.0506170046988
0.34,963.0506170046988
0.341,959.14656344199
0.342,958.2543861430818
0.343,953.7660370346388
0.34400000000000003,953.7660370346388
0.34500000000000003,947.9031578748147
0.34600000000000003,947.9031578748147
0.34700000000000003,947.9031578748147
0.34800000000000003,941.3000437275088
0.34900000000000003,941.3000437275088
0.35000000000000003,941.3000437275088
0.35100000000000003,927.8637192133767
0.352,915.7928612131992
0.353,915.7006814759227
0.354,915.7006814759227
0.355,913.0972668206747
0.356,911.966732703885
0.357,906.6964603635038
0.358,906.6964603635038
0.359,898.723486443178
0.36,898.723486443178
0.361,898.723486443178
0.362,898.6840987556337
0.363,888.5163200080086
0.364,888.5163200080086
0.365,888.5163200080086
0.366,882.9162183617593
0.367,882.9162183617593
0.368,882.9162183617593
0.369,882.9162183617593
0.37,872.0992551527843
0.371,872.0992551527843
0.372,872.0992551527843
0.373,862.6387635948422
0.374,859.7841932076158
0.375,855.0447661346183
0.376,855.0447661346183
0.377,854.2845075367778
0.378,854.2845075367778
0.379,854.2845075367778
0.38,840.3715457670007
0.381,840.3715457670007
0.382,840.3715457670007
0.383,834.5973711411807
0.384,834.5973711411806
0.385,834.5973711411806
0.386,834.5973711411806
0.387,823.6867648459153
0.388,823.3519892943274
0.389,823.3519892943273
0.39,819.4651220562134
0.391,815.7023973337224
0.392,815.7023973337224
0.393,815.7023973337224
0.394,815.7023973337224
0.395,809.1817554752071
0.396,807.3755461995927
0.397,807.3755461995927
0.398,796.6001711005663
0.399,793.937462030624
0.4,793.9374620306241
0.401,793.937462030624
0.402,780.9537201520261
0.403,775.6599033239763
0.404,775.6599033239763
0.405,775.6599033239763
0.406,775.6599033239763
0.40700000000000003,768.1210526227081
0.40800000000000003,765.558485663389
0.40900000000000003,765.558485663389
0.41000000000000003,762.7307294464084
0.41100000000000003,762.7307294464084
0.41200000000000003,762.7307294464084
0.41300000000000003,759.3504924067141
0.41400000000000003,754.8679039037229
0.41500000000000004,749.1504814721219
0.41600000000000004,745.5788462803598
0.417,745.5788462803598
0.418,742.0611001354328
0.419,742.0611001354328
0.42,742.0611001354328
0.421,737.5903167488823
0.422,734.0097812306839
0.423,734.0097812306839
0.424,725.1424947322913
0.425,725.1424947322914
0.426,725.1424947322913
0.427,720.8382760212747
0.428,718.3091015387236
0.429,718.3091015387236
0.43,718.3091015387236
0.431,718.3091015387236
0.432,713.4894920855493
0.433,713.4894920855493
0.434,707.4905573160893
0.435,706.5983876347323
0.436,700.298231834892
0.437,695.977987858031
0.438,695.977987858031
0.439,695.977987858031
0.44,695.977987858031
0.441,694.3100912367087
0.442,694.3100912367087
0.443,694.3100912367087
0.444,685.7928889524201
0.445,679.7562853210409
0.446,679.7562853210409
0.447,679.7562853210409
0.448,679.7562853210409
0.449,671.4658099664962
0.45,671.4658099664962
0.451,668.5138091385181
0.452,664.9720141232148
0.453,664.9720141232148
0.454,664.9720141232148
0.455,662.3726099190933
0.456,658.8305104008092
0.457,654.1456385434727
0.458,651.8854447474473
0.459,651.8854447474473
0.46,642.8474529890907
0.461,641.2623343820222
0.462,641.2623343820222
0.463,641.2623343820222
0.464,641.2623343820222
0.465,636.5577310626668
0.466,636.5577310626668
0.467,631.5245307574093
0.468,629.7678561238698
0.46900000000000003,627.8127306252647
0.47000000000000003,626.9309711721394
0.47100000000000003,626.9309711721394
0.47200000000000003,626.9309711721394
0.47300000000000003,617.9950839795325
0.47400000000000003,617.2731850763432
0.47500000000000003,614.2731728984343
0.47600000000000003,614.2731728984343
0.47700000000000004,614.2731728984343
0.47800000000000004,604.0524600505772
0.47900000000000004,604.0524600505772
0.48,604.0524600505772
0.481,604.0524600505772
0.482,600.5285465456085
0.483,600.5285465456085
0.484,600.5285465456085
0.485,593.0525844962716
0.486,593.0525844962716
0.487,587.5030227534492
0.488,586.8591760125894
0.489,586.8591760125894
0.49,586.8591760125894
0.491,586.8591760125894
0.492,577.2259418028391
0.493,577.2259418028391
0.494,576.1410366486667
0.495,574.910545540964
0.496,574.6740443052546
0.497,573.5428590552643
0.498,573.5428590552643
0.499,573.5428590552643
0.5,568.7532273878386
0.501,568.2667222640558
0.502,568.2667222640558
0.503,566.1963761614793
0.504,566.1963761614793
0.505,566.1963761614793
0.506,561.5508158785199
0.507,560.6678743441197
0.508,560.6678743441197
0.509,560.6678743441197
0.51,560.6678743441197
0.511,558.833367764002
0.512,554.4293541870438
0.513,554.4293541870438
0.514,549.0199627413676
0.515,549.0199627413676
0.516,549.0199627413676
0.517,549.0199627413676
0.518,549.0199627413676
0.519,547.3650943756272
0.52,547.3650943756272
0.521,547.3650943756272
0.522,546.6559975942772
0.523,543.7790026600493
0.524,543.7790026600493
0.525,543.7790026600493
0.526,535.9678429296386
0.527,535.9678429296386
0.528,535.9678429296386
0.529,531.2649118961976
0.53,531.2649118961976
0.531,531.2649118961976
0.532,528.2493516585024
0.533,528.2493516585024
0.534,528.2493516585024
0.535,526.6026892811816
0.536,522.2894921697886
0.537,522.2894921697886
0.538,522.2894921697886
0.539,519.310419089914
0.54,516.6472887356068
0.541,516.6472887356068
0.542,511.9142872835952
0.543,504.25065773815606
0.544,504.25065773815606
0.545,504.25065773815606
0.546,504.25065773815606
0.547,499.7918892570371
0.548,499.7918892570371
0.549,499.7918892570371
0.55,498.11834126427385
0.551,497.2382735235243
0.552,497.2382735235243
0.553,497.2382735235243
0.554,491.9246837170822
0.555,490.16058188902457
0.556,490.16058188902457
0.557,482.6043380812092
0.558,481.7332111171638
0.559,481.7332111171637
0.56,481.73321111716376
