Exceedance,Mean,Max,Min,Median,MeanQ3070
0.027,1990.6638018324675,7689.80322932271,328.33987404771335,921.4649312510617,1155.6329172104706
0.028,1969.5747845826777,7552.352275684896,326.81890135404893,918.0802581895996,1154.5258465525328
0.029,1948.4857673328884,7414.901322047081,325.2979286603845,914.6955851281375,1153.418775894595
0.03,1927.3967500830956,7277.450368409245,323.77695596671987,911.310912066675,1152.311705236657
0.031,1906.307732833306,7139.999414771431,322.25598327305545,907.9262390052129,1151.2046345787192
0.032,1893.079913130922,7031.0455761284975,321.1271425232293,905.6930439061224,1147.3448521119408
0.033,1890.661240056218,6961.275270603527,320.53748319618063,905.0431310052925,1139.700090908009
0.034,1888.2425669815132,6891.504965078535,319.94782386913175,904.3932181044624,1132.0553297040751
0.035,1885.8238939068085,6821.734659553554,319.35816454208305,903.7433052036323,1124.4105685001423
0.036000000000000004,1883.405220832104,6751.964354028572,318.76850521503434,903.0933923028024,1116.7658072962092
0.037,1880.9865477573994,6682.194048503591,318.17884588798563,902.4434794019724,1109.1210460922764
0.038,1878.5678746826952,6612.42374297861,317.58918656093687,901.7935665011423,1101.4762848883436
0.039,1876.1492016079906,6542.653437453628,316.9995272338881,901.1436536003123,1093.8315236844105
0.04,1873.730528533286,6472.883131928647,316.4098679068394,900.4937406994823,1086.1867624804777
0.041,1871.3118554585812,6403.112826403655,315.8202085797906,899.8438277986521,1078.5420012765437
0.042,1868.8931823838766,6333.342520878674,315.2305492527418,899.1939148978222,1070.8972400726107
0.043000000000000003,1861.1473182973596,6310.959102436386,313.3104726803782,897.8081356753363,1069.7600940967027
0.044,1852.7747258565096,6294.150611886169,311.2338764320947,896.3357839444202,1069.3885499123262
0.045,1844.402133415661,6277.342121335955,309.1572801838115,894.8634322135042,1069.0170057279497
0.046,1836.0295409748119,6260.5336307857415,307.0806839355283,893.3910804825882,1068.645461543573
0.047,1827.6569485339633,6243.725140235527,305.00408768724515,891.9187287516722,1068.2739173591965
0.048,1819.2843560931133,6226.91664968531,302.9274914389616,890.446377020756,1067.9023731748198
0.049,1810.9117636522656,6210.1081591350985,300.8508951906787,888.9740252898403,1067.5308289904433
0.05,1802.5391712114167,6193.299668584884,298.7742989423956,887.5016735589243,1067.1592848060668
0.051000000000000004,1794.166578770568,6176.49117803467,296.69770269411237,886.0293218280083,1066.7877406216903
0.052000000000000005,1785.7939863297192,6159.6826874844555,294.6211064458292,884.5569700970923,1066.4161964373136
0.053,1779.385450975517,6149.066798715899,293.3095719732292,883.6270637407242,1065.7562298744574
0.054,1776.3438706269958,6149.066798715899,293.3095719732292,883.6270637407242,1064.601824948494
0.055,1773.3022902784744,6149.066798715898,293.3095719732292,883.6270637407242,1063.4474200225304
0.056,1770.2607099299535,6149.066798715899,293.3095719732292,883.6270637407242,1062.293015096567
0.057,1767.2191295814323,6149.066798715899,293.3095719732292,883.6270637407242,1061.1386101706032
0.058,1764.1775492329105,6149.066798715899,293.3095719732292,883.6270637407242,1059.9842052446397
0.059000000000000004,1761.13596888439,6149.066798715899,293.3095719732292,883.6270637407242,1058.829800318676
0.06,1758.0943885358683,6149.066798715899,293.3095719732292,883.6270637407242,1057.6753953927125
0.061,1755.0528081873476,6149.066798715899,293.3095719732292,883.6270637407242,1056.5209904667493
0.062,1752.011227838826,6149.066798715899,293.3095719732292,883.6270637407242,1055.3665855407855
0.063,1748.9696474903049,6149.066798715899,293.3095719732292,883.6270637407242,1054.212180614822
0.064,1746.0020709546006,6144.754990333952,292.7642037408489,883.1813442064883,1052.3327529259486
0.065,1743.0483701338007,6139.6347178803935,292.1165789648975,882.6520522595833,1050.3173834690306
0.066,1740.0946693129997,6134.514445426833,291.4689541889459,882.1227603126781,1048.3020140121118
0.067,1737.1409684922,6129.394172973274,290.82132941299454,881.5934683657731,1046.286644555194
