,1,2,3,4,5,6,7,8,9,10,11,12
0.67,207.55252940021646,236.356523078857,358.7189493083931,563.5949384091037,835.7046294672127,1415.9933045941852,2306.981247524085,1752.4842580760724,934.9350979698363,465.3620267227972,331.15328986313364,252.33245381571345
0.68,207.55252940021646,231.52869092080718,357.5936854206976,560.6291114137188,833.4284993507283,1366.3053805090624,2271.023873986659,1733.1168112316577,922.342159025656,458.8873888981849,330.2174348734584,249.41120478322944
0.6900000000000001,207.55252940021646,227.9974360734733,354.12247961798556,560.6291114137188,823.4036884951529,1296.9544266440896,2247.955944849372,1696.006723095134,906.777198294395,451.8074158794568,330.2174348734584,248.2827412743233
0.7000000000000001,206.48745819602033,224.89547857346128,349.71837114885767,555.4035080925796,823.3395437130414,1258.495214784264,2210.5641439813435,1683.5933861599722,900.2254119426216,447.52778826527424,324.7832295077074,247.70181809006942
0.71,205.59724289181236,224.89547857346128,347.20445544934745,548.2808859203767,816.3806334647652,1225.0373569504754,2181.9233591234583,1655.2341805923822,884.871115939552,441.30929115268907,324.43708615163195,245.7111889605859
0.72,204.91870846146276,223.50417969811318,344.5151977666078,540.766651191868,803.1604073504171,1203.472891160384,2124.593138027556,1621.183052786127,870.3937047142447,440.8029710455787,321.37542013461825,245.4987897708516
0.73,204.91870846146276,220.73679026168426,344.0252991054098,533.6734106622347,802.764628297062,1199.1767503445706,2062.090499726492,1605.4679722547605,845.7441533333238,434.62356089063246,318.18950727505813,244.24535424447356
0.74,203.63739053922143,220.23939209737784,341.05762802932236,526.5374190714055,790.7941578325908,1166.7635352946131,1972.2762153858162,1576.4939894259073,833.4284993507283,429.0966166544422,315.16847984989465,243.80870383002514
0.75,202.5972539812765,217.3069842849817,335.4146595013153,520.0614304757682,787.2743695267917,1146.5695781734614,1894.8208041046441,1556.1528857550898,818.7502437647497,427.45145519615977,314.98263852268406,242.109874929545
0.76,202.5972539812765,215.57470975653544,332.7465878013071,517.2359262473557,780.6211848318349,1139.1056048868022,1818.3048555621103,1521.7184262484936,802.764628297062,424.4905330595024,311.45853668421523,239.3424082743461
0.77,200.4432677611032,215.5732291325278,331.15328986313364,514.8470775482588,774.5199897066693,1116.3564049740003,1766.1067143463379,1491.8333883094156,787.2743695267917,421.08307865451246,308.2725150277288,237.4756161095233
0.78,199.63178012545882,214.4255903958333,326.1683519858581,505.82519068212736,766.8266091909909,1103.398038904498,1742.6135913892574,1472.3604571308829,774.5199897066693,415.0933598855414,303.7551909927806,236.356523078857
0.79,196.8848858378337,213.46743002362155,324.43708615163195,501.46755475881315,761.7593634587538,1094.3932413294303,1696.006723095134,1450.3498761961112,752.0600531931918,411.55284465751754,302.6732784214865,232.3294211409157
0.8,196.8848858378337,211.02171542896042,318.18950727505813,497.26626416644274,752.0600531931917,1051.074922122234,1649.5616625199355,1420.1485761994625,738.7717302759537,405.4419424506187,299.2028699782439,227.9974360734733
0.81,193.8534414796513,209.66200797432626,314.98263852268406,491.6709992178998,743.859461672278,1041.6912238030525,1581.2977111798239,1398.6760521753768,716.5115113267352,404.82428700846526,295.26778961264966,224.89547857346128
0.8200000000000001,190.5771527103841,207.55252940021646,311.4088885781851,485.7742986865307,743.859461672278,1018.8350735847098,1509.079190585671,1379.141494028088,694.9996530129279,401.81006744201835,293.3095719732292,222.60840809988187
0.8300000000000001,189.4415988150637,207.55252940021646,307.6311794595605,485.59681084860705,738.7717302759537,1003.7330308630933,1477.0867909289032,1321.846614517621,678.2054965918313,397.4011444872051,289.82351177116294,222.60840809988187
0.84,187.9873988589625,206.48745819602033,302.6732784214865,482.41897964712797,727.8085237313198,994.8457764955499,1411.9367419449545,1279.419574585491,655.0907423557253,388.4979798476216,289.7749492661428,220.23939209737784
0.85,183.987980077554,205.06487514817712,296.555855143382,477.35067902394087,726.8019111671641,980.6335716282006,1351.7783629013575,1255.663678720208,642.5299388881682,386.5121702836538,286.4924690684764,220.23939209737784
0.86,182.0936765028081,203.63739053922143,295.26778961264966,473.4095112593456,716.5115113267352,955.5635883033212,1320.9704093247046,1225.0373569504754,613.0896691417979,381.4827671297545,283.32091755914985,217.209843665595
0.87,178.8322698379025,202.59725398127654,289.82351177116294,469.4154588764537,700.2661474818176,949.3311344900044,1290.0117433801372,1201.8094915165238,594.6279260983613,374.0969592703582,281.5855192414594,214.94161506971676
0.88,176.77186822886276,200.18655292187637,286.4924690684764,458.9258798435102,692.5683005817792,922.342159025656,1256.4662324498959,1166.7635352946131,574.6050789370614,369.2475351019857,278.94434036067554,214.14015379498565
0.89,174.59079286833642,196.8848858378337,283.32091755914985,454.86906793396645,686.0753050426567,915.8657086038969,1240.627271518914,1125.9198285745003,560.6291114137188,358.7189493083931,274.56399362840483,211.02171542896042
0.9,170.78468950707952,192.6433335999307,278.94434036067554,449.9382695661725,673.2729478898602,900.6968014836636,1219.5328845890633,1080.59519090423,540.7666511918678,357.5936854206976,272.18768033939347,207.55252940021646
0.91,170.78468950707952,189.4415988150637,274.56399362840483,441.30929115268907,663.943466896229,899.1255030135243,1192.0665521748551,1018.8350735847098,514.8470775482588,348.8896919803591,267.1267971932527,207.55252940021646
0.92,166.973942194698,184.71308077557038,272.18768033939335,434.62356089063246,642.5299388881682,871.8466085716315,1146.2460767683863,1003.7330308630933,485.596810848607,344.2800464092327,263.11728844226485,205.06487514817712
0.93,164.91943134345516,180.79061661260525,267.1267971932527,429.0966166544422,623.4129883276297,852.3463221406523,1107.9954872324051,980.6335716282007,469.4154588764537,337.38565901529654,255.7839704678297,204.91870846146276
0.9400000000000001,161.98885066458666,175.2166749693341,258.13845413202347,424.4905330595024,601.2752009453283,823.4036884951529,1094.3932413294303,934.3984496234048,444.7381307292649,330.2174348734584,249.78943736131058,202.36010005986606
0.9500000000000001,158.67212901112606,172.42562504767653,252.39849529613048,411.5528446575176,585.0411849755841,802.764628297062,1029.435717255909,898.4699696508299,427.45145519615977,321.37542013461825,245.7111889605859,194.91012492800752
0.96,149.4044669576781,169.05535277838638,248.2827412743233,401.81006744201835,561.3893924540779,777.7906971134076,917.8781882487002,833.4284993507283,404.8242870084652,302.6732784214865,239.3424082743461,189.4415988150637
