MonthId,Flow,Exceedance,Year,Month,WaterYear,WaterMonth,Flow_difference,EWRChannelA,EWRChannelC,EWRChannelD,EWRChannelE,EWRChannelFG,EWRTotal,EWRProportion,FlowCanal,FlowSpill,SpillChannelA,SpillChannelC,SpillChannelD,SpillChannelE,SpillChannelFG,FlowChannelA,FlowChannelC,FlowChannelD,FlowChannelE,FlowChannelFG,FlowLeftChannel,Turbines,FlowTurbine1,FlowTurbine2,FlowTurbine3,FlowTurbine4,LevelTailwater,LevelHeadpond,HeadlossLeftChannel,HeadlossCanal,LevelForebay,HeadlossTurbine1,HeadlossTurbine2,HeadlossTurbine3,HeadlossTurbine4,HeadTurbine1,HeadTurbine2,HeadTurbine3,HeadTurbine4,EffTurbine1,EffTurbine2,EffTurbine3,EffTurbine4,LoadFactorTurbine1,LoadFactorTurbine2,LoadFactorTurbine3,LoadFactorTurbine4,EffGen1,EffGen2,EffGen3,EffGen4,PowerTurbine1,PowerTurbine2,PowerTurbine3,PowerTurbine4,Power,PerfMwPerCumec,Power_max,Power_min,Turbines_max,Turbines_min,Energy,Days,CapFactor
1934.03,3667.032194083201,0.08287096774193545,1934.0,3.0,1933.0,6.0,142.35596599700887,55.774193548387096,10.35483870967742,11.03225806451613,11.709677419354838,132.06451612903226,220.93548387096774,0.06888505521358314,1100.0,2346.0967102122327,44.225806451612904,7.645161290322581,13.830330660362495,57.036492765802066,2223.358919044133,100.0,18.0,24.862588724878627,68.74617018515691,2355.423435173165,1242.8625887248786,3.6129032258064515,275.0,275.0,275.0,275.0,974.6142127943209,990.013671074118,0.9216067900980427,0.4800000000000003,988.6120642840201,0.5349347800000003,0.5349347800000003,0.5349347800000003,0.5349347800000003,13.462916709698806,13.462916709698806,13.462916709698806,13.462916709698806,0.7974674054783034,0.7974674054783034,0.7974674054783034,0.7974674054783034,1.1000000000000005,1.1000000000000005,1.1000000000000005,1.1000000000000005,0.9800000000000003,0.9800000000000003,0.9800000000000003,0.9800000000000003,29.454763408654948,29.454763408654948,29.454763408654948,29.454763408654948,117.81905363461979,0.044374632630821156,181.1798034696565,0.0,4,0,87657.37590415712,31,0.6545502979701099
1934.04,4018.876420464095,0.045466666666666676,1934.0,4.0,1933.0,7.0,78.20748276750935,74.66666666666667,14.0,18.666666666666668,25.666666666666668,185.0,318.0,0.08036456483145334,1100.0,2600.876420464095,25.333333333333332,4.000000000000001,6.333333333333333,54.333333333333336,2510.8764204640956,100.0,18.0,25.0,80.0,2695.8764204640956,1243.0,4.0,275.0,275.0,275.0,275.0,975.5866637949334,990.0021758055045,0.9219672131147545,0.4800000000000003,988.60020859239,0.5349347800000003,0.5349347800000003,0.5349347800000003,0.5349347800000003,12.478610017456003,12.478610017456003,12.478610017456003,12.478610017456003,0.8690937416898862,0.8690937416898862,0.8690937416898862,0.8690937416898862,1.1000000000000005,1.1000000000000005,1.1000000000000005,1.1000000000000005,0.9800000000000003,0.9800000000000003,0.9800000000000003,0.9800000000000003,28.75277445339568,28.75277445339568,28.75277445339568,28.75277445339568,115.01109781358272,0.03011896920188231,138.6803531811727,90.9856573830779,4,4,82807.99042577956,30,0.6389505434087929
1934.05,2323.1791782779987,0.1460645161290322,1934.0,5.0,1933.0,8.0,38.05452689713504,61.45161290322581,13.64516129032258,15.580645161290322,20.870967741935484,193.48387096774192,305.03225806451616,0.13332372881645424,1100.0,918.1469202134824,38.54838709677419,4.354838709677419,9.419354838709678,48.22010965956637,817.6042299087546,100.0,18.0,25.0,69.09107740150186,1011.0881008764964,1243.0,4.0,275.0,275.0,275.0,275.0,971.9598568217102,990.0,0.9219672131147545,0.4800000000000003,988.5980327868855,0.5349347800000003,0.5349347800000003,0.5349347800000003,0.5349347800000003,16.103241185175225,16.103241185175225,16.103241185175225,16.103241185175225,0.9195492856026205,0.9195492856026205,0.9195492856026205,0.9195492856026205,1.1000000000000005,1.1000000000000005,1.1000000000000005,1.1000000000000005,0.9800000000000003,0.9800000000000003,0.9800000000000003,0.9800000000000003,39.1678339597943,39.1678339597943,39.1678339597943,39.1678339597943,156.6713358391772,0.06981766617315895,172.31500085760598,139.267961322802,4,4,116563.47386434782,31,0.870396310217651
1934.06,1185.501086967221,0.2958333333333334,1934.0,6.0,1933.0,9.0,33.52902836253776,53.0,12.0,12.0,13.0,120.0,210.0,0.1859973564586347,908.3577331293867,67.14335383783424,12.278896900220245,1.8248491087056402,3.0828482010866027,4.156493332818311,45.80026629500345,65.27889690022023,13.82484910870564,15.082848201086602,17.156493332818307,165.80026629500347,1002.5443273393993,3.6333333333333333,248.70226857772758,248.70226857772758,248.70226857772758,256.1856748361114,968.4810026179717,990.0,0.6172234222193232,0.3070268745742889,989.0757497032064,0.44222930750088435,0.44222930750088435,0.44222930750088435,0.46825976696427235,20.152517777733646,20.152517777733646,20.152517777733646,19.32560119689209,0.936188363809531,0.936188363809531,0.936188363809531,0.9350342586466273,0.9948090743109101,0.9948090743109101,0.9948090743109101,1.0247426993444453,0.9790000000000002,0.9790000000000002,0.9790000000000002,0.9794736842105265,44.813522868946116,44.813522868946116,44.813522868946116,44.277516547982906,162.4829957538942,0.14003065210157387,188.1139341599364,114.3511383987405,4,3,116987.75694280384,30,0.9026833097438568
1934.07,526.7497655204864,0.5455483870967742,1934.0,7.0,1933.0,10.0,11.702704402170623,50.0,10.0,9.0,9.0,108.0,186.0,0.36294941889698584,340.7497655204864,0.0,0.0,0.0,0.0,0.0,0.0,50.0,10.0,9.0,9.0,108.0,409.7497655204864,1.7419354838709677,203.3445977864278,184.94696613501497,190.7269447854834,,965.8187211213343,990.0,0.1807380017730194,0.038879359881944166,989.7803826383451,0.3051532205684183,0.2512444304725418,0.2575362694107028,,23.656508296442528,23.522619529451443,22.521717065576702,,0.9325806451612905,0.9277272727272727,0.93,,0.8133783911457111,0.7397878645400598,0.7629077791419336,,0.974516129032258,0.9722727272727272,0.97,,42.977020652808285,38.43588834648787,38.013445938262045,,71.48034289671135,0.13410876094191793,114.04033781478614,51.8669666954715,3,1,53181.375115153256,31,0.39711301609284094
1934.08,358.63769893722537,0.7048387096774195,1934.0,8.0,1933.0,11.0,3.769656567740062,47.0,8.0,6.0,5.0,89.0,155.0,0.43653929568048155,203.63769893722525,0.0,0.0,0.0,0.0,0.0,0.0,47.0,8.0,6.0,5.0,89.0,264.6376989372253,1.0,203.63769893722525,,,,965.1055807019469,990.0,0.1298149964587196,0.012143402154876066,989.8580416013862,0.3027457561855897,,,,24.449715143254473,,,,0.9332258064516131,,,,0.814550795748901,,,,0.9741935483870964,,,,44.42612059582715,,,,44.42612059582715,0.12288645875547341,58.25041228470115,33.14006747244527,1,1,33053.0337232954,31,0.2468117810879286
1934.09,267.76485519074294,0.8433666666666667,1934.0,9.0,1933.0,12.0,2.4955247628957635,40.0,6.0,4.0,3.0,65.0,118.0,0.4425867577199391,149.76485519074296,0.0,0.0,0.0,0.0,0.0,0.0,40.0,6.0,4.0,3.0,65.0,199.76485519074294,1.0,149.76485519074296,,,,964.8020848157832,990.0,0.10798665944500686,0.004976485519074295,989.8870368550358,0.1609497096837391,,,,24.92400232956857,,,,0.9166666666666666,,,,0.5990594207629719,,,,0.9699999999999995,,,,32.57579883888395,,,,32.57579883888395,0.1212080971047281,41.44965348135631,27.37147850957661,1,1,23454.575163996436,30,0.18097666021602188
1934.1,205.48963150087067,0.9501290322580644,1934.0,10.0,1934.0,1.0,3.360291864850632,34.87096774193548,4.645161290322581,3.0,2.0,43.96774193548387,88.48387096774194,0.43099208475841333,117.00576053312881,0.0,0.0,0.0,0.0,0.0,0.0,34.87096774193548,4.645161290322581,3.0,2.0,43.96774193548387,159.52188956538686,1.0,117.00576053312881,,,,964.6105916833442,990.0,0.09426882598820006,0.0017832418696401185,989.9039479321423,0.09809793985388633,,,,25.19525830894431,,,,0.8990322580645161,,,,0.46802304213251517,,,,0.9658064516129032,,,,25.147535194203662,,,,25.147535194203662,0.12223542499364687,31.412351412861604,18.05353951981348,1,1,18709.76618448753,31,0.13970852885668705
1934.11,270.9425658714776,0.8407000000000001,1934.0,11.0,1934.0,2.0,7.034103434529362,33.666666666666664,4.666666666666667,2.6666666666666665,2.0,41.333333333333336,84.33333333333333,0.3147125492958818,186.60923253814428,0.0,0.0,0.0,0.0,0.0,0.0,33.666666666666664,4.666666666666667,2.6666666666666665,2.0,41.333333333333336,227.60923253814428,1.0666666666666667,176.32639139033117,154.24261721719736,,,964.8313524939035,990.0,0.1173547283902827,0.009828891492506486,989.8728163801171,0.22542167277137584,0.16929935392792841,,,24.816042213442717,24.365520560867566,,,0.9266666666666669,0.915,,,0.7053055655613248,0.6169704688687895,,,0.9713333333333332,0.97,,,38.67474425940372,32.72118967053342,,,40.85615690410595,0.1501344550075895,70.32300547362834,31.74941034596642,2,1,29416.43297095628,30,0.22697864946725524
1934.12,476.2401686751564,0.5771935483870966,1934.0,12.0,1934.0,3.0,6.610719033276813,42.0,7.0,5.0,3.0,61.0,118.0,0.24954775882070454,358.24016867515627,0.0,0.0,0.0,0.0,0.0,0.0,42.0,7.0,5.0,3.0,61.0,412.2401686751564,2.0,179.1200843375781,179.1200843375781,,,965.5956790485941,990.0,0.17886204863750577,0.041648033735031266,989.7794899176274,0.2301168880492694,0.2301168880492694,,,23.95369398098399,23.95369398098399,,,0.9274193548387099,0.9274193548387099,,,0.7164803373503126,0.7164803373503126,,,0.971290322580645,0.971290322580645,,,37.90913129677319,37.90913129677319,,,75.81826259354638,0.15883343772842995,93.67819309881592,65.12209385708212,2,2,56408.78736959852,31,0.42121256996414663
1935.01,689.9470463015971,0.45193548387096766,1935.0,1.0,1934.0,4.0,10.036759143599507,46.0,7.0,6.0,4.0,76.0,139.0,0.20499999120065537,550.9470463015969,0.0,0.0,0.0,0.0,0.0,0.0,46.0,7.0,6.0,4.0,76.0,609.947046301597,2.4838709677419355,224.22070820076846,224.22070820076846,211.8449684601241,,966.5345030712127,990.0,0.2707226340416194,0.09207997046552398,989.637197395493,0.3587614095908693,0.3587614095908693,0.3192355444837114,,22.743932914689193,22.743932914689193,22.339307136703393,,0.9383870967741935,0.9383870967741935,0.9346666666666664,,0.8968828328030739,0.8968828328030739,0.847379873840496,,0.9770967741935483,0.9770967741935483,0.9740000000000001,,45.913189856059915,45.913189856059915,42.250678775157745,,112.27025653880906,0.16251603325759434,140.9164430125111,91.58744513411449,3,2,83529.07086487392,31,0.6237236474378279
1935.02,1130.4284888663633,0.3058571428571429,1935.0,2.0,1934.0,5.0,28.67456637327607,49.0,8.0,7.0,5.0,93.0,162.0,0.1487027615442892,914.314304460513,54.11418440585011,10.717132463761237,1.9888029678444004,2.338267227413276,1.670190876723769,37.39979087010743,59.71713246376124,9.988802967844402,9.338267227413278,6.67019087672377,130.39979087010744,993.3585071195319,3.642857142857143,251.07556154999233,251.07556154999233,251.07556154999233,250.58074192750064,968.2882907095669,990.0,0.5949133291821509,0.3005387969332972,989.1045478738845,0.44912253759828225,0.44912253759828225,0.44912253759828225,0.4484967121863985,20.367134626719405,20.367134626719405,20.367134626719405,19.74929823221879,0.9372079582312747,0.9372079582312747,0.9372079582312747,0.935656823915316,1.0043022461999693,1.0043022461999693,1.0043022461999693,1.0023229677100025,0.9789285714285718,0.9789285714285718,0.9789285714285718,0.9783333333333335,45.891352812608105,45.891352812608105,45.891352812608105,44.22991498747621,166.10757521548763,0.14995327589555413,189.531468487065,138.23920637224313,4,3,111624.2905448077,28,0.9228198623082647
1935.03,2650.78511559197,0.11890322580645162,1935.0,3.0,1934.0,6.0,67.20778047639838,59.0,11.0,12.0,13.0,144.0,239.0,0.09354277175251205,1100.0,1311.7851155919702,41.0,7.000000000000001,13.0,57.73151214037801,1193.0536034515922,100.0,18.0,25.0,70.73151214037802,1337.0536034515922,1243.0,4.0,275.0,275.0,275.0,275.0,972.7515120426477,990.0,0.9219672131147545,0.4800000000000003,988.5980327868855,0.5349347800000003,0.5349347800000003,0.5349347800000003,0.5349347800000003,15.311585964237558,15.311585964237558,15.311585964237558,15.311585964237558,0.9114051701846807,0.9114051701846807,0.9114051701846807,0.9114051701846807,1.1000000000000005,1.1000000000000005,1.1000000000000005,1.1000000000000005,0.9800000000000003,0.9800000000000003,0.9800000000000003,0.9800000000000003,36.926901797536964,36.926901797536964,36.926901797536964,36.926901797536964,147.70760719014785,0.05886807498561855,175.403083660768,130.9462735469873,4,4,109894.45974947001,31,0.8205978177230437
1935.04,2321.017577942757,0.1456333333333333,1935.0,4.0,1934.0,7.0,29.418553142921255,51.0,12.333333333333334,12.666666666666666,16.0,102.0,194.0,0.08351592410431076,1100.0,1027.0175779427568,49.0,5.666666666666667,12.333333333333334,57.66099014237453,902.356587800382,100.0,18.0,25.0,73.66099014237453,1004.3565878003823,1243.0,4.0,275.0,275.0,275.0,275.0,971.9687986336121,990.0,0.9219672131147545,0.4800000000000003,988.5980327868855,0.5349347800000003,0.5349347800000003,0.5349347800000003,0.5349347800000003,16.094299373273067,16.094299373273067,16.094299373273067,16.094299373273067,0.9199204554838737,0.9199204554838737,0.9199204554838737,0.9199204554838737,1.1000000000000005,1.1000000000000005,1.1000000000000005,1.1000000000000005,0.9800000000000003,0.9800000000000003,0.9800000000000003,0.9800000000000003,39.15554113413248,39.15554113413248,39.15554113413248,39.15554113413248,156.6221645365299,0.06903486392020454,167.6240686530064,142.48706930316646,4,4,112767.95846630154,30,0.8701231363140551
1935.05,1680.7094546664246,0.2097096774193548,1935.0,5.0,1934.0,8.0,17.156851383614498,47.0,10.0,10.0,10.0,115.0,192.0,0.11506465477749202,1100.0,388.7094546664248,51.794161173504634,7.943442106762356,14.00166313885168,20.245284097209623,294.72490415009656,98.79416117350462,17.943442106762358,24.00166313885168,30.24528409720962,409.7249041500965,1240.7392664191186,4.0,275.0,275.0,275.0,275.0,970.1812086427861,990.0,0.9167279759198815,0.4800000000000003,988.6032720240801,0.5349347800000003,0.5349347800000003,0.5349347800000003,0.5349347800000003,17.887128601293956,17.887128601293956,17.887128601293956,17.887128601293956,0.9303954661308168,0.9303954661308168,0.9303954661308168,0.9303954661308168,1.1000000000000005,1.1000000000000005,1.1000000000000005,1.1000000000000005,0.9800000000000003,0.9800000000000003,0.9800000000000003,0.9800000000000003,43.99983221471362,43.99983221471362,43.99983221471362,43.99983221471362,175.99932885885448,0.10571248711927785,185.38697273560845,167.6240686530064,4,4,130943.50067098773,31,0.9777740492158582
1935.06,947.0812886505431,0.3572,1935.0,6.0,1934.0,9.0,26.15569933058596,47.666666666666664,10.666666666666666,10.0,10.333333333333334,98.66666666666667,177.33333333333334,0.19152311518444265,767.871109300241,1.8768460169687464,0.4736801852349693,0.10724834382678551,0.10724834382678551,0.11618570581235096,1.072483438267855,48.14034685190164,10.773915010493452,10.107248343826786,10.449519039145684,99.73915010493452,836.8926195064629,3.2666666666666666,235.8395565598362,235.8395565598362,234.29637779377396,232.83783856491107,967.5884539729976,990.0,0.4428566219756852,0.2004346717205717,989.3567087063036,0.39764565958152914,0.39764565958152914,0.39288445555206486,0.38662890491199714,21.37060907372466,21.37060907372466,21.13734303418535,20.37629927401213,0.9384003115684197,0.9384003115684197,0.9377695902712534,0.9376674455877154,0.9433582262393448,0.9433582262393448,0.9371855111750959,0.9313513542596442,0.9783333333333335,0.9783333333333335,0.9780769230769232,0.9783333333333336,45.331225955077656,45.331225955077656,44.46204621926589,42.588472876914416,146.23161445095155,0.1551702282160533,187.73696853679104,97.182772409416,4,2,105286.76240468511,30,0.812397858060842
1935.07,492.91985156557445,0.5679032258064516,1935.0,7.0,1934.0,10.0,7.272764341463139,47.41935483870968,9.67741935483871,8.67741935483871,8.03225806451613,95.74193548387096,169.5483870967742,0.35633037700242454,323.3714644688003,0.0,0.0,0.0,0.0,0.0,0.0,47.41935483870968,9.67741935483871,8.67741935483871,8.03225806451613,95.74193548387096,389.1456580171874,1.5806451612903225,211.7228845058577,192.28366549173427,,,965.6707391411568,990.0,0.17180485494457456,0.03467429289376004,989.7935208521618,0.32709978839642256,0.2704899841357566,,,23.79568192260859,23.60383932224663,,,0.9358064516129034,0.9305555555555554,,,0.8468915380234312,0.769134661966937,,,0.9767741935483875,0.9744444444444448,,,45.27269872305233,40.378382189642835,,,68.71821096219978,0.13707348147413673,100.77959032852371,47.286442342976656,2,1,51126.34895587662,31,0.3817678386788876
1935.08,352.6774780120537,0.7113870967741937,1935.0,8.0,1934.0,11.0,2.9145655083162296,47.0,8.0,6.0,5.0,89.0,155.0,0.44200735114263834,197.67747801205365,0.0,0.0,0.0,0.0,0.0,0.0,47.0,8.0,6.0,5.0,89.0,258.67747801205365,1.0,197.67747801205365,,,,965.08039068817,990.0,0.1278429533884594,0.010820353798973396,989.8613366928122,0.2816409689484247,,,,24.499305035694558,,,,0.9325806451612905,,,,0.7907099120482143,,,,0.9735483870967738,,,,43.15411022386404,,,,43.15411022386404,0.12177833917732249,53.821942788196175,33.93982432949322,1,1,32106.658006554848,31,0.23974505679924468
