Exceedance,Flow
0.161,2185.889922821136
0.162,2172.623672768271
0.163,2172.623672768271
0.164,2148.986034275488
0.165,2137.7490969960327
0.166,2121.9932694062904
0.167,2114.1574316970296
0.168,2097.2047735746846
0.169,2083.0388064943427
0.17,2074.2995662346475
0.171,2071.272457301985
0.17200000000000001,2053.58455108284
0.17300000000000001,2041.268011304532
0.17400000000000002,2030.5148730501185
0.17500000000000002,2020.7922448896445
0.176,2008.67733052607
0.177,1995.0873396879153
0.178,1994.5280005154004
0.179,1974.0982528543432
0.18,1955.711102858248
0.181,1948.290326180376
0.182,1936.8613393934968
0.183,1930.2860996193372
0.184,1930.2860996193372
0.185,1905.0582148983835
0.186,1897.008604103617
0.187,1888.0993603526529
0.188,1879.366835279592
0.189,1869.8378304296643
0.19,1855.6156397669731
0.191,1846.5841631575015
0.192,1838.955666814073
0.193,1822.530254553828
0.194,1811.7814344662977
0.195,1799.1849802892295
0.196,1793.647831597054
0.197,1779.9802355615675
0.198,1775.017496006874
0.199,1765.2925460762942
0.2,1753.3371700722337
0.201,1744.0172527951115
0.202,1734.3182261421605
0.203,1720.5333902870304
0.20400000000000001,1720.5333902870304
0.20500000000000002,1699.978126219188
0.20600000000000002,1688.8602074000792
0.20700000000000002,1682.6099369934796
0.20800000000000002,1669.2587828833905
0.209,1660.5642328058252
0.21,1651.6530336391274
0.211,1651.6530336391274
0.212,1633.9522590434847
0.213,1633.7179378720534
0.214,1621.9076952647338
0.215,1610.5067357180728
0.216,1600.4339774725438
0.217,1596.3478126589189
0.218,1590.1626797224928
0.219,1590.1626797224928
0.22,1571.1424094652657
0.221,1571.1424094652657
0.222,1557.003707981691
0.223,1552.0276678439582
0.224,1546.4283037910598
0.225,1546.4283037910598
0.226,1527.538582962355
0.227,1520.0571526197089
0.228,1513.0945369679382
0.229,1505.8683044150396
0.23,1505.8683044150396
0.231,1491.9563154326877
0.232,1491.9563154326877
0.233,1479.4235036993132
0.234,1475.2758747817022
0.23500000000000001,1475.2758747817022
0.23600000000000002,1462.91814406048
0.23700000000000002,1455.7264500774916
0.23800000000000002,1445.30595913405
0.23900000000000002,1434.7468725340734
0.24,1421.249839413898
0.241,1419.175159799596
0.242,1405.705493465549
0.243,1396.6998536895246
0.244,1387.532391939381
0.245,1383.5531199236282
0.246,1378.9705880495296
0.247,1363.9740763077866
0.248,1363.9740763077866
0.249,1363.9740763077866
0.25,1339.3323041728986
0.251,1333.1697436672446
0.252,1322.6726386661032
0.253,1319.7462180304935
0.254,1316.7631088561084
0.255,1312.3988482322193
0.256,1312.3988482322193
0.257,1301.779052341939
0.258,1301.779052341939
0.259,1296.6563244179831
0.26,1296.6563244179831
0.261,1284.2986809571048
0.262,1284.2986809571048
0.263,1275.7548954605918
0.264,1266.587496315371
0.265,1258.8380603267588
0.266,1257.1085203167963
0.267,1249.723441829986
0.268,1245.821141099877
0.269,1245.6133706501255
0.27,1241.2955355055153
0.271,1240.7027304955225
0.272,1234.6126866689142
0.273,1234.6126866689142
0.274,1222.2094624941308
0.275,1222.1625170896182
0.276,1212.2216438884586
0.277,1212.2216438884586
0.278,1204.6554676119758
0.279,1204.278450487602
0.28,1199.8221969319604
0.281,1199.8221969319604
0.28200000000000003,1194.0038015414057
0.28300000000000003,1194.0038015414057
0.28400000000000003,1187.0502198757194
0.28500000000000003,1184.1110044460322
0.28600000000000003,1175.349581626915
0.28700000000000003,1175.349581626915
0.28800000000000003,1164.1002634762028
0.289,1164.1002634762028
0.29,1159.88756477447
0.291,1155.3038423448295
0.292,1155.3038423448295
0.293,1147.295595740708
