WaterYear,Flow_min,Flow_median,Flow_mean,Flow_max,Flow_range,Volume,Flow_mean_pct_var,Flow_max_pct_var,Flow_min_pct_var,Volume_pct_var,Flow_mean_5yr_mvCoefVar,DaysToStart,SeasonStart,MeanQ3070,ExceedanceMean,ExceedanceMedian,ExceedanceMeanQ3070,Max_week,Peak_count,Peak_weeks,Min_weeks
1936,203.8061459600293,619.7545190461182,1205.520611424821,3634.8786938106905,3431.072547850661,38.01729800189315,8.979411145185177,1.1150412626528388,-5.234621884216228,8.91964208851626,14.239953079972178,12 days,1936-10-13,767.6986947381372,0.384,0.508,0.354,26,2,"[22, 26]",[3]
1937,223.3542529784466,531.2356771500782,836.7309302109559,3236.633626812195,3013.279373833748,26.3871466151327,-24.359282456748275,-9.963338450752273,3.8548182026957325,-24.400767121473596,22.169505612149486,29 days,1937-10-30,588.530268790136,0.708,0.669,0.6970000000000001,28,1,[28],[5]
1938,217.17618384072128,531.2356771500782,886.3945933891733,2874.3332570113657,2657.1570731706443,27.953339897120966,-19.869672974187818,-20.04180871834717,0.982151850539619,-19.913619936339458,20.15203229208408,11 days,1938-10-12,583.558797319674,0.667,0.669,0.708,25,1,[25],[4]
1939,213.0493184498424,768.3911907467138,1357.5134721186382,5307.213217297481,5094.163898847638,42.927834020724426,22.719609611893297,47.6360364846553,-0.9367498457629042,22.988338543672953,23.432766920485538,10 days,1939-10-11,823.6940771279973,0.233,0.233,0.273,27,1,[27],[2]
1940,223.3542529784466,525.1372711214523,961.8383004385498,3334.213303152479,3110.8590501740323,30.332532642630106,-13.049540086427868,-7.248867396643964,3.8548182026957325,-13.09722750656853,25.715512001767536,-7 days,1940-09-24,627.4032565436995,0.627,0.708,0.627,26,1,[26],[2]
1941,188.83711717828973,435.0295196320124,656.3989104259971,2219.934107073156,2031.0969898948665,20.700196039194243,-40.66134908301621,-38.24588170733512,-12.194891241381779,-40.69389298421778,25.709439899940843,4 days,1941-10-05,457.9425965242205,0.849,0.91,0.93,30,1,[30],[3]
1942,170.1412690669237,474.62844458917374,673.5880296865465,1669.2587828833905,1499.1175138164667,21.24227210419493,-39.10744774166544,-53.564565718051895,-20.888049669569387,-39.140843870057004,15.144836255401275,2 days,1942-10-03,500.9991056973602,0.8290000000000001,0.798,0.859,31,2,"[29, 31]",[1]
1943,176.34230302947643,552.0600274202372,934.2855241576226,2529.337200639754,2352.9948976102773,29.544350559122005,-15.540319013020888,-29.638907662767917,-18.00470517864626,-15.35537090308262,14.927433129495615,24 days,1943-10-25,637.719591490823,0.657,0.637,0.607,30,2,"[23, 30]",[4]
1944,195.24612294614423,512.1852963232108,1005.3092150915818,3908.5721850878326,3713.3260621416885,31.703431407128125,-9.119756857561473,8.728645730645319,-9.21484443231212,-9.169599542022553,21.781287534822113,16 days,1944-10-17,583.2901226313854,0.5660000000000001,0.728,0.718,27,1,[27],[3]
1945,197.81596030728215,507.01291010502166,687.5350180369745,1571.1424094652657,1373.3264491579835,21.682104328814027,-37.84663597015871,-56.29396660936875,-8.019926545625497,-37.88072358265199,35.44638592692391,21 days,1945-10-22,603.709449595699,0.8190000000000001,0.758,0.667,31,1,[31],[3]
1946,196.56802487688995,650.4969455429126,1252.2869836665152,4776.396167844381,4579.828142967491,39.49212231690723,13.20710469102398,32.86976988275664,-8.600189090545971,13.145016983038616,44.32720638912266,23 days,1946-10-24,712.1600127813599,0.324,0.435,0.445,28,1,[28],[5]
1947,259.3315801156547,786.285646819704,1722.341785253908,6156.610246889619,5897.278666773964,54.46458087001318,55.70019439640519,71.26455972583747,20.583484522804785,56.041143549114814,46.59012653237358,42 days,1947-11-12,865.6167435677056,0.07100000000000001,0.203,0.233,24,1,[24],[4]
1948,196.56802487688995,406.7191800367753,468.6216459655667,919.1435986563256,722.5755737794357,14.778452227170112,-57.636467976392005,-74.43126697386342,-8.600189090545971,-57.65970198288558,41.586091257281424,-1 days,1948-09-30,410.4523937283078,0.98,0.9500000000000001,0.97,30,1,[30],[1]
1949,170.1412690669237,576.1959187504115,1388.5432737482079,5234.139424254167,5063.998155187243,43.78910068092348,25.524712633355236,45.60326999608592,-20.888049669569387,25.455869412567996,44.59893936733899,9 days,1949-10-10,690.9867890777064,0.213,0.607,0.485,22,2,"[22, 29]",[3]
1950,196.56802487688995,661.9805892557591,1237.416761288631,4480.572354652592,4284.004329775702,39.023174983998274,11.862832297021175,24.64054420645106,-8.600189090545971,11.801481846578788,40.95066182083849,19 days,1950-10-20,748.3122436673518,0.334,0.40700000000000003,0.384,25,1,[25],[4]
1951,255.5751765528189,670.8711225778945,1605.701283054415,6156.610246889619,5901.0350703368,50.776128253259934,45.155859339076194,71.26455972583747,18.836839433615847,45.47371871904906,18.00743022596553,8 days,1951-10-09,880.7192040476745,0.122,0.384,0.203,23,1,[23],[2]
1952,217.17618384072128,684.5114350667202,1504.5374483932137,5873.691671244044,5656.515487403323,47.44709297252839,36.01061949325037,63.39433189702862,0.982151850539619,35.9360253443314,18.209220082030406,18 days,1952-10-19,773.0803726248652,0.17200000000000001,0.354,0.34400000000000003,26,1,[26],[3]
1953,257.8651369108727,725.0883811456692,1110.8836979068708,3835.2143836271994,3577.349246716327,35.032828297191074,0.4242068541574222,6.687978697035711,19.901620665697457,0.36912984422202444,23.863565260778422,19 days,1953-10-20,746.0489752295608,0.465,0.334,0.394,28,1,[28],[3]
1954,211.87161339732373,837.3230756189334,1293.6210090259947,3817.568445755139,3605.696832357815,40.79563214064377,16.943712511119426,6.197104066449059,-1.484356808669156,16.87957548462331,23.14489963925456,18 days,1954-10-19,938.4743840101768,0.314,0.159,0.162,27,2,"[23, 27]",[3]
1955,250.27651192656964,860.8844785135982,1785.5120413900738,5744.292056302351,5494.015544375781,56.462175977653466,61.41080377990903,59.79469391557962,16.37307684956837,61.764257910138475,43.40773846707434,19 days,1955-10-20,1040.2587291599539,0.051000000000000004,0.10200000000000001,0.07100000000000001,32,2,"[24, 32]",[3]
1956,290.45081541387407,661.9805892557591,1535.3398479529144,9124.469056239202,8834.018240825328,48.41847744504311,38.79516530197562,153.82444445599356,35.05324492094397,38.719043986828744,43.25598382394736,36 days,1956-11-06,689.318704646232,0.152,0.40700000000000003,0.495,23,1,[23],[3]
1957,284.306365228287,837.3230756189334,2342.6227250419797,9912.21560932307,9627.909244094782,73.87695025692388,111.7737703452986,175.7379749832206,32.19621064257165,111.65762438389409,45.75115856047744,4 days,1957-10-05,1018.9696599304331,0.0,0.159,0.091,21,1,[21],[1]
1958,243.3801233363294,782.3233305093576,1117.3191617092723,4513.909982282766,4270.529858946436,35.23577708366361,1.0059746389512092,25.567930201247478,13.166407740994647,0.9505785622184207,44.67033823469777,19 days,1958-10-20,763.8830083699347,0.455,0.213,0.364,26,1,[26],[3]
1959,197.81596030728215,613.3633844429945,1150.088692426508,4776.396167844381,4578.580207537099,36.36856466738801,3.968349671964999,32.86976988275664,-8.019926545625497,4.196017472038682,45.60411078323718,28 days,1959-10-29,664.5746551929612,0.41500000000000004,0.526,0.5660000000000001,28,1,[28],[4]
1960,203.8061459600293,763.9384554841677,1488.4710268918209,6098.010072677684,5894.203926717654,46.94042230406047,34.55821035329986,69.63442030921047,-5.234621884216228,34.48441276882625,38.14671425916292,19 days,1960-10-20,788.6244153765012,0.192,0.246,0.314,28,1,[28],[4]
1961,264.15258757026163,909.96225648514,1751.9785473566005,5641.434570767771,5377.281983197509,55.25039546943775,58.379366242653454,56.93340478598331,22.825147021169485,58.29250409854135,40.165532628546615,12 days,1961-10-13,1058.7293287204454,0.061,0.031,0.061,28,2,"[24, 28]",[3]
1962,284.306365228287,1105.6678035010311,2118.8336074258764,7036.747050840947,6752.44068561266,66.81953664378244,91.54316953484995,95.74820188970247,32.19621064257165,91.43811891625909,43.78311094011999,22 days,1962-10-23,1273.2721486408077,0.021,0.0,0.0,24,1,[24],[4]
1963,290.45081541387407,845.8180560727407,1029.9708748415283,2464.168992186133,2173.718176772259,32.570150992588744,-6.890335699647339,-31.451756630195998,35.05324492094397,-6.6864460303033155,44.888176781073156,10 days,1963-10-11,823.0360313934685,0.546,0.122,0.28300000000000003,25,2,"[25, 29]",[2]
1964,261.827554361772,606.9722498398709,976.1718164383454,2746.9665531200885,2485.1389987583166,30.78455440319966,-11.753786103879534,-23.58489518816082,21.744057684553088,-11.802184171952662,44.03022285565939,14 days,1964-10-15,666.5548795414691,0.607,0.545,0.556,27,1,[27],[3]
1965,246.53483757678785,629.6408574346408,1223.6341772851003,5488.757147996185,5242.222310419397,38.588527414862924,10.616882725915486,52.686224837526844,14.63328052069445,10.556215608496625,34.314391268277504,36 days,1965-11-06,709.4782777882635,0.364,0.492,0.465,27,1,[27],[6]
1966,264.15258757026163,629.6408574346408,983.0264073304741,3456.3367626105432,3192.184175040282,31.000720781573833,-11.134129109228546,-3.8516374799299395,22.825147021169485,-11.182867024192367,49.007770947478576,19 days,1966-10-20,667.9917823675165,0.596,0.492,0.536,30,1,[30],[4]
1967,255.5751765528189,878.5822981777927,1871.6499768766018,5594.412901538277,5338.837724985458,59.186064228782655,69.19769800437928,55.62535617559226,18.836839433615847,69.56820371889458,42.958507161271115,13 days,1967-10-14,1169.9109513956264,0.041,0.052000000000000005,0.021,27,2,"[20, 27]",[2]
1968,281.4441461388449,892.9799943165575,2160.083246827437,8557.992907431297,8276.548761292452,68.12038527195006,95.27214883999861,138.06621316795838,30.865341678912483,95.16505308670693,45.449235490317506,29 days,1968-10-30,1008.3059560027763,0.011,0.041,0.10200000000000001,27,1,[27],[5]
1969,337.1974964745787,871.8243023092824,1562.5347086630982,4990.68411289969,4653.486616425112,49.276094572399465,41.25358855769113,38.830831098706305,56.78942409997831,41.176118936131665,50.656537732963116,2 days,1969-10-03,968.1372581385051,0.14200000000000002,0.081,0.14200000000000002,24,1,[24],[1]
1970,321.15851994899526,745.4018467824928,1086.0188132940998,3153.1901934691164,2832.0316735201213,34.248689296042734,-1.8235858899998563,-12.284567552551355,49.3316525598836,-1.8774301124711297,57.12908313548688,17 days,1970-10-18,780.607405694803,0.506,0.263,0.324,26,1,[26],[3]
1971,276.155510064253,679.3059043618346,787.9025612567445,1855.6156397669731,1579.4601297027202,24.91536995308528,-28.77338110042098,-48.38049140342687,28.406242150953354,-28.617410483567703,33.38931971305641,17 days,1971-10-18,675.3829208303121,0.748,0.364,0.526,31,1,[31],[3]
1972,229.6310966222925,461.093748295619,592.8397662070756,1240.7027304955225,1011.07163387323,18.695794867106336,-46.407114061421076,-65.48613630425747,6.77341252908748,-46.436506734799046,35.03510956931544,8 days,1972-10-09,501.61083203618307,0.889,0.859,0.849,31,1,[31],[3]
1973,208.03529202968363,851.3629035297034,1126.0782216269708,2854.2386590848696,2646.203367055186,35.512002797228156,1.7977961830789189,-20.60080016473405,-3.268161920460899,1.741965836916291,41.514030435633195,6 days,1973-10-07,841.259531483697,0.435,0.112,0.253,23,2,"[23, 31]",[1]
1974,217.17618384072128,797.8666836674828,1612.5116038497213,5518.409844030327,5301.233660189606,50.852165939004806,45.7715143041996,53.51110341962274,0.982151850539619,45.69156685534107,37.654282203166176,16 days,1974-10-17,982.9274056341889,0.112,0.192,0.122,27,2,"[22, 27]",[3]
1975,240.01852592331463,763.9384554841677,1583.5452499407252,5537.410608407314,5297.392082483999,50.07550131172559,43.15294755211856,54.0396666086151,11.60333883344628,43.46642099616269,30.066500645518808,25 days,1975-10-26,837.2222252651825,0.132,0.246,0.263,27,2,"[27, 31]",[5]
1976,337.1974964745787,740.9792730678978,1142.8114886485016,2844.983429094515,2507.7859326199364,36.03970310601915,3.3104883504789053,-20.858262116342928,56.78942409997831,3.253828378032495,24.558527195169862,42 days,1976-11-12,806.726648541026,0.425,0.273,0.304,32,2,"[28, 32]",[7]
1977,273.29445945498526,1043.776196820501,1898.9221558827323,6342.131410572831,6068.836951117845,59.88440910791785,71.66311085635981,76.42538673028889,27.075916504891502,71.56896332800635,25.827478826335714,40 days,1977-11-10,1153.3078709296037,0.031,0.011,0.031,29,1,[29],[6]
1978,341.5568441466111,878.5822981777927,1498.4070153960809,5396.811669600202,5055.2548254535905,47.2537636375308,35.456426581274414,50.12848587975781,58.816424946946555,35.382136375891314,28.207197341054496,21 days,1978-10-22,968.7098238135164,0.182,0.052000000000000005,0.132,29,1,[29],[3]
1979,314.19200233450715,867.8148184798662,1316.968830480536,3065.214426703256,2751.022424368749,41.645715144987705,19.054362307999746,-14.731877087747305,46.092374996503786,19.315065154984982,43.09806051909967,17 days,1979-10-18,1078.0081288874715,0.293,0.091,0.041,28,3,"[19, 21, 28]",[3]
1980,284.306365228287,704.7195125968648,1159.4850922307267,3456.3367626105432,3172.030397382256,36.5655218685882,4.817786925748808,-3.8516374799299395,32.19621064257165,4.760300285099529,37.136904392481206,21 days,1980-10-22,774.9160966349831,0.394,0.34400000000000003,0.334,31,2,"[27, 31]",[3]
1981,243.3801233363294,469.07873997938367,599.1493608613966,1434.7468725340734,1191.366749197744,18.894774244125006,-45.83672488393534,-60.088217121311004,13.166407740994647,-45.86643038358675,30.86055862056461,32 days,1981-11-02,502.44540042879214,0.879,0.839,0.839,29,1,[29],"[5, 53]"
1982,221.68429704508029,536.8603572310743,616.2218983772624,1140.1333093926228,918.4490123475425,19.433173787225346,-44.29336256594551,-68.28377606645815,3.0783254001028606,-44.323914512727406,21.053861910019698,-1 days,1982-09-30,576.0551559544272,0.869,0.657,0.748,26,2,"[26, 30]",
1983,211.87161339732373,458.7591438718391,658.3251163314305,1779.9802355615675,1568.1086221642438,20.817820158679027,-40.4872195133273,-50.484516781266706,-1.484356808669156,-40.356899624126235,6.312929533219471,5 days,1983-10-06,488.7299264229441,0.839,0.869,0.899,27,1,[27],[1]
1984,201.4210899254934,502.8035524452925,733.2318804218049,1930.2860996193372,1728.8650096938438,23.12320058098204,-33.715626424004675,-46.30330884381921,-6.343620515614007,-33.75197966209704,6.777636187806029,12 days,1984-10-13,571.7588644969204,0.788,0.768,0.768,31,1,[31],[2]
