Exceedance,VicFalls_full,VicFalls_overlap,VicFalls_factor_smooth,Ngonye_gauged,Ngonye_scaled,Ngonye_synthetic,Conversion
0.048,3586.7,3667.4,0.9803304935124132,3795.74,3721.079667444807,3721.0796674448075,1.0374661018331077
0.049,3561.9428,3651.9,0.9778306977925739,3760.5203,3677.1521890121394,3681.947654257591,1.032344536529935
0.05,3544.0,3637.08,0.9762662668594068,3743.0911,3654.2535747116704,3660.9557892251087,1.0311099251443765
0.051000000000000004,3514.6,3605.4,0.9749294215545851,3728.3506,3634.8786938106905,3634.8786938106905,1.034222584023983
0.052000000000000005,3496.8,3590.0,0.974401121767122,3707.3805,3612.475718017554,3612.475718017554,1.0330804501308493
0.053,3479.9804,3574.6,0.9736387965205612,3690.4084,3593.1247932453693,3596.395574335644,1.0325129397985602
0.054,3453.1,3544.0,0.9724595842770573,3670.0281,3568.954000411118,3568.954000411118,1.0335507226582255
0.055,3438.1,3528.8,0.9711523255280822,3658.479,3552.9403887456524,3552.9403887456524,1.0334022828729974
0.056,3408.3,3513.6,0.9695895339692508,3639.8764,3529.1860623816747,3529.186062381675,1.0354681402404937
0.057,3379.9916,3498.4,0.9674973275470783,3623.7402,3505.9589592249154,3514.1961572510754,1.0372685420948726
0.058,3363.7,3483.3,0.9649942891731264,3619.4296,3492.728894064173,3492.7288940641733,1.0383592157636452
0.059000000000000004,3352.6016,3481.0544,0.9624977456495766,3610.6807,3475.272034010435,3478.691121228249,1.0365896246098658
0.06,3321.3,3463.712,0.9606319526948599,3597.9823,3456.3367626105432,3456.3367626105432,1.0406578034536305
0.061,3304.0288,3453.1,0.9593075088747304,3577.0532,3431.4939944043826,3424.308177153206,1.0385787177171042
0.062,3304.0,3453.1,0.9576904601692791,3555.4665,3405.036348501456,3405.036348501456,1.0305800086263486
0.063,3290.1592,3438.1,0.9563108312262827,3543.8856,3389.0561839068537,3389.09821029035,1.0300584190293447
0.064,3275.6,3423.2,0.9548375995433058,3526.5423,3367.275184419929,3367.275184419929,1.0279872952802322
0.065,3252.6,3408.2,0.9535331617809809,3512.0145,3348.822290405651,3349.7259624014564,1.029583192032728
0.066,3235.6,3393.599,0.9516886778363371,3503.4706,3334.213303152479,3334.213303152479,1.0304775940018789
0.067,3218.7892,3393.3,0.949808918808839,3489.0813,3313.9605371891384,3320.706674843682,1.0295674339870218
0.068,3201.8,3378.5,0.9474385620264948,3466.5319,3284.325998554973,3284.325998554973,1.0257748761805774
0.069,3189.0,3378.5,0.9451836523831226,3457.5078,3267.979850547135,3267.979850547135,1.0247663375814158
0.07,3174.7,3363.7,0.9431713257829454,3443.1939,3247.5217555907507,3247.52175559075,1.0229381533974078
0.07100000000000001,3160.4,3361.0909,0.9412310770344209,3435.5629,3233.6585685864984,3236.633626812195,1.0231801571277364
0.07200000000000001,3134.7,3339.9,0.9394002073438348,3427.1676,3219.4819540420726,3219.4819540420726,1.0270462736600225
0.073,3132.0,3334.2,0.9375053949678076,3415.9286,3202.4514913248304,3202.4514913248304,1.0224940904613125
0.074,3103.7,3319.5,0.9351985518200381,3406.0882,3185.3687520113203,3185.3687520113203,1.0263133524539487
0.075,3089.6,3304.8,0.9337849060858333,3389.0165,3164.6124541758395,3164.61245417584,1.0242790180527706
0.076,3075.6,3304.8,0.932038149708419,3377.6542,3148.10257092287,3153.1901934691164,1.0235734721429544
0.077,3052.2,3290.2,0.9301179784517564,3371.9788,3136.3381048381793,3136.3381048381793,1.0275663799351875
0.078,3047.6,3275.6,0.9288181916973933,3352.1446,3113.532885680182,3113.5328856801816,1.0216343633285805
0.079,3030.6496,3271.6606,0.9269265497612039,3343.1468,3098.8515286692095,3100.8389698159062,1.0225040627161943
0.08,3019.5,3261.1,0.9260053436625834,3323.8908,3077.940642550899,3077.940642550899,1.0193544105152836
0.081,3006.0,3246.6,0.9253862518514467,3306.8181,3060.0840071135226,3065.214426703256,1.0179920183345053
0.082,2992.2,3246.6,0.9242520428170755,3304.1697,3053.8855950392835,3053.8855950392835,1.0206154652226735
0.083,2987.1,3232.1,0.9240648324402683,3287.303,3037.6810958753913,3037.6810958753913,1.0169331779570123
0.084,2971.0,3217.7,0.9240377891082103,3281.6884,3032.4040936780602,3032.4040936780607,1.0206678201541772
0.085,2954.9,3203.3,0.9243016691036746,3267.6685,3020.311448627501,3020.3114486275003,1.0221366031430845
0.08600000000000001,2949.8992,3189.0,0.925361122529875,3259.2681,3015.999987641813,3017.028938864132,1.022407812321795
0.08700000000000001,2938.9,3174.7,0.9259318308303982,3248.0808,3007.5014018290644,3007.501401829064,1.0233425437507448
0.088,2923.7,3151.4256,0.927103688268725,3229.5662,2994.142735528011,2994.142735528011,1.0240936948141093
0.089,2923.0,3146.2,0.927673354650512,3214.6109,2982.1088774991017,2982.1088774991017,1.020221990249436
0.09,2907.1,3132.0,0.927754184012968,3206.2097,2974.574463997963,2974.574463997963,1.0232102315014837
0.091,2891.2,3103.7,0.9281740497673435,3193.9038,2964.4986246133076,2964.498624613308,1.0253523189725056
0.092,2875.4,3103.7,0.9270671045886446,3181.2788,2949.2589260052378,2949.2589260052378,1.0256864874470466
0.093,2859.7,3089.6,0.9256152701371212,3169.2938,2933.5467368309032,2933.5467368309032,1.0258232460855696
0.094,2856.2,3075.6,0.9247894904309789,3157.664,2920.174481512247,2920.1744815122474,1.0223984600210936
0.095,2829.522,3075.6,0.9228375572882482,3144.1939,2901.5802183166106,2901.6602047090223,1.0254665693769516
0.096,2813.2872,3061.6,0.9214832589466324,3128.7856,2883.1235512332946,2885.2683023870422,1.02482375465729
0.097,2811.144,3047.6,0.9198159747825073,3123.0606,2872.641030093842,2874.3332570113657,1.0218761579249735
0.098,2797.3,3047.6,0.9172907114903229,3111.5966,2854.2386590848696,2854.2386590848696,1.0203548632913415
0.099,2781.8,3033.7117,0.9157316988648869,3106.7871,2844.9834290945155,2844.983429094515,1.0227131458388508
0.1,2768.66,3029.44,0.9144724711558345,3100.1635,2835.014176832121,2838.423984178964,1.023966170216683
