WaterYear,Flow_max,Flow_min,EWRProportion_max,EWRProportion_min,HeadTurbine1_max,HeadTurbine1_min,PowerTurbine1_max,LevelTailwater_max,LevelTailwater_min,Power_max,Power_min,Energy,CapFactor,Prop4Units,Prop3Units,Prop2Units,Prop1Units,Prop0Units,Days0Units,PropDays1uPotentialGtRatedPower,PropDays2uPotentialGtRatedPower,PropDays3uPotentialGtRatedPower,PropDays4uPotentialGtRatedPower,FstDay1uPotentialLessRatedPower,LstDay1uPotentialLessRatedPower,FstDay2uPotentialLessRatedPower,LstDay2uPotentialLessRatedPower,FstDay3uPotentialLessRatedPower,LstDay3uPotentialLessRatedPower,FstDay4uPotentialLessRatedPower,LstDay4uPotentialLessRatedPower,Exceedance
1935,2496.448990885489,188.83711717828973,0.4924879249887852,0.0610507585289189,25.42725224321447,15.76477285647202,59.24015233823136,972.2983251504132,964.4002561590069,193.97387118744973,20.194240472355037,827325.7984722061,0.524686579447112,0.2876712328767123,0.11232876712328767,0.18082191780821918,0.42191780821917807,0.0,0,293,290,284,274,80.0,152.0,78.0,153.0,74.0,155.0,68.0,159.0,0.65
1936,3634.8786938106905,203.80614596002928,0.5387097437901702,0.0500520042361285,25.404459745224656,13.156807441429308,59.68360878103131,974.906290565456,964.4228368757599,192.8591956728547,22.74240842864802,848433.8747745324,0.5380732336215959,0.3917808219178082,0.07123287671232877,0.1643835616438356,0.3726027397260274,0.0,0,244,242,237,227,44.0,164.0,43.0,165.0,42.0,169.0,37.0,174.0,0.5
1937,3236.633626812195,223.35425297844657,0.5507309429826756,0.0457265223885618,25.24612095625239,14.00070770244993,59.24015233823136,974.0623903044353,964.5401255178708,192.87108351198245,26.57754981465041,855157.2388319029,0.5423371631354026,0.29863013698630136,0.1232876712328767,0.20821917808219179,0.3698630136986301,0.0,0,306,306,298,282,85.0,143.0,85.0,143.0,81.0,147.0,73.0,155.0,0.45
1938,2874.3332570113653,217.17618384072128,0.4975429966955118,0.0697457443120961,25.296742897969075,14.852638420995802,57.14739082344543,973.2104595858896,964.5030571030444,191.76266777066053,25.69461821199036,835422.2538414135,0.5298213177583799,0.30684931506849317,0.11506849315068493,0.1726027397260274,0.4054794520547945,0.0,0,288,287,281,273,55.0,131.0,55.0,132.0,52.0,135.0,51.0,142.0,0.6000000000000001
1939,5307.213217297481,213.04931844984242,0.5399585431626611,0.0464486581588523,25.330259120171643,10.111503237305966,59.08298706013626,977.983108354638,964.4782959106993,192.23679539856,25.174768048318857,900353.8575959806,0.571000670722971,0.410958904109589,0.12602739726027398,0.18082191780821918,0.28493150684931506,0.0,0,262,261,252,239,63.0,166.0,62.0,166.0,59.0,172.0,50.0,176.0,0.25
1940,3334.213303152479,223.35425297844657,0.5283087222493447,0.0548855107221168,25.288301429655128,13.79393172163357,59.24015233823136,974.2691662852516,964.5401255178708,192.23679539856,22.330681568979283,879377.9151385091,0.5576978152831742,0.3643835616438356,0.06027397260273973,0.19726027397260273,0.3780821917808219,0.0,0,277,275,265,253,55.0,142.0,54.0,143.0,49.0,148.0,43.0,154.0,0.30000000000000004
1941,2219.934107073156,188.83711717828973,0.4818967868169834,0.066668645491973,25.423296861505214,16.432222576019015,59.68360878103131,971.6308754308662,964.4002561590069,192.5188769494943,20.612875137722465,768108.9094628398,0.4871314747988583,0.22465753424657534,0.10684931506849316,0.2136986301369863,0.4547945205479452,0.0,0,321,319,317,304,98.0,141.0,97.0,142.0,96.0,143.0,89.0,149.0,0.9
1942,1669.2587828833905,170.14126906692368,0.457603541966144,0.0886621065095446,25.387947692375857,18.031646554492756,59.78363961739755,970.0314514523924,964.4002561590069,193.3681137172105,24.972889306073085,822866.7894022175,0.5218586944458508,0.2493150684931507,0.11232876712328767,0.2410958904109589,0.3972602739726027,0.0,0,309,306,299,286,93.0,148.0,92.0,150.0,90.0,155.0,84.0,162.0,0.65
1943,2529.337200639754,176.34230302947643,0.4517898301198813,0.0798671585563497,25.411924104928342,15.685387522582413,59.503061381765825,972.3777104843028,964.4002561590069,191.78588424649547,21.991526700899858,857929.5065408398,0.5440953237828766,0.3561643835616438,0.09041095890410959,0.14520547945205478,0.410958904109589,0.0,0,265,262,255,245,51.0,151.0,50.0,153.0,46.0,156.0,40.0,160.0,0.45
1944,3908.572185087833,195.24612294614425,0.5451865274825662,0.0597021854020251,25.388197246850144,12.576837900389664,58.16045925707901,975.4862601064957,964.4002561590069,192.8591956728547,24.63614079840316,809870.4116260618,0.5136164457293644,0.3041095890410959,0.1178082191780822,0.1917808219178082,0.3863013698630137,0.0,0,280,279,275,264,67.0,151.0,67.0,152.0,66.0,155.0,55.0,159.0,0.75
