MonthId,Year,Month,Days,DateStart,WaterYear,WaterMonth,Flow_min,Flow_mean,Flow_median,Flow_max,Volume,Flow_range
1989.05,1989,5,31,1989-05-01,1988,8,2588.130878115853,3321.1960332358735,3410.28553875233,3825.645919340984,8.895491455418965,1237.515041225131
1989.06,1989,6,30,1989-06-01,1988,9,1210.2544854472194,1827.5545539875686,1818.660698462466,2549.2628477944536,4.7370214039357785,1339.0083623472342
1989.07,1989,7,31,1989-07-01,1988,10,542.312031935305,814.4604313038487,776.6340951849378,1186.5978498257866,2.181450819204229,644.2858178904817
1989.08,1989,8,31,1989-08-01,1988,11,363.14236195571954,432.113497823859,423.95341148314105,530.8286026115426,1.157372792571424,167.68624065582304
1989.09,1989,9,30,1989-09-01,1988,12,271.9562257336665,312.37633806455466,312.5137436482065,357.5287841800631,0.8096794682633256,85.57255844639661
1989.1,1989,10,31,1989-10-01,1989,1,258.928656488806,264.9066754317003,266.40022953190976,271.9562257336665,0.709526039476266,13.027569244860501
1989.11,1989,11,30,1989-11-01,1989,2,235.7365748966553,244.28584239802296,241.2674784651609,258.928656488806,0.6331889034956756,23.192081592150686
1989.12,1989,12,31,1989-12-01,1989,3,244.4626045006759,290.80866296184723,266.40022953190976,423.95341148314105,0.7789019228770117,179.49080698246516
1990.01,1990,1,31,1990-01-01,1989,4,432.3923384828149,508.6890862524645,489.72956158689584,679.041580941846,1.3624728486186009,246.64924245903103
1990.02,1990,2,28,1990-02-01,1989,5,688.384234846645,724.9537857952872,727.8814347625611,755.7781270456112,1.7538081985959588,67.39389219896623
1990.03,1990,3,31,1990-03-01,1989,6,773.5352092678303,872.512033352886,898.4080553732088,947.9134202370972,2.3369362301323697,174.3782109692669
1990.04,1990,4,30,1990-04-01,1989,7,898.4080553732088,914.7809610137494,907.3771579506144,947.9134202370972,2.371112250947638,49.50536486388842
1990.05,1990,5,31,1990-05-01,1989,8,916.553878264532,983.198134259139,995.6407772993656,1015.7994747954344,2.633397882799678,99.24559653090239
1990.06,1990,6,30,1990-06-01,1989,9,504.5174395199802,760.8684641043427,778.14802903296,995.6407772993656,1.9721710589584565,491.1233377793854
1990.07,1990,7,31,1990-07-01,1989,10,345.8660932997189,409.18850855783404,397.6850673448427,497.238535431987,1.0959705013213026,151.37244213226808
1990.08,1990,8,31,1990-08-01,1989,11,266.40022953190976,306.60134843708363,308.77932941501274,341.99444031358274,0.8212010516538848,75.59421078167298
1990.09,1990,9,30,1990-09-01,1989,12,213.83113399243985,234.14468046937884,231.19832985246126,266.40022953190976,0.60690301177663,52.56909553946991
1990.1,1990,10,31,1990-10-01,1990,1,202.369186494966,213.9356969757075,213.83113399243985,228.0119559096817,0.5730053707797349,25.6427694147157
1990.11,1990,11,30,1990-11-01,1990,2,202.369186494966,217.13066897538792,213.83113399243985,244.4626045006759,0.5628026939842055,42.09341800570991
1990.12,1990,12,31,1990-12-01,1990,3,244.4626045006759,319.5482223496176,316.27503353565373,432.3923384828149,0.8558779587412159,187.92973398213903
1991.01,1991,1,31,1991-01-01,1990,4,418.5545619886844,520.1422310185428,497.238535431987,688.384234846645,1.393148951560065,269.8296728579606
1991.02,1991,2,28,1991-02-01,1990,5,700.4402069369013,954.4042526243165,907.4809668188705,1536.2313009919983,2.3088947679487464,835.791094055097
1991.03,1991,3,31,1991-03-01,1990,6,1536.2313009919983,2132.569870947792,2159.6705315052645,2294.569526323532,5.711875142346567,758.3382253315337
1991.04,1991,4,30,1991-04-01,1990,7,1734.8542044148985,1882.7892653654867,1879.533739915912,2107.2037932729168,4.880189775827342,372.34958885801825
1991.05,1991,5,31,1991-05-01,1990,8,1117.9595850490368,1469.8736786924162,1536.2313009919983,1697.193024474648,3.936909661009768,579.2334394256111
1991.06,1991,6,30,1991-06-01,1990,9,441.96648383669736,698.7745885093041,642.0242297624934,1103.0598300074992,1.811223733416116,661.0933461708019
1991.07,1991,7,31,1991-07-01,1990,10,320.5117836285301,370.7141731273333,366.7137819846599,437.7121544241339,0.9929208413042496,117.20037079560382
1991.08,1991,8,31,1991-08-01,1990,11,256.6659042898363,282.42981555626,280.8790272711299,316.27503353565373,0.7564600179858868,59.60912924581743
1991.09,1991,9,30,1991-09-01,1990,12,202.95945475646465,223.65705863875937,221.20742919891376,250.88887595387268,0.5797190959916643,47.92942119740803
1991.1,1991,10,31,1991-10-01,1991,1,193.12284525271957,203.99315223998116,200.7103925487949,229.707769648906,0.5463752589595655,36.58492439618644
1991.11,1991,11,30,1991-11-01,1991,2,232.68889005601648,261.91855336275233,262.6513991364098,305.5161658431452,0.6788928903162541,72.82727578712871
1991.12,1991,12,31,1991-12-01,1991,3,305.5161658431452,440.3343233578652,470.3137771040112,559.8981151808364,1.1793914516817061,254.3819493376912
1992.01,1992,1,31,1992-01-01,1991,4,474.6352503668669,547.7445459738542,556.3270194530895,612.617015667972,1.467078991936371,137.98176530110516
1992.02,1992,2,29,1992-02-01,1991,5,612.617015667972,677.6741403081357,671.7809281930272,739.1856820484668,1.6979803259560649,126.56866638049473
1992.03,1992,3,31,1992-03-01,1991,6,751.19715816951,866.4044994701588,898.4080553732088,916.553878264532,2.3205778113808733,165.35672009502207
1992.04,1992,4,30,1992-04-01,1991,7,842.9290012782407,861.0840578679268,854.6593358595118,898.4080553732088,2.2319298779936663,55.47905409496809
1992.05,1992,5,31,1992-05-01,1991,8,612.617015667972,776.3305664088183,814.2965068478956,842.9290012782407,2.079323789069379,230.3119856102686
1992.06,1992,6,30,1992-06-01,1991,9,366.7137819846599,451.04467570094977,439.8393191304157,578.6015237526551,1.169107799416862,211.88774176799524
1992.07,1992,7,31,1992-07-01,1991,10,271.9562257336665,322.89072404694423,322.62396726977863,366.7137819846599,0.8648305152873355,94.75755625099339
1992.08,1992,8,31,1992-08-01,1991,11,229.707769648906,254.08807224877947,256.6659042898363,275.0270298988165,0.680549492711131,45.31926024991051
1992.09,1992,9,30,1992-09-01,1991,12,172.9381240234221,199.8257729033325,202.369186494966,228.0119559096817,0.5179484033654379,55.0738318862596
1992.1,1992,10,31,1992-10-01,1992,1,165.26956460610157,171.16056794348248,169.35749394086503,184.1355759807225,0.4584364651798235,18.86601137462094
1992.11,1992,11,30,1992-11-01,1992,2,188.71809469755024,206.58751854403752,202.95945475646465,244.4626045006759,0.5354748480661452,55.74450980312565
1992.12,1992,12,31,1992-12-01,1992,3,238.9285993269684,288.9351340853478,285.9517742421789,407.22722220422384,0.7738838631341954,168.29862287725544
1993.01,1993,1,31,1993-01-01,1992,4,372.95203746965217,412.7924683635317,397.6850673448427,504.5174395199802,1.1056233472648833,131.56540205032803
1993.02,1993,2,28,1993-02-01,1992,5,500.0951255576354,751.226315646132,820.578144437482,923.6446316744818,1.8173667028111222,423.54950611684643
1993.03,1993,3,31,1993-03-01,1992,6,923.6446316744818,1190.1163144751295,1108.121351813675,1831.6933538389776,3.187607536690187,908.0487221644958
1993.04,1993,4,30,1993-04-01,1992,7,1898.7540479665963,2894.2343360797586,2884.750356341186,3616.3691610323463,7.5018553991187344,1717.61511306575
1993.05,1993,5,31,1993-05-01,1992,8,1734.8542044148985,2474.0318583469534,2420.8622299515114,3410.28553875233,6.62644692939648,1675.4313343374315
1993.06,1993,6,30,1993-06-01,1992,9,697.1149473553854,1172.7303936748478,1166.5356680241339,1683.4305970646828,3.039717180405206,986.3156497092974
1993.07,1993,7,31,1993-07-01,1992,10,356.7109348173509,463.6610558403931,451.4626359831988,667.7618672124413,1.2418697719629088,311.0509323950904
1993.08,1993,8,31,1993-08-01,1992,11,252.96974680357664,299.3796604205573,293.642962740797,350.0559631693824,0.8018584824704206,97.08621636580574
1993.09,1993,9,30,1993-09-01,1992,12,202.95945475646465,222.621087938785,219.42748594210178,249.26400691579065,0.5770338599373307,46.30455215932599
1993.1,1993,10,31,1993-10-01,1993,1,174.7541703854207,188.21580604748357,190.4427059591993,202.369186494966,0.50411721491758,27.61501610954528
1993.11,1993,11,30,1993-11-01,1993,2,181.25563079734215,223.793998684409,211.5921314863195,285.9517742421789,0.5800740445899881,104.69614344483674
1993.12,1993,12,31,1993-12-01,1993,3,285.9517742421789,312.7120503241899,301.8753632770107,372.95203746965217,0.8375679555883102,87.00026322747328
1994.01,1994,1,31,1994-01-01,1993,4,375.9985360204415,528.2655558431027,559.8981151808364,732.6288110618623,1.4149064647701663,356.63027504142076
1994.02,1994,2,28,1994-02-01,1993,5,702.9510983870586,855.8801530567429,842.3858583300937,1066.5204545505662,2.0705452662748725,363.5693561635077
1994.03,1994,3,31,1994-03-01,1993,6,1090.819343202821,1506.1079963669672,1511.7837480150497,1831.6933538389776,4.0339596574692855,740.8740106361565
1994.04,1994,4,30,1994-04-01,1993,7,1179.8333969152577,1534.1424895849223,1534.4029050302481,1822.3313243484292,3.9764973330041187,642.4979274331715
1994.05,1994,5,31,1994-05-01,1993,8,450.6787016694919,753.1423591568795,729.1794589441976,1147.327227684349,2.017216494765786,696.6485260148572
1994.06,1994,6,30,1994-06-01,1993,9,305.5161658431452,360.6315594185418,354.71251265248947,441.96648383669736,0.9347570020128604,136.45031799355218
1994.07,1994,7,31,1994-07-01,1993,10,259.60878218950563,276.4496242717322,271.9562257336665,301.8753632770107,0.7404426736494076,42.266581087505074
1994.08,1994,8,31,1994-08-01,1993,11,205.48892411964243,229.07486207312624,230.98386019374172,258.02197954483034,0.6135541105766613,52.53305542518791
1994.09,1994,9,30,1994-09-01,1993,12,157.2841186068731,181.96392075579493,181.25563079734215,207.08601232648496,0.4716504825990205,49.801893719611854
1994.1,1994,10,31,1994-10-01,1994,1,137.81244205250002,156.90904092047447,158.67212901112612,165.26956460610157,0.4202651752013988,27.45712255360155
1994.11,1994,11,30,1994-11-01,1994,2,156.0701097231717,170.97576845697716,165.4074774642166,193.12284525271957,0.4431691918404848,37.052735529547874
1994.12,1994,12,31,1994-12-01,1994,3,188.71809469755024,233.63740063818824,244.4626045006759,280.8790272711299,0.6257744138693234,92.16093257357969
1995.01,1995,1,31,1995-01-01,1994,4,282.51762710592146,330.14946321986395,322.62396726977863,386.2738414141663,0.8842723222880836,103.75621430824486
