ExceedanceRnd,EWRTotal,FlowSpill,FlowAvailableForGeneration,FlowCanal,Power,Energy,LevelHeadpond,LevelTailwater,HeadTurbine1,Flow,Exceedance,GenerationVol,MaxGenerationFlow,MaxFlowFromStore,MaxVolFromStore,MaxVolToStore,StoreVol,PeakStoreFlow,OffpeakStoreFlow,OffpeakFlowCanal,PeakFlowCanal,PeakVol,OffpeakVol,PeakEnergy,OffpeakEnergy,EnergyTransfer,EnergyTransferProp,PeakPower,OffpeakPower,HeadpondDrop,PeakTailwaterFlow,OffpeakTailwaterFlow,PeakTailwaterLevel,OffpeakTailwaterLevel,TailwaterDrop
0.26,180.6031746031746,31.97836705252147,1119.9576207194737,1087.9792536669506,188.39316134254778,4521.4358722211455,990.0,968.93906966168,19.274943724643993,1300.5607953226486,0.25969841269841304,94.00140751682487,1062.1024412685072,-25.87681239844395,-0.18631304926879624,31.318474345900952,-0.18631304926879624,-25.87681239844394,-5.175362479688785,1093.154616146639,1062.1024412685072,15.294275154266478,78.70713236255801,735.7388379168784,3785.697034304268,-17.833807453311714,-0.003903268601873441,183.9347094792196,189.28485171521325,-0.018631304926879623,1274.6839829242035,1305.7361578023347,968.8475999368333,968.9572118956029,-0.10961195877088016
0.265,181.51111111111112,5.541652355747703,1067.3757614634897,1061.8341091077418,187.15836519477267,4491.800764674541,990.0,968.7558826878518,19.568024834507366,1248.8868725745983,0.2651277777777786,91.74246702690901,1046.2425034391763,-15.59160566856506,-0.11225956081366846,29.425527412685597,-0.11225956081366846,-15.59160566856507,-3.1183211337130174,1064.9524302414543,1046.2425034391763,15.065892049524134,76.67657497738469,737.8880399832032,3753.912724691335,-10.745420795886925,-0.002218874379936583,184.4720099958008,187.69563623456685,-0.011225956081366843,1233.2952669060344,1252.0051937083128,968.6992733786396,968.7669766342376,-0.06770325559569225
0.27,175.5874125874126,0.0,1037.9439993304538,1037.9439993304538,185.5363471899806,4452.872332559532,990.0,968.6287253542594,19.78621082260756,1213.5314119178665,0.27017482517482494,89.67836154215134,1034.6849816389333,-3.2590176915217564,-0.023464927378956644,28.365983975896366,-0.023464927378956644,-3.2590176915217555,-0.6518035383043511,1038.5958028687592,1034.6849816389333,14.899463735600637,74.77889780655072,740.0,3712.8723325595315,-2.145388759921918,-0.0002616055814171929,185.0,185.64361662797648,-0.0023464927378956633,1210.2723942263458,1214.1832154561716,968.6160051476932,968.6310524967557,-0.015047349062186001
0.275,182.2132701421801,0.0,1011.7963316870761,1011.7963316870761,182.3171110734381,4375.610665762516,990.0,968.5577491605922,19.945768311716353,1194.0096018292563,0.27513270142180135,87.41920305776326,1026.4076503032557,14.611318616181466,0.10520149403650665,27.42466794073475,0.10520149403650665,14.61131861618145,2.9222637232362945,1008.8740679638394,1026.4076503032557,14.780270164366891,72.63893289339646,740.0,3635.610665762514,10.731555706248146,0.002716915144472809,185.0,181.7805332881255,0.010520149403650645,1208.6209204454349,1191.08733810602,968.6098873304211,968.5470438171643,0.06284351325864335
0.28,177.26174496644296,0.0,1000.7465994237741,1000.7465994237741,181.1970356525019,4348.728855660046,990.0,968.4992067440805,20.042059367644267,1178.008344390217,0.2799798657718123,86.46450619021411,1021.4726554732822,20.726056049508564,0.14922760355646172,27.026877579255842,0.14922760355646172,20.726056049508582,4.145211209901716,996.6013882138716,1021.4726554732822,14.709206238815266,71.75529995139881,740.0,3608.728855660046,15.211857389991934,0.0037882593027350254,185.0,180.43644278300263,0.014922760355646164,1198.7344004397253,1173.8631331803153,968.5738848047612,968.483943065707,0.08994173905467664
0.285,180.65071770334927,0.0,971.25154554959,971.25154554959,177.5386762949367,4260.928231078478,990.0,968.4029026216366,20.23295539116252,1151.9022632529393,0.2854210526315784,83.91613353548453,1011.8289193869052,40.577373837316365,0.29215709162867765,25.965055639785216,0.29215709162867765,40.57737383731635,8.115474767463265,963.1360707821259,1011.8289193869052,14.570336439171447,69.34579709631306,740.0,3520.9282310784793,29.845294820253365,0.007293641430860089,185.0,176.04641155392397,0.02921570916286776,1192.4796370902545,1143.7867884854747,968.5511747446462,968.3727412206372,0.17843352400839532
0.29,173.40540540540542,0.0,959.1668669788013,959.1668669788013,176.31183899076376,4231.48413577833,990.0,968.3310998440427,20.345132634267955,1132.5722723842068,0.2898783783783782,82.87201730696843,1006.2346953057198,47.067828326917876,0.3388883639538089,25.530007211236857,0.3388883639538089,47.06782832691788,9.413565665383578,949.7533013134183,1006.2346953057198,14.489779612402357,68.38223769456614,740.0,3491.4841357783293,34.75264403694544,0.008490215244646047,185.0,174.57420678891637,0.03388883639538087,1179.6401007111253,1123.1587067188239,968.5042881938999,968.2958776304969,0.20841056340299707
0.295,175.1917808219178,0.0,949.6002307141183,949.6002307141183,175.01003037922553,4200.240729101416,990.0,968.3020128170806,20.399491406560404,1124.7920115360357,0.29411415525114093,82.0454599336998,1003.5605694706569,53.960338756537624,0.38851443904707067,25.185608305708225,0.38851443904707067,53.96033875653764,10.792067751307535,938.8081629628101,1003.5605694706569,14.451272200377439,67.59418773332243,740.0,3460.2407291014147,39.95987848309763,0.009861534261485871,185.0,173.01203645507093,0.03885144390470712,1178.7523502925746,1113.999943784728,968.5008466809954,968.2614953742027,0.2393513067930644
0.3,174.84662576687117,0.0,926.8362890662312,926.8362890662312,171.81402410240048,4123.536578457608,990.0,968.2151613514633,20.54795600876485,1101.6829148331014,0.29966871165644104,80.07865537532243,996.3044640104064,69.46817494417462,0.5001708595980572,24.366106406384347,0.5001708595980572,69.46817494417462,13.893634988834933,912.9426540773972,996.3044640104064,14.346784281749851,65.73187109357258,738.8241264395069,3384.7124520181023,51.56803002990502,0.0128466847787533,184.70603160987673,169.23562260090517,0.0500170859598057,1171.1510897772773,1087.7892798442679,968.4731225272767,968.1625351812459,0.3105873460306282
0.305,168.10798122065728,0.0,918.4111127283887,918.4111127283887,170.70606087942684,4096.945461106243,990.0,968.157791079546,20.628067832391284,1086.5190939490462,0.30523004694835665,79.35072013973297,992.4338103296765,74.02269760128725,0.5329634227292678,24.062800058222063,0.5329634227292678,74.02269760128725,14.804539520257444,903.6065732081317,992.4338103296765,14.291046868747348,65.05967327098563,737.8390097423446,3359.106451363896,55.01476622463762,0.01385585154547272,184.45975243558615,167.9553225681949,0.053296342272926824,1160.5417915503335,1071.7145544287887,968.4338024873731,968.1014019661699,0.33240052120198255
0.31,174.68072289156626,0.0,902.8501890120876,902.8501890120876,168.5643799137705,4045.5451179304923,990.0,968.1236185417517,20.669643646865342,1077.530911903657,0.31138554216867437,78.00625633064449,990.425891509168,87.57570249707985,0.630545057978975,23.502606804435207,0.630545057978975,87.57570249707986,17.515140499415963,885.3350485126738,990.425891509168,14.262132837732027,63.74412349291245,739.727071551512,3305.8180463789795,65.46955189643049,0.016622676215137945,184.931767887878,165.29090231894904,0.06305450579789743,1165.106614400735,1060.0157714042396,968.4505733683038,968.0566404540823,0.39393291422119686
0.315,167.78620689655173,0.0,895.0354527366484,895.0354527366484,167.63518498036737,4023.244439528819,990.0,968.0674521978792,20.75146918355932,1062.8216596332002,0.3151793103448273,77.33106311644642,986.5181745541665,91.48272181751902,0.6586755970861362,23.221276298519324,0.6586755970861362,91.48272181751899,18.29654436350378,876.7389083731437,986.5181745541665,14.205861713580013,63.125201402866416,739.1097219518768,3284.134717576939,68.56898203040727,0.017483568014629587,184.7774304879692,164.20673587884704,0.06586755970861365,1154.3043814507178,1044.5251152696958,968.4106753144447,967.9971073152598,0.41356799918605547
0.32,165.51764705882354,0.0,880.729459321345,880.729459321345,165.654860872841,3975.7166609481815,990.0,968.0037931375717,20.843896101279192,1046.2471063801686,0.32008823529411784,76.09502528536444,982.1407916788015,101.41133235745308,0.730161592973662,22.706260535568518,0.730161592973662,101.41133235745309,20.282266471490622,860.4471928498563,982.1407916788015,14.142827400174728,61.952197885189655,738.9169625296929,3236.7996984184897,76.29751903832884,0.019628674027947355,184.72924063242323,161.8399849209245,0.07301615929736621,1147.658438737624,1025.964839908681,968.3861141730906,967.9253087727583,0.46080540033380846
0.325,166.3108108108108,0.0,860.8639899709341,860.8639899709341,162.77658377511486,3906.638010602755,990.0,967.9300615175277,20.93946993440458,1027.1748007817462,0.3248445945945952,74.37864873348879,977.6543195053584,116.79032953442358,0.8408903726478496,21.991103638953664,0.8408903726478496,116.79032953442358,23.358065906884732,837.5059240640499,977.6543195053584,14.07822220087716,60.30042653261154,739.4306339557102,3167.207376647048,88.3242988552503,0.023080681955122608,184.85765848892754,158.36036883235246,0.08408903726478496,1143.9651303161695,1003.8167348748603,968.3723378610932,967.8389879056693,0.5333499554225996
0.33,169.14201183431953,0.0,843.4290946871005,843.4290946871005,160.04239118425926,3841.017388422227,990.0,967.873146451619,21.03468981738825,1012.57110652142,0.32925443786982345,72.87227378096547,973.2401437548469,129.81104906774738,0.9346395532877816,21.363447408735624,0.9346395532877816,129.81104906774738,25.962209813549485,817.466884873551,973.2401437548469,14.014658070069803,58.85761571089565,738.7304056710184,3102.286982751205,98.56084093398101,0.026239967198271784,184.6826014177546,155.1143491375604,0.09346395532877817,1142.3821555891664,986.6088967078701,968.3662574618078,967.7712961571945,0.5949613046124053
0.335,168.67105263157896,0.0,814.3954654086697,814.3954654086697,154.91206286230351,3717.8895086952843,990.0,967.7574875056102,21.208806730557647,983.0665180402475,0.33407236842105215,70.36376821130902,965.242432173403,150.84696676473337,1.0860981607060813,20.318236754712075,1.0860981607060813,150.84696676473337,30.16939335294672,784.2260720557233,965.242432173403,13.899491023297003,56.464277188012055,734.6020351029559,2983.287473592332,114.95378365374066,0.03152178600556997,183.65050877573898,149.16437367961643,0.10860981607060807,1133.913484804981,952.8971246873022,968.3348218571549,967.6377433836673,0.6970784734878709
0.34,161.70731707317074,0.0,805.1385236469631,805.1385236469631,153.55153478655905,3685.2368348774144,990.0,967.6933305397093,21.243211216732114,966.8458407201338,0.3405951219512196,69.56396844309769,963.6901404273335,158.55161678037055,1.141571640818669,19.984986851290717,1.141571640818669,158.55161678037055,31.71032335607412,773.4282002908893,963.6901404273335,13.877138022153622,55.686830420944,735.3988540927535,2949.8379807846673,121.19271494651676,0.033407569080615124,183.84971352318837,147.4918990392332,0.11415716408186681,1125.3974575005045,935.1355173640592,968.3032092955402,967.5666935577993,0.7365157377396166
0.345,159.2574850299401,0.0,790.1526936330179,790.1526936330179,151.64669146753735,3639.5205952209003,990.0,967.6239488668524,21.29187383784095,949.4101786629574,0.34426946107784456,68.26919272989296,961.4893276232682,171.33663399024834,1.2336237647297879,19.44549697078873,1.2336237647297879,171.33663399024837,34.26732679804973,755.8853668349708,961.4893276232682,13.845446317775073,54.42374641211791,738.3520323660106,2901.1685628548894,131.76526649586057,0.036777093994469684,184.58800809150264,145.05842814274453,0.12336237647297886,1120.7468126532083,915.1428518649107,968.2856979094286,967.4861913689627,0.7995065404640476
0.35,169.45535714285714,0.0,771.1497281491,771.1497281491,148.5905010384884,3566.172024923722,990.0,967.588725891727,21.36126563808453,940.6050852919574,0.348428571428571,66.62733651208231,958.366523520586,187.21679537148597,1.3479609266746986,18.761390213367633,1.3479609266746986,187.21679537148603,37.443359074297184,733.7063690748043,958.366523520586,13.800477938696451,52.826858573385934,738.9040692264749,2827.2679556972485,144.54206507252113,0.04113637109824779,184.72601730661873,141.36339778486234,0.1347960926674698,1127.8218806634427,903.1617262176618,968.312212804109,967.4376254101502,0.8745873939584256
0.355,156.8109090909091,0.0,759.3877879803936,759.3877879803936,147.33918998044976,3536.140559530791,990.0,967.4904582357537,21.476223376980112,916.1986970713027,0.3549199999999989,65.61110488150602,953.2421770405467,193.85438906015293,1.3957516012331024,18.33796036729418,1.3957516012331024,193.85438906015295,38.770877812030584,720.6169101683636,953.2421770405467,13.72668734938387,51.88441753212219,740.0,2796.1405595307915,150.64324007820156,0.043218237272030655,185.0,139.80702797653962,0.13957516012330995,1110.053086131456,877.4278192592725,968.2457392358878,967.3325527696684,0.9131864662188751
0.36,147.32407407407408,0.0,758.0196710866029,758.0196710866029,147.4357206747364,3538.457296193673,990.0,967.4465460669993,21.52671519757052,905.3437451606762,0.35902777777777883,65.49289958188253,950.9926571681416,192.97298608153918,1.389405499787081,18.288708159117686,1.389405499787081,192.9729860815391,38.5945972163078,719.4250738702953,950.9926571681416,13.69429426322123,51.7986053186612,740.0,2798.4572961936706,150.25711730105465,0.04290873097865465,185.0,139.9228648096837,0.13894054997870825,1098.3167312422156,866.7491479443696,968.2017221369337,967.2887807591425,0.9129413777912208
