ExceedanceRnd,LowHeadShutoff,EWRTotal,FlowSpill,FlowAvailableForGeneration,FlowCanal,Power,Energy,LevelHeadpond,LevelTailwater,HeadTurbine1,Flow,GenerationVol,MaxGenerationFlow,MaxFlowFromStore,MorningMaxVolFromStore,EveningMaxVolFromStore,NightMaxVolToStore,StandardMaxVolToStore,NightStoreVol,StandardStoreVol,NightExtraFlow,NightFlowCanal,MorningExtraFlow,MorningFlowCanal,StandardExtraFlow,StandardFlowCanal,EveningExtraFlow,EveningFlowCanal,NightTotalFlow,MorningTotalFlow,StandardTotalFlow,EveningTotalFlow,NightVol,MorningVol,StandardVol,EveningVol,NightEnergy,MorningEnergy,StandardEnergy,EveningEnergy,MorningEnergyTransfer,EveningEnergyTransfer,NightPower,MorningPower,StandardPower,EveningPower,NightHeadpondChange,StandardHeadpondChange,NightTailwaterLevel,MorningTailwaterLevel,StandardTailwaterLevel,EveningTailwaterLevel,NightTailwaterChange,StandardTailwaterChange,NightSupplyLimit,StandardSupplyLimit
0.19,0.0,224.39655172413794,537.1608989915956,1637.1608989915915,1100.0,170.1707200861522,4084.0972820676543,990.0,970.7350459417884,17.328052065097776,1861.5574507157287,95.04,1100.0,0.0,0.0,0.0,57.137792363697294,45.71023389095783,0.0,0.0,0.0,1100.0,0.0,1100.0,0.0,1100.0,0.0,1100.0,1861.5574507157335,1861.5574507157335,1861.5574507157335,1861.5574507157335,39.6,11.88,31.68,11.88,1701.7072008615226,510.5121602584568,1361.365760689218,510.5121602584568,0.0,0.0,170.17072008615224,170.17072008615227,170.17072008615224,170.17072008615227,0.0,0.0,970.7351671119291,970.7351671119291,970.7351671119291,970.7351671119291,0.0,0.0,False,False
0.195,0.0,219.96319018404907,494.3754277376451,1594.3754277376465,1100.0,171.64828925344736,4119.558942082732,990.0,970.5958846147133,17.46721339217196,1814.3386179216955,95.04,1100.0,0.0,0.0,0.0,55.59751539855528,44.47801231884422,0.0,0.0,0.0,1100.0,0.0,1100.0,0.0,1100.0,0.0,1100.0,1814.338617921694,1814.338617921694,1814.338617921694,1814.338617921694,39.6,11.88,31.68,11.88,1716.4828925344716,514.9448677603415,1373.1863140275773,514.9448677603415,0.0,0.0,171.64828925344716,171.64828925344716,171.64828925344716,171.64828925344716,0.0,0.0,970.5959578723634,970.5959578723634,970.5959578723634,970.5959578723634,0.0,0.0,False,False
0.2,0.0,205.07,454.83513551038413,1554.8351355103832,1100.0,173.36693631380953,4160.806471531428,990.0,970.4329261783206,17.630198076245435,1759.9051355103832,95.04,1100.0,0.0,0.0,0.0,54.17406487837379,43.33925190269904,0.0,0.0,0.0,1100.0,0.0,1100.0,0.0,1100.0,0.0,1100.0,1759.905135510384,1759.905135510384,1759.905135510384,1759.905135510384,39.6,11.88,31.68,11.88,1733.669363138095,520.1008089414285,1386.9354905104758,520.1008089414285,0.0,0.0,173.3669363138095,173.36693631380948,173.36693631380948,173.36693631380948,0.0,0.0,970.4330175325429,970.4330175325429,970.4330175325429,970.4330175325429,0.0,0.0,False,False
0.205,0.0,210.2937062937063,406.2480054935551,1506.2480054935545,1100.0,174.74630092280069,4193.911222147218,990.0,970.3012388152914,17.761859191594983,1716.5417117872605,95.04,1100.0,0.0,0.0,0.0,52.42492819776797,41.93994255821437,0.0,0.0,0.0,1100.0,0.0,1100.0,0.0,1100.0,0.0,1100.0,1716.5417117872614,1716.5417117872614,1716.5417117872614,1716.5417117872614,39.6,11.88,31.68,11.88,1747.4630092280072,524.2389027684022,1397.9704073824057,524.2389027684022,0.0,0.0,174.7463009228007,174.74630092280074,174.7463009228007,174.74630092280074,0.0,0.0,970.301268541035,970.301268541035,970.301268541035,970.301268541035,0.0,0.0,False,False
0.21,0.0,210.8012048192771,364.8245415627168,1464.824541562717,1100.0,176.05850858246146,4225.404205979083,990.0,970.1752369294412,17.88793339650728,1675.625746381994,95.04,1100.0,0.0,0.0,0.0,50.933683496257814,40.74694679700625,0.0,0.0,0.0,1100.0,0.0,1100.0,0.0,1100.0,0.0,1100.0,1675.6257463819938,1675.6257463819938,1675.6257463819938,1675.6257463819938,39.6,11.88,31.68,11.88,1760.5850858246179,528.1755257473853,1408.4680686596942,528.1755257473853,0.0,0.0,176.0585085824618,176.05850858246177,176.05850858246177,176.05850858246177,0.0,0.0,970.1753254768614,970.1753254768614,970.1753254768614,970.1753254768614,0.0,0.0,False,False
0.215,0.0,212.21698113207546,314.13738181124427,1414.1373818112452,1100.0,177.6584224273296,4263.802138255914,990.0,970.0213901024601,18.0426888798784,1626.354362943322,95.04,1100.0,0.0,0.0,0.0,49.10894574520483,39.28715659616386,0.0,0.0,0.0,1100.0,0.0,1100.0,0.0,1100.0,0.0,1100.0,1626.3543629433198,1626.3543629433198,1626.3543629433198,1626.3543629433198,39.6,11.88,31.68,11.88,1776.5842242732972,532.9752672819892,1421.2673794186378,532.9752672819892,0.0,0.0,177.65842242732973,177.65842242732973,177.65842242732973,177.65842242732973,0.0,0.0,970.0215011936759,970.0215011936759,970.0215011936759,970.0215011936759,0.0,0.0,False,False
0.22,0.0,204.0608695652174,276.55544026228307,1376.5554402622847,1100.0,179.17418361414775,4300.180406739543,990.0,969.8764747780743,18.19039648039858,1580.6163098275022,95.04,1100.0,0.0,0.0,0.0,47.75599584944225,38.2047966795538,0.0,0.0,0.0,1100.0,0.0,1100.0,0.0,1100.0,0.0,1100.0,1580.6163098275006,1580.6163098275006,1580.6163098275006,1580.6163098275006,39.6,11.88,31.68,11.88,1791.7418361414764,537.5225508424429,1433.393468913181,537.5225508424429,0.0,0.0,179.17418361414764,179.17418361414764,179.17418361414764,179.17418361414764,0.0,0.0,969.8765292469453,969.8765292469453,969.8765292469453,969.8765292469453,0.0,0.0,False,False
0.225,0.0,205.4950495049505,236.32033880518816,1336.320338805185,1100.0,180.5040472044878,4332.097132907709,990.0,969.7517692624282,18.320975628595118,1541.8153883101372,95.04,1100.0,0.0,0.0,0.0,46.307532196986664,37.04602575758933,0.0,0.0,0.0,1100.0,0.0,1100.0,0.0,1100.0,0.0,1100.0,1541.8153883101386,1541.8153883101386,1541.8153883101386,1541.8153883101386,39.6,11.88,31.68,11.88,1805.0404720448787,541.5121416134637,1444.0323776359028,541.5121416134637,0.0,0.0,180.50404720448788,180.50404720448788,180.50404720448785,180.50404720448788,0.0,0.0,969.7518516561441,969.7518516561441,969.7518516561441,969.7518516561441,0.0,0.0,False,False
0.23,0.0,201.9268292682927,198.94945650785186,1298.949456507853,1100.0,181.93338713581088,4366.401291259458,990.0,969.6185009569479,18.462345994213923,1500.8762857761462,95.04,1100.0,0.0,0.0,0.0,44.962180434282715,35.96974434742617,0.0,0.0,0.0,1100.0,0.0,1100.0,0.0,1100.0,0.0,1100.0,1500.8762857761444,1500.8762857761444,1500.8762857761444,1500.8762857761444,39.6,11.88,31.68,11.88,1819.3338713581074,545.8001614074323,1455.4670970864859,545.8001614074323,0.0,0.0,181.93338713581073,181.93338713581076,181.93338713581073,181.93338713581076,0.0,0.0,969.618570587169,969.618570587169,969.618570587169,969.618570587169,0.0,0.0,False,False
0.235,0.0,198.19021739130434,160.15951273799868,1260.1595127379965,1100.0,183.52226068099972,4404.53425634399,990.0,969.4781199919844,18.620814074974625,1458.3497301292998,95.04,1100.0,0.0,0.0,0.0,43.565742458567875,34.85259396685429,0.0,0.0,0.0,1100.0,0.0,1100.0,0.0,1100.0,0.0,1100.0,1458.349730129303,1458.349730129303,1458.349730129303,1458.349730129303,39.6,11.88,31.68,11.88,1835.2226068099956,550.5667820429987,1468.1780854479964,550.5667820429987,0.0,0.0,183.52226068099955,183.52226068099958,183.52226068099955,183.52226068099958,0.0,0.0,969.4781854681708,969.4781854681708,969.4781854681708,969.4781854681708,0.0,0.0,False,False
