,year,month,node,cat,flow_sum,value
429,2017,6,NAM,off,27114,838984.9600000002
430,2017,6,NAM,standard,8065,525681.0700000002
431,2017,6,RSA,evening,-1580,-171857.33
432,2017,6,RSA,morning,-636,-65543.38
433,2017,6,RSA,off,-4911,-173517.64999999997
434,2017,6,RSA,standard,-430,-33550.31999999999
435,2017,6,ZAMC,evening,986,99716.36
436,2017,6,ZAMC,morning,1855,137501.38999999998
437,2017,6,ZAMC,off,20103,641069.64
438,2017,6,ZAMC,standard,5714,362140.86000000016
439,2017,6,ZAMZ,morning,-1301,-100370.06999999999
440,2017,6,ZAMZ,off,-9145,-293038.26999999996
441,2017,6,ZAMZ,standard,-3379,-224816.77000000002
442,2017,6,ZIM,evening,1106,143887.67
443,2017,6,ZIM,morning,1014,99347.94
444,2017,6,ZIM,off,-1,-41.14999999999975
445,2017,6,ZIM,standard,134,9334.099999999999
446,2017,7,BOT,evening,1070,92122.06
447,2017,7,BOT,morning,1755,134480.06
448,2017,7,BOT,off,-17052,-491621.7600000002
449,2017,7,BOT,standard,1147,93556.88999999996
450,2017,7,MOZ,evening,-1875,-168575.42000000007
451,2017,7,MOZ,morning,-3727,-250710.76999999984
452,2017,7,MOZ,off,-30781,-905304.1599999995
453,2017,7,MOZ,standard,-14958,-901512.5200000003
454,2017,7,NAM,evening,793,53436.79
455,2017,7,NAM,morning,1351,87548.63999999998
456,2017,7,NAM,off,53424,1594552.3400000005
457,2017,7,NAM,standard,15775,964200.3299999997
458,2017,7,RSA,evening,-1019,-82395.29999999999
459,2017,7,RSA,morning,-938,-69653.56
460,2017,7,RSA,off,-14361,-457095.22
461,2017,7,RSA,standard,-6190,-395903.88
462,2017,7,ZAMC,evening,706,62855.62
463,2017,7,ZAMC,morning,2206,143611.8500000001
464,2017,7,ZAMC,off,15646,470877.1800000001
465,2017,7,ZAMC,standard,7125,430191.1599999998
466,2017,7,ZAMZ,morning,-647,-45276.22
467,2017,7,ZAMZ,off,-6878,-211478.27
468,2017,7,ZAMZ,standard,-2898,-190463.62
469,2017,7,ZIM,evening,325,42556.25
470,2017,7,ZIM,off,2,69.88999999999965
471,2017,7,ZIM,standard,-1,-68.36000000000058
472,2017,8,BOT,evening,3173,339232.91
473,2017,8,BOT,morning,4999,431863.7300000001
474,2017,8,BOT,off,-19826,-558020.03
475,2017,8,BOT,standard,3461,252912.96999999994
476,2017,8,LES,morning,-30,-2149.0
477,2017,8,LES,off,-280,-8567.96
478,2017,8,MOZ,evening,-3748,-367426.2699999999
479,2017,8,MOZ,morning,-5709,-433534.97
480,2017,8,MOZ,off,-25122,-775647.9100000008
481,2017,8,MOZ,standard,-19623,-1273581.96
482,2017,8,NAM,evening,4924,356976.36000000004
483,2017,8,NAM,morning,4112,283730.36999999994
484,2017,8,NAM,off,61821,1866920.5399999989
485,2017,8,NAM,standard,33913,2215986.5900000003
486,2017,8,RSA,evening,-5218,-404663.8399999999
487,2017,8,RSA,morning,-4948,-389054.2900000001
488,2017,8,RSA,off,-27350,-860826.3799999997
489,2017,8,RSA,standard,-23216,-1547714.6100000006
490,2017,8,ZAMC,evening,509,45702.04
491,2017,8,ZAMC,morning,1576,109144.15999999999
492,2017,8,ZAMC,off,17184,524336.8
493,2017,8,ZAMC,standard,6620,428621.3600000001
494,2017,8,ZAMZ,evening,360,30178.800000000003
495,2017,8,ZAMZ,off,-6426,-188162.06
496,2017,8,ZAMZ,standard,-1155,-76224.35
497,2017,8,ZIM,off,-1,-33.0
498,2017,9,BOT,evening,1673,129477.87000000001
499,2017,9,BOT,morning,3871,261302.4400000001
500,2017,9,BOT,off,1323,73675.59000000007
501,2017,9,BOT,standard,8725,545018.93
