year,month,volume_mean,value_mean,price_max,price_min,price_mean,power_max,power_min,power_mean,price_morning_max,price_evening_max,price_standard,off_price_mean,standard_price_mean,morning_price_mean,evening_price_mean,off_hour_mean,standard_hour_mean,morning_hour_mean,evening_hour_mean,off_value,standard_value,morning_value,evening_value,standard_price_max,off_price_max,morning_price_max,evening_price_max,standard_price_min,off_price_min,morning_price_min,evening_price_min,volume,morning_volume,evening_volume,standard_volume,off_volume,value,off_hour_count,standard_hour_count,morning_hour_count,evening_hour_count,price_weight_mean,off_price_weight_mean,standard_price_weight_mean,morning_price_weight_mean,evening_price_weight_mean,off_power,morning_power,standard_power,evening_power,evening_days,morning_days,days
2017,7,3869.548387096775,165704.7592580645,64.31249999999999,26.09750000000001,49.19759408602151,294.9967741935484,38.34193548387096,161.23118279569886,69.88322580645162,93.72806451612905,51.453064516129025,29.807728494623657,61.28135576923077,68.50571428571429,93.31111111111112,11.870967741935484,9.615384615384615,3.0,3.0,2283483.1460000006,1935315.7389999998,566434.886,351613.76599999995,72.067,35.43375,90.32,110.88666666666666,42.015,26.09750000000001,56.36333333333334,85.82666666666667,119956.00000000003,8253.9,3912.2999999999993,31182.2,76607.59999999999,119956.00000000003,368,250.0,63.0,63.0,1.0,29.80752752990566,62.064759349885506,68.62633252159586,89.873927357309,208.1728260869565,131.0142857142857,124.7288,62.09999999999999,21,21,31
2017,8,5177.254838709678,251497.37961290323,63.29541666666668,28.39749999999999,52.901801075268814,335.84838709677416,72.76774193548388,215.7189516129032,72.28354838709676,92.3616129032258,57.25064516129031,30.163340053763445,66.32660185185186,75.13057971014491,92.25826086956522,11.096774193548388,9.703703703703704,3.0,3.0,2630176.763,3501417.393,828906.9040000001,835917.7080000001,72.27,32.22875,85.13666666666667,98.7,42.0025,28.39749999999999,61.28666666666667,75.81333333333333,160494.9,10966.7,9651.6,52258.40000000001,87618.2,160494.9,344,262.0,69.0,69.0,1.0,30.01861214907405,67.00200145813878,75.58398643165219,86.6092366032575,254.70406976744187,158.9376811594203,199.45954198473285,139.87826086956522,23,23,31
2017,9,5350.376666666666,246564.97440000004,57.09833333333333,29.695000000000004,48.712624999999996,339.27333333333337,107.80666666666667,222.93236111111113,63.254000000000005,76.32000000000001,53.13866666666667,29.960098856209154,62.94427572427571,68.14190476190475,83.55238095238094,11.633333333333333,10.23076923076923,3.0,2.0,2651206.214,3495006.8710000003,723820.6799999999,526915.467,66.86272727272727,32.85166666666667,75.07,88.225,59.39571428571429,28.4125,59.82666666666668,75.045,160511.3,10608.9,6478.2,55475.6,87948.59999999998,160511.3,349,266.0,63.0,42.0,1.0,30.144950732587,63.000794421331186,68.22768430280236,81.33670880800221,252.00171919770767,168.39523809523808,208.5548872180451,154.24285714285713,21,21,30
2017,10,5968.712903225805,273685.6090322581,55.14499999999999,28.655833333333334,48.22895161290324,401.40967741935486,139.96129032258062,248.69637096774196,62.59677419354838,74.51870967741935,52.76169354838709,29.329244149272615,62.036833166833176,69.9509090909091,85.4809090909091,11.741935483870968,10.384615384615385,3.0,2.0,2950009.4240000006,4176329.9340000004,836071.831,521842.691,63.14181818181819,30.59124999999999,72.55,87.815,58.49,27.4675,59.98333333333333,84.56,185030.09999999998,11934.9,6106.900000000001,67133.5,99854.79999999999,185030.09999999998,364,270.0,66.0,44.0,1.0,29.542990662441873,62.20932818935405,70.052688418001,85.45132407604513,274.3263736263736,180.83181818181816,248.6425925925926,138.79318181818184,22,22,31
2017,11,6034.85,274398.31879999995,54.71625,27.96708333333334,48.49068055555554,391.8066666666667,137.18333333333334,251.4520833333334,64.99300000000001,76.33266666666668,53.31183333333332,28.038760620915035,62.226498501498504,71.95742424242424,85.64977272727272,11.333333333333334,10.384615384615385,3.0,2.0,2743259.4050000003,4132582.7960000006,826524.296,529583.067,63.33,28.98833333333333,74.75666666666666,86.69999999999997,58.06714285714286,27.4925,67.96666666666665,82.815,181045.5,11428.399999999998,6172.1,66229.2,97215.80000000002,181045.5,340,270.0,66.0,44.0,1.0,28.218246468166694,62.39819892132172,72.32196072941095,85.80273602177542,285.92882352941183,173.15757575757573,245.29333333333332,140.275,22,22,30
2017,12,5187.532258064516,218588.058,57.28916666666667,28.41666666666666,46.87626344086022,335.48709677419356,76.10967741935482,216.14717741935488,58.90548387096774,72.14774193548388,50.88967741935485,30.006004111321946,60.83410089910091,64.01333333333334,81.68452380952382,12.03225806451613,10.23076923076923,3.0,2.0,3054129.715999999,2913812.5190000003,576269.66,232017.903,67.37818181818183,31.56958333333333,71.75666666666666,88.97,31.55545454545455,28.08125,30.96333333333333,37.61,160813.5,8752.7,2958.2,47399.50000000001,101703.1,160813.5,373,266.0,63.0,42.0,1.0,30.029858637543978,61.47348640808447,65.83907365727147,78.43212189845177,272.66246648793566,138.93174603174603,178.19360902255642,70.43333333333332,21,21,31
2018,1,4829.625806451613,212976.5329354839,60.11791666666666,31.87375,51.20267473118279,327.84193548387105,61.4741935483871,201.23440860215058,63.859032258064516,78.72645161290322,56.428790322580646,32.05262650221379,66.01034151034152,67.83884057971017,77.06804347826089,11.225806451612904,10.407407407407407,3.0,2.0,3067582.8789999997,2697347.5360000003,524764.909,312577.197,72.05818181818181,34.57588235294117,74.66333333333333,83.355,33.046363636363644,30.89,31.55,35.58,149718.40000000002,7829.7,4366.3,41650.700000000004,95871.7,149718.40000000002,348,281.0,69.0,46.0,1.0,31.996750646958382,64.7611573394925,67.02235194196457,71.58857545290061,275.4933908045977,113.47391304347826,148.22313167259787,94.91956521739131,23,23,31
2018,2,3574.9714285714285,170617.25260714287,60.91375000000002,24.602500000000006,48.86821428571428,238.76785714285714,68.90357142857142,148.95714285714283,61.35535714285715,79.69214285714285,54.839553571428574,29.371131827731094,63.900362554112554,66.82300000000001,80.32075000000002,11.571428571428571,10.333333333333334,3.0,2.0,1622367.5099999998,2180963.659,529212.04,444739.86399999994,72.35272727272726,33.600588235294126,78.80333333333334,83.93,43.411428571428566,23.28875,59.91666666666666,64.965,100099.2,7725.8,5746.3,33464.6,53162.50000000001,100099.2,324,248.0,60.0,40.0,1.0,30.517141029861268,65.17226140458874,68.49931916435838,77.39586586151087,164.0817901234568,128.76333333333335,134.93790322580645,143.6575,20,20,28
2018,3,2767.7709677419357,124041.23825806452,57.60083333333333,21.96624999999999,41.68014784946237,175.14516129032262,71.91612903225807,115.32379032258065,53.290645161290335,77.91741935483873,44.937983870967734,24.875752688172042,52.20113997113996,59.71227272727273,80.88045454545455,11.516129032258064,10.25925925925926,3.0,2.0,895865.5380000001,1898027.605,594560.9130000001,456824.33,68.83727272727273,30.427499999999995,79.91,83.92500000000003,27.29285714285714,19.98375,38.98333333333334,53.13500000000001,85800.90000000001,9704.8,5716.3,34223.9,36155.899999999994,85800.90000000001,357,277.0,66.0,44.0,1.0,24.777851968834966,55.45912666294607,61.26462297007667,79.91608732921645,101.27703081232491,147.04242424242423,123.55198555956679,129.91590909090908,22,22,31
2018,4,3147.323333333334,133938.24506666668,57.99416666666666,16.04333333333333,37.01872222222222,201.50333333333336,64.33666666666666,131.13847222222222,48.79033333333334,76.21066666666667,38.84974999999999,19.96024836601307,47.32703896103896,55.53158730158731,90.19071428571428,11.866666666666667,10.36,3.0,2.0,753499.278,1944392.4400000002,694693.53,625562.104,68.42909090909092,27.5625,74.92,96.94,34.86727272727273,16.04333333333333,34.95666666666667,58.4,94419.70000000003,12073.0,6754.000000000002,39336.799999999996,36255.9,94419.70000000003,356,259.0,63.0,42.0,1.0,20.782804398732345,49.42934961664397,57.54108589414396,92.62098075214686,101.84241573033708,191.63492063492063,151.87953667953667,160.80952380952385,21,21,30
