month,hour,price,volume
6,21,66.21908333333334,114.58749999999999
6,22,38.720833333333324,247.57500000000002
6,23,37.99433333333331,258.1308333333333
7,0,40.860080645161275,282.67661290322576
7,1,40.588629032258076,291.93629032258065
7,2,40.48580645161292,293.22096774193545
7,3,40.561935483870975,290.84677419354847
7,4,40.7772580645161,280.38870967741934
7,5,44.226612903225806,249.4943548387097
7,6,115.54927419354836,156.40403225806452
7,7,125.5920161290322,136.34032258064516
7,8,127.3757258064516,133.1782258064516
7,9,93.33451612903224,134.50725806451615
7,10,86.71887096774194,129.23145161290321
7,11,82.71403225806448,132.2016129032258
7,12,75.94354838709674,144.86854838709675
7,13,75.4109677419355,153.9790322580645
7,14,75.25854838709678,151.81774193548387
7,15,75.39161290322585,150.9008064516129
7,16,77.75330645161286,143.87580645161287
7,17,127.35193548387093,104.25403225806451
7,18,141.9854032258064,95.91854838709676
7,19,108.21693548387096,108.34919354838706
7,20,88.10064516129029,124.61532258064516
7,21,72.90814516129034,151.3322580645161
7,22,41.58766129032259,292.0790322580645
7,23,41.16096774193548,289.4064516129032
8,0,37.776370967741954,338.90967741935486
8,1,37.39943548387097,336.97499999999997
8,2,37.35209677419354,335.21693548387094
8,3,37.455645161290306,337.3120967741936
8,4,38.27806451612906,338.37258064516135
8,5,43.369354838709675,284.72500000000014
8,6,122.75951612903219,167.91532258064512
8,7,127.7631451612903,148.1564516129032
8,8,126.55693548387097,144.04596774193547
8,9,84.05233870967743,155.14838709677423
8,10,80.50201612903226,151.666935483871
8,11,79.60911290322582,158.36451612903224
8,12,74.75750000000001,169.44677419354838
8,13,74.31233870967743,166.64274193548385
8,14,74.08588709677421,165.10967741935482
8,15,74.10129032258065,166.70241935483867
8,16,75.78951612903225,160.4975806451613
8,17,129.8670967741935,116.78790322580646
8,18,146.01991935483872,129.925
8,19,114.41467741935487,137.77096774193544
8,20,89.75250000000003,169.64193548387098
8,21,72.2716935483871,191.7
8,22,39.12451612903228,359.03064516129024
8,23,38.27104838709677,354.7129032258064
9,0,34.13791666666666,373.79083333333335
9,1,33.85324999999998,368.8449999999999
9,2,33.76091666666666,366.4958333333333
9,3,33.80508333333332,369.28333333333325
9,4,34.39233333333335,382.7441666666667
9,5,39.48499999999999,373.93750000000006
9,6,70.13591666666665,240.0066666666667
9,7,88.59483333333336,203.7241666666666
9,8,86.59533333333339,197.7783333333333
9,9,81.70333333333333,199.11583333333334
9,10,71.04075000000002,201.18583333333333
9,11,70.71158333333332,202.9575
9,12,66.58883333333333,212.57583333333332
9,13,66.50424999999998,209.29250000000002
9,14,66.2035833333333,206.715
9,15,66.41933333333331,207.96666666666667
9,16,67.78766666666664,208.88416666666663
9,17,74.673,195.5275
9,18,117.30574999999997,140.76000000000002
9,19,117.56624999999998,169.44416666666663
9,20,78.22433333333329,211.52166666666668
9,21,64.55716666666665,244.22416666666675
9,22,35.31325,421.03000000000003
9,23,34.743250000000025,395.62249999999983
10,0,32.3608064516129,404.11693548387103
10,1,32.19185483870966,396.775
10,2,32.06395161290323,393.1798387096774
10,3,32.06701612903226,395.7258064516129
10,4,32.49830645161289,412.8024193548387
10,5,34.490403225806446,435.1395161290323
10,6,56.15500000000001,295.0427419354839
10,7,74.3570161290322,245.37983870967744
10,8,74.07201612903225,233.22096774193548
10,9,73.9237903225806,233.4241935483871
10,10,62.84266129032254,265.37419354838704
10,11,63.11556451612901,268.73629032258066
10,12,58.83790322580641,283.43387096774194
10,13,58.69112903225803,283.2927419354839
10,14,58.67419354838709,283.4419354838709
10,15,58.818951612903184,282.991935483871
10,16,59.282580645161254,280.46854838709675
10,17,60.34846774193547,275.8032258064517
10,18,103.08000000000001,134.06774193548387
10,19,104.57919354838702,137.0040322580645
10,20,66.75330645161286,252.89274193548383
10,21,59.07838709677418,310.4129032258065
10,22,32.988306451612885,447.59435483870953
10,23,32.68790322580645,416.4153225806453
11,0,32.42608333333333,368.14333333333343
11,1,32.16708333333332,363.6066666666666
11,2,32.06566666666666,361.0558333333333
11,3,32.04191666666666,363.28833333333336
11,4,32.35883333333332,368.74750000000006
11,5,35.26016666666665,341.5274999999999
11,6,59.82408333333332,248.71833333333336
11,7,78.06941666666667,182.77166666666662
11,8,81.45374999999999,167.98
11,9,83.51083333333335,171.30500000000004
11,10,67.33616666666663,215.67750000000004
11,11,67.06199999999998,219.20833333333337
11,12,62.965249999999976,233.04083333333335
11,13,62.89566666666664,233.4633333333334
11,14,62.99683333333333,234.21333333333334
11,15,63.13033333333329,232.29083333333338
11,16,64.387,231.85583333333324
11,17,65.35416666666664,228.07416666666668
11,18,120.55399999999996,125.52166666666663
11,19,123.03833333333331,111.08416666666669
11,20,76.10041666666662,184.7325
11,21,63.68741666666667,249.27000000000004
11,22,33.56250000000001,399.7866666666665
11,23,32.92091666666666,380.3566666666667
12,0,33.59217741935485,278.15806451612906
12,1,32.910403225806455,275.61935483870957
12,2,32.66911290322581,272.68306451612904
12,3,32.585322580645176,274.57741935483875
12,4,32.88370967741935,274.958064516129
12,5,35.505564516129034,258.11854838709684
12,6,55.48524193548385,198.96854838709677
12,7,65.76887096774192,164.53387096774193
12,8,69.64508064516131,152.7838709677419
12,9,70.77024193548388,151.26693548387095
12,10,66.34427419354836,155.14354838709679
12,11,66.78524193548388,159.48387096774192
12,12,63.24370967741938,169.8612903225806
12,13,63.30274193548389,175.35000000000002
12,14,62.511451612903244,178.21048387096772
12,15,62.515806451612896,179.14516129032256
12,16,63.1166129032258,182.45725806451614
12,17,62.838629032258034,176.40887096774193
12,18,105.29298387096769,101.18951612903226
12,19,115.3610483870967,82.99838709677422
12,20,89.86612903225806,117.49838709677418
12,21,69.98879032258063,190.03870967741932
12,22,35.8608870967742,290.72338709677416
12,23,34.25467741935484,293.0451612903226
