month_no,hour_ref,year,month,hour,hourlyid,market,price_mean,volume,day_of_week,volume_sum,price_stdv,price_max,price_min,price_coefvar,price_range,hours,power
2019.1,weekend_22,2019,10,22,59583.0,1.0,33.9425,462.5,5.5,3700.0,1.9174518060622645,35.89,31.97,5.649117790564231,3.9200000000000017,8,462.5
2019.1,weekday_23,2019,10,23,59584.0,1.0,33.668260869565216,363.5565217391304,2.0,8361.8,2.4285773092565064,37.62,30.01,7.213254402017079,7.609999999999996,23,363.5565217391304
2019.1,weekend_23,2019,10,23,59584.0,1.0,33.628750000000004,413.0875,5.5,3304.7,2.075871159640833,35.71,30.99,6.172906098623447,4.720000000000002,8,413.0875
2019.11,weekday_0,2019,11,0,60299.28571428572,1.0,33.80333333333334,276.69047619047626,2.0952380952380953,5810.500000000001,2.7484965587268477,40.1,30.0,8.130844764994125,10.100000000000001,21,276.69047619047626
2019.11,weekend_0,2019,11,0,60278.333333333336,1.0,35.537777777777784,343.05555555555554,5.444444444444445,3087.5,2.3076382828434054,40.27,32.4,6.493479410202179,7.8700000000000045,9,343.05555555555554
2019.11,weekday_1,2019,11,1,60300.28571428572,1.0,33.63666666666667,283.6142857142857,2.0952380952380953,5955.9,2.7898733543538015,40.08,29.99,8.294143358499062,10.09,21,283.6142857142857
2019.11,weekend_1,2019,11,1,60279.333333333336,1.0,34.81888888888889,344.3444444444445,5.444444444444445,3099.1000000000004,2.9197964160384755,40.1,29.99,8.385667978538557,10.110000000000003,9,344.3444444444445
2019.11,weekday_2,2019,11,2,60301.28571428572,1.0,33.54714285714286,286.94761904761907,2.0952380952380953,6025.900000000001,2.7985177198959152,40.06,29.99,8.342044900256102,10.070000000000004,21,286.94761904761907
2019.11,weekend_2,2019,11,2,60280.333333333336,1.0,34.74888888888889,342.23333333333335,5.444444444444445,3080.1,2.9220901955810885,40.09,29.98,8.409161527220627,10.110000000000003,9,342.23333333333335
2019.11,weekday_3,2019,11,3,60302.28571428572,1.0,33.584761904761905,286.7857142857143,2.0952380952380953,6022.5,2.7472488402902635,40.06,29.99,8.180045605446848,10.070000000000004,21,286.7857142857143
2019.11,weekend_3,2019,11,3,60281.333333333336,1.0,34.09888888888889,343.1,5.444444444444445,3087.9,3.2972315828754155,40.09,29.97,9.66961590337865,10.120000000000005,9,343.1
2019.11,weekday_4,2019,11,4,60303.28571428572,1.0,33.73952380952382,278.24285714285713,2.0952380952380953,5843.1,2.794862208035445,40.07,30.0,8.283644498997125,10.07,21,278.24285714285713
2019.11,weekend_4,2019,11,4,60282.333333333336,1.0,34.07222222222222,344.27777777777777,5.444444444444445,3098.5,3.2936938905193425,40.1,29.97,9.666800917878389,10.130000000000003,9,344.27777777777777
2019.11,weekday_5,2019,11,5,60304.28571428572,1.0,35.833333333333336,266.95238095238096,2.0952380952380953,5606.0,3.8871201850899015,44.95,30.95,10.847777260716002,14.000000000000004,21,266.95238095238096
2019.11,weekend_5,2019,11,5,60283.333333333336,1.0,35.09444444444445,344.77777777777777,5.444444444444445,3103.0,3.710182310584992,43.07,29.97,10.571993286453989,13.100000000000001,9,344.77777777777777
2019.11,weekday_6,2019,11,6,60305.28571428572,1.0,73.68904761904761,215.65238095238095,2.0952380952380953,4528.7,29.350364887810493,188.46,35.04,39.83002337001819,153.42000000000002,21,215.65238095238095
2019.11,weekend_6,2019,11,6,60284.333333333336,1.0,35.50222222222223,295.3333333333333,5.444444444444445,2658.0,7.908526692402602,54.32,29.98,22.276145540693353,24.34,9,295.3333333333333
2019.11,weekday_7,2019,11,7,60306.28571428572,1.0,96.55619047619048,172.01428571428573,2.0952380952380953,3612.3,15.082263250649909,159.56,84.13,15.620192942853315,75.43,21,172.01428571428573
2019.11,weekend_7,2019,11,7,60285.333333333336,1.0,51.87777777777778,262.7888888888889,5.444444444444445,2365.1,20.70319527136921,90.08,29.97,39.907637061966774,60.11,9,262.7888888888889
2019.11,weekday_8,2019,11,8,60307.28571428572,1.0,109.89857142857144,150.66190476190474,2.0952380952380953,3163.8999999999996,30.283909966468045,168.75,84.14,27.55623623929549,84.61,21,150.66190476190474
2019.11,weekend_8,2019,11,8,60286.333333333336,1.0,52.42,249.1222222222222,5.444444444444445,2242.1,21.227133579454385,90.09,29.98,40.494341051992336,60.11,9,249.1222222222222
2019.11,weekday_9,2019,11,9,60308.28571428572,1.0,115.87428571428572,142.0,2.0952380952380953,2982.0,32.246353835965486,169.46,84.14,27.828740118818224,85.32000000000001,21,142.0
2019.11,weekend_9,2019,11,9,60287.333333333336,1.0,66.03666666666668,237.35555555555553,5.444444444444445,2136.2,42.497278736408525,166.02,29.98,64.35406400950258,136.04000000000002,9,237.35555555555553
2019.11,weekday_10,2019,11,10,60309.28571428572,1.0,90.22857142857143,227.52857142857144,2.0952380952380953,4778.1,11.436396410458272,111.55,75.98,12.674916857695994,35.56999999999999,21,227.52857142857144
2019.11,weekend_10,2019,11,10,60288.333333333336,1.0,52.335555555555565,245.29999999999998,5.444444444444445,2207.7,21.315307944709076,90.09,29.97,40.72815835896175,60.120000000000005,9,245.29999999999998
2019.11,weekday_11,2019,11,11,60310.28571428572,1.0,88.20190476190476,225.4238095238095,2.0952380952380953,4733.9,10.715541805736015,105.36,75.98,12.14887800287524,29.379999999999995,21,225.4238095238095
2019.11,weekend_11,2019,11,11,60289.333333333336,1.0,53.37444444444444,237.65555555555557,5.444444444444445,2138.9,20.55513689513592,90.09,29.97,38.511195964823635,60.120000000000005,9,237.65555555555557
2019.11,weekday_12,2019,11,12,60311.28571428572,1.0,86.91095238095238,235.3,2.0952380952380953,4941.3,10.8268392916686,105.14,75.98,12.457393452797367,29.159999999999997,21,235.3
2019.11,weekend_12,2019,11,12,60290.333333333336,1.0,41.49888888888889,241.22222222222223,5.444444444444445,2171.0,19.37580801182524,90.07,29.97,46.68994406983511,60.099999999999994,9,241.22222222222223
2019.11,weekday_13,2019,11,13,60312.28571428572,1.0,86.75000000000001,237.2047619047619,2.0952380952380953,4981.3,10.888776331617802,105.05,75.97,12.551903552297174,29.08,21,237.2047619047619
2019.11,weekend_13,2019,11,13,60291.333333333336,1.0,41.67000000000001,242.77777777777777,5.444444444444445,2185.0,19.228096629671906,90.04,29.97,46.14374041197961,60.07000000000001,9,242.77777777777777
2019.11,weekday_14,2019,11,14,60313.28571428572,1.0,87.68619047619046,239.44761904761907,2.0952380952380953,5028.400000000001,10.95642755472352,105.01,76.0,12.49504339876475,29.010000000000005,21,239.44761904761907
2019.11,weekend_14,2019,11,14,60292.333333333336,1.0,41.05,243.22222222222223,5.444444444444445,2189.0,19.16672376803088,90.02,29.97,46.691166304581934,60.05,9,243.22222222222223
2019.11,weekday_15,2019,11,15,60314.28571428572,1.0,88.29476190476191,229.51428571428573,2.0952380952380953,4819.8,10.808687995796538,105.27,77.99,12.24159594818909,27.28,21,229.51428571428573
2019.11,weekend_15,2019,11,15,60293.333333333336,1.0,41.620000000000005,243.0,5.444444444444445,2187.0,19.207391806281247,90.01,29.97,46.149427694092374,60.040000000000006,9,243.0
2019.11,weekday_16,2019,11,16,60315.28571428572,1.0,94.13380952380953,224.12857142857143,2.0952380952380953,4706.7,20.09278539082884,145.47,78.35,21.344918996130414,67.12,21,224.12857142857143
2019.11,weekend_16,2019,11,16,60294.333333333336,1.0,41.64333333333333,248.11111111111111,5.444444444444445,2233.0,19.210774971353967,90.02,29.98,46.13169367971016,60.03999999999999,9,248.11111111111111
