Date,Month,Day,Year,WaterYear,Flow
16/04/1960,4,16,1960,1959,1341
17/04/1960,4,17,1960,1959,1291
18/04/1960,4,18,1960,1959,1236
19/04/1960,4,19,1960,1959,1180
20/04/1960,4,20,1960,1959,1155
21/04/1960,4,21,1960,1959,1138
22/04/1960,4,22,1960,1959,1131
23/04/1960,4,23,1960,1959,1115
24/04/1960,4,24,1960,1959,1115
25/04/1960,4,25,1960,1959,1108
26/04/1960,4,26,1960,1959,1093
27/04/1960,4,27,1960,1959,1098
28/04/1960,4,28,1960,1959,1114
29/04/1960,4,29,1960,1959,1115
30/04/1960,4,30,1960,1959,1115
01/05/1960,5,1,1960,1959,1108
02/05/1960,5,2,1960,1959,1093
03/05/1960,5,3,1960,1959,1086
04/05/1960,5,4,1960,1959,1064
05/05/1960,5,5,1960,1959,1042
06/05/1960,5,6,1960,1959,1020
07/05/1960,5,7,1960,1959,1004
08/05/1960,5,8,1960,1959,
09/05/1960,5,9,1960,1959,
10/05/1960,5,10,1960,1959,
11/05/1960,5,11,1960,1959,
12/05/1960,5,12,1960,1959,
13/05/1960,5,13,1960,1959,
14/05/1960,5,14,1960,1959,
15/05/1960,5,15,1960,1959,
16/05/1960,5,16,1960,1959,
17/05/1960,5,17,1960,1959,
18/05/1960,5,18,1960,1959,
19/05/1960,5,19,1960,1959,
20/05/1960,5,20,1960,1959,
21/05/1960,5,21,1960,1959,
22/05/1960,5,22,1960,1959,
23/05/1960,5,23,1960,1959,
24/05/1960,5,24,1960,1959,
25/05/1960,5,25,1960,1959,
26/05/1960,5,26,1960,1959,
27/05/1960,5,27,1960,1959,
28/05/1960,5,28,1960,1959,
29/05/1960,5,29,1960,1959,
30/05/1960,5,30,1960,1959,
31/05/1960,5,31,1960,1959,
01/06/1960,6,1,1960,1959,
02/06/1960,6,2,1960,1959,
03/06/1960,6,3,1960,1959,
04/06/1960,6,4,1960,1959,
05/06/1960,6,5,1960,1959,
06/06/1960,6,6,1960,1959,
07/06/1960,6,7,1960,1959,
08/06/1960,6,8,1960,1959,
09/06/1960,6,9,1960,1959,
10/06/1960,6,10,1960,1959,
11/06/1960,6,11,1960,1959,
12/06/1960,6,12,1960,1959,
13/06/1960,6,13,1960,1959,
14/06/1960,6,14,1960,1959,
15/06/1960,6,15,1960,1959,
16/06/1960,6,16,1960,1959,
17/06/1960,6,17,1960,1959,
18/06/1960,6,18,1960,1959,
19/06/1960,6,19,1960,1959,
20/06/1960,6,20,1960,1959,
21/06/1960,6,21,1960,1959,
22/06/1960,6,22,1960,1959,
23/06/1960,6,23,1960,1959,
24/06/1960,6,24,1960,1959,
25/06/1960,6,25,1960,1959,299
26/06/1960,6,26,1960,1959,299
27/06/1960,6,27,1960,1959,295
28/06/1960,6,28,1960,1959,286
29/06/1960,6,29,1960,1959,283
30/06/1960,6,30,1960,1959,274
01/07/1960,7,1,1960,1959,270
02/07/1960,7,2,1960,1959,262
03/07/1960,7,3,1960,1959,257
04/07/1960,7,4,1960,1959,246
05/07/1960,7,5,1960,1959,246
06/07/1960,7,6,1960,1959,242
07/07/1960,7,7,1960,1959,234
08/07/1960,7,8,1960,1959,234
09/07/1960,7,9,1960,1959,231
10/07/1960,7,10,1960,1959,223
11/07/1960,7,11,1960,1959,223
12/07/1960,7,12,1960,1959,220
13/07/1960,7,13,1960,1959,212
14/07/1960,7,14,1960,1959,212
15/07/1960,7,15,1960,1959,212
16/07/1960,7,16,1960,1959,209
17/07/1960,7,17,1960,1959,201
18/07/1960,7,18,1960,1959,201
19/07/1960,7,19,1960,1959,201
20/07/1960,7,20,1960,1959,198
21/07/1960,7,21,1960,1959,191
22/07/1960,7,22,1960,1959,190
23/07/1960,7,23,1960,1959,190
24/07/1960,7,24,1960,1959,190
25/07/1960,7,25,1960,1959,187
26/07/1960,7,26,1960,1959,180
27/07/1960,7,27,1960,1959,180
28/07/1960,7,28,1960,1959,177
29/07/1960,7,29,1960,1959,170
30/07/1960,7,30,1960,1959,170
31/07/1960,7,31,1960,1959,170
01/08/1960,8,1,1960,1959,167
02/08/1960,8,2,1960,1959,160
03/08/1960,8,3,1960,1959,160
04/08/1960,8,4,1960,1959,160
05/08/1960,8,5,1960,1959,157
06/08/1960,8,6,1960,1959,151
07/08/1960,8,7,1960,1959,151
08/08/1960,8,8,1960,1959,148
09/08/1960,8,9,1960,1959,142
10/08/1960,8,10,1960,1959,141
11/08/1960,8,11,1960,1959,141
12/08/1960,8,12,1960,1959,141
13/08/1960,8,13,1960,1959,139
14/08/1960,8,14,1960,1959,133
15/08/1960,8,15,1960,1959,132
16/08/1960,8,16,1960,1959,132
17/08/1960,8,17,1960,1959,130
18/08/1960,8,18,1960,1959,124
19/08/1960,8,19,1960,1959,124
20/08/1960,8,20,1960,1959,124
21/08/1960,8,21,1960,1959,121
22/08/1960,8,22,1960,1959,115
23/08/1960,8,23,1960,1959,115
24/08/1960,8,24,1960,1959,115
25/08/1960,8,25,1960,1959,115
26/08/1960,8,26,1960,1959,113
27/08/1960,8,27,1960,1959,107
28/08/1960,8,28,1960,1959,107
29/08/1960,8,29,1960,1959,107
30/08/1960,8,30,1960,1959,107
31/08/1960,8,31,1960,1959,107
01/09/1960,9,1,1960,1959,105
02/09/1960,9,2,1960,1959,99
03/09/1960,9,3,1960,1959,99
04/09/1960,9,4,1960,1959,99
05/09/1960,9,5,1960,1959,99
06/09/1960,9,6,1960,1959,97
07/09/1960,9,7,1960,1959,91
08/09/1960,9,8,1960,1959,91
09/09/1960,9,9,1960,1959,91
10/09/1960,9,10,1960,1959,91
11/09/1960,9,11,1960,1959,89
12/09/1960,9,12,1960,1959,84
13/09/1960,9,13,1960,1959,84
14/09/1960,9,14,1960,1959,84
15/09/1960,9,15,1960,1959,84
16/09/1960,9,16,1960,1959,84
17/09/1960,9,17,1960,1959,84
18/09/1960,9,18,1960,1959,82
19/09/1960,9,19,1960,1959,79
20/09/1960,9,20,1960,1959,79
21/09/1960,9,21,1960,1959,78
22/09/1960,9,22,1960,1959,77
23/09/1960,9,23,1960,1959,77
24/09/1960,9,24,1960,1959,75
25/09/1960,9,25,1960,1959,72
26/09/1960,9,26,1960,1959,72
27/09/1960,9,27,1960,1959,71
28/09/1960,9,28,1960,1959,70
29/09/1960,9,29,1960,1959,70
30/09/1960,9,30,1960,1959,70
01/10/1960,10,1,1960,1960,69
02/10/1960,10,2,1960,1960,66
03/10/1960,10,3,1960,1960,65
04/10/1960,10,4,1960,1960,65
05/10/1960,10,5,1960,1960,65
06/10/1960,10,6,1960,1960,65
07/10/1960,10,7,1960,1960,63
08/10/1960,10,8,1960,1960,63
09/10/1960,10,9,1960,1960,63
10/10/1960,10,10,1960,1960,63
11/10/1960,10,11,1960,1960,59
12/10/1960,10,12,1960,1960,59
13/10/1960,10,13,1960,1960,59
14/10/1960,10,14,1960,1960,59
15/10/1960,10,15,1960,1960,59
16/10/1960,10,16,1960,1960,58
17/10/1960,10,17,1960,1960,55
18/10/1960,10,18,1960,1960,55
19/10/1960,10,19,1960,1960,55
20/10/1960,10,20,1960,1960,55
21/10/1960,10,21,1960,1960,58
22/10/1960,10,22,1960,1960,59
23/10/1960,10,23,1960,1960,59
24/10/1960,10,24,1960,1960,59
25/10/1960,10,25,1960,1960,59
26/10/1960,10,26,1960,1960,59
27/10/1960,10,27,1960,1960,59
28/10/1960,10,28,1960,1960,59
29/10/1960,10,29,1960,1960,59
30/10/1960,10,30,1960,1960,59
31/10/1960,10,31,1960,1960,58
01/11/1960,11,1,1960,1960,55
02/11/1960,11,2,1960,1960,55
03/11/1960,11,3,1960,1960,55
04/11/1960,11,4,1960,1960,55
05/11/1960,11,5,1960,1960,55
06/11/1960,11,6,1960,1960,55
07/11/1960,11,7,1960,1960,55
08/11/1960,11,8,1960,1960,55
09/11/1960,11,9,1960,1960,55
10/11/1960,11,10,1960,1960,56
11/11/1960,11,11,1960,1960,62
12/11/1960,11,12,1960,1960,63
13/11/1960,11,13,1960,1960,63
14/11/1960,11,14,1960,1960,66
15/11/1960,11,15,1960,1960,69
16/11/1960,11,16,1960,1960,72
17/11/1960,11,17,1960,1960,85
18/11/1960,11,18,1960,1960,94
19/11/1960,11,19,1960,1960,101
20/11/1960,11,20,1960,1960,107
21/11/1960,11,21,1960,1960,115
22/11/1960,11,22,1960,1960,123
23/11/1960,11,23,1960,1960,126
24/11/1960,11,24,1960,1960,126
25/11/1960,11,25,1960,1960,127
26/11/1960,11,26,1960,1960,132
27/11/1960,11,27,1960,1960,133
28/11/1960,11,28,1960,1960,135
29/11/1960,11,29,1960,1960,136
30/11/1960,11,30,1960,1960,141
01/12/1960,12,1,1960,1960,141
02/12/1960,12,2,1960,1960,141
03/12/1960,12,3,1960,1960,141
04/12/1960,12,4,1960,1960,136
05/12/1960,12,5,1960,1960,135
06/12/1960,12,6,1960,1960,135
07/12/1960,12,7,1960,1960,133
08/12/1960,12,8,1960,1960,132
09/12/1960,12,9,1960,1960,132
10/12/1960,12,10,1960,1960,132
11/12/1960,12,11,1960,1960,127
12/12/1960,12,12,1960,1960,126
13/12/1960,12,13,1960,1960,126
14/12/1960,12,14,1960,1960,124
15/12/1960,12,15,1960,1960,124
16/12/1960,12,16,1960,1960,125
17/12/1960,12,17,1960,1960,131
18/12/1960,12,18,1960,1960,133
19/12/1960,12,19,1960,1960,135
20/12/1960,12,20,1960,1960,136
21/12/1960,12,21,1960,1960,141
22/12/1960,12,22,1960,1960,147
23/12/1960,12,23,1960,1960,150
24/12/1960,12,24,1960,1960,152
25/12/1960,12,25,1960,1960,159
26/12/1960,12,26,1960,1960,161
27/12/1960,12,27,1960,1960,169
28/12/1960,12,28,1960,1960,171
29/12/1960,12,29,1960,1960,176
30/12/1960,12,30,1960,1960,180
31/12/1960,12,31,1960,1960,180
01/01/1961,1,1,1961,1960,180
02/01/1961,1,2,1961,1960,181
03/01/1961,1,3,1961,1960,186
04/01/1961,1,4,1961,1960,190
05/01/1961,1,5,1961,1960,191
06/01/1961,1,6,1961,1960,197
07/01/1961,1,7,1961,1960,202
08/01/1961,1,8,1961,1960,212
09/01/1961,1,9,1961,1960,224
10/01/1961,1,10,1961,1960,245
11/01/1961,1,11,1961,1960,286
12/01/1961,1,12,1961,1960,304
13/01/1961,1,13,1961,1960,324
14/01/1961,1,14,1961,1960,341
15/01/1961,1,15,1961,1960,354
16/01/1961,1,16,1961,1960,376
17/01/1961,1,17,1961,1960,381
18/01/1961,1,18,1961,1960,394
19/01/1961,1,19,1961,1960,406
20/01/1961,1,20,1961,1960,408
21/01/1961,1,21,1961,1960,410
22/01/1961,1,22,1961,1960,421
23/01/1961,1,23,1961,1960,425
24/01/1961,1,24,1961,1960,437
25/01/1961,1,25,1961,1960,447
26/01/1961,1,26,1961,1960,448
27/01/1961,1,27,1961,1960,454
28/01/1961,1,28,1961,1960,462
29/01/1961,1,29,1961,1960,464
30/01/1961,1,30,1961,1960,469
31/01/1961,1,31,1961,1960,479
01/02/1961,2,1,1961,1960,493
02/02/1961,2,2,1961,1960,503
03/02/1961,2,3,1961,1960,530
04/02/1961,2,4,1961,1960,550
05/02/1961,2,5,1961,1960,571
06/02/1961,2,6,1961,1960,595
07/02/1961,2,7,1961,1960,624
08/02/1961,2,8,1961,1960,656
09/02/1961,2,9,1961,1960,678
10/02/1961,2,10,1961,1960,702
11/02/1961,2,11,1961,1960,733
12/02/1961,2,12,1961,1960,763
13/02/1961,2,13,1961,1960,782
14/02/1961,2,14,1961,1960,789
15/02/1961,2,15,1961,1960,794
16/02/1961,2,16,1961,1960,820
17/02/1961,2,17,1961,1960,833
18/02/1961,2,18,1961,1960,862
19/02/1961,2,19,1961,1960,891
20/02/1961,2,20,1961,1960,956
21/02/1961,2,21,1961,1960,1012
22/02/1961,2,22,1961,1960,1115
23/02/1961,2,23,1961,1960,1225
24/02/1961,2,24,1961,1960,1306
25/02/1961,2,25,1961,1960,1410
26/02/1961,2,26,1961,1960,1555
27/02/1961,2,27,1961,1960,1649
28/02/1961,2,28,1961,1960,1749
01/03/1961,3,1,1961,1960,1834
02/03/1961,3,2,1961,1960,2042
03/03/1961,3,3,1961,1960,2212
04/03/1961,3,4,1961,1960,2358
05/03/1961,3,5,1961,1960,2492
06/03/1961,3,6,1961,1960,2671
07/03/1961,3,7,1961,1960,2957
08/03/1961,3,8,1961,1960,3185
09/03/1961,3,9,1961,1960,3411
10/03/1961,3,10,1961,1960,3680
11/03/1961,3,11,1961,1960,3912
12/03/1961,3,12,1961,1960,3965
13/03/1961,3,13,1961,1960,4036
14/03/1961,3,14,1961,1960,4115
15/03/1961,3,15,1961,1960,4200
16/03/1961,3,16,1961,1960,4378
17/03/1961,3,17,1961,1960,4581
18/03/1961,3,18,1961,1960,4746
19/03/1961,3,19,1961,1960,4849
20/03/1961,3,20,1961,1960,4980
21/03/1961,3,21,1961,1960,5148
22/03/1961,3,22,1961,1960,5302
23/03/1961,3,23,1961,1960,5434
24/03/1961,3,24,1961,1960,
25/03/1961,3,25,1961,1960,
26/03/1961,3,26,1961,1960,
27/03/1961,3,27,1961,1960,
28/03/1961,3,28,1961,1960,5480
29/03/1961,3,29,1961,1960,5450
30/03/1961,3,30,1961,1960,5406
31/03/1961,3,31,1961,1960,5432
01/04/1961,4,1,1961,1960,
02/04/1961,4,2,1961,1960,
03/04/1961,4,3,1961,1960,
04/04/1961,4,4,1961,1960,
05/04/1961,4,5,1961,1960,
06/04/1961,4,6,1961,1960,
07/04/1961,4,7,1961,1960,
08/04/1961,4,8,1961,1960,5472
09/04/1961,4,9,1961,1960,5400
10/04/1961,4,10,1961,1960,5358
11/04/1961,4,11,1961,1960,5279
12/04/1961,4,12,1961,1960,5060
13/04/1961,4,13,1961,1960,4795
14/04/1961,4,14,1961,1960,4511
15/04/1961,4,15,1961,1960,4282
16/04/1961,4,16,1961,1960,4081
17/04/1961,4,17,1961,1960,3883
18/04/1961,4,18,1961,1960,3520
19/04/1961,4,19,1961,1960,3299
20/04/1961,4,20,1961,1960,3136
21/04/1961,4,21,1961,1960,2972
22/04/1961,4,22,1961,1960,2806
23/04/1961,4,23,1961,1960,2622
24/04/1961,4,24,1961,1960,2457
25/04/1961,4,25,1961,1960,2313
26/04/1961,4,26,1961,1960,2205
27/04/1961,4,27,1961,1960,2117
28/04/1961,4,28,1961,1960,2060
29/04/1961,4,29,1961,1960,
30/04/1961,4,30,1961,1960,
01/05/1961,5,1,1961,1960,1202
02/05/1961,5,2,1961,1960,1164
03/05/1961,5,3,1961,1960,1136
04/05/1961,5,4,1961,1960,1098
05/05/1961,5,5,1961,1960,1048
06/05/1961,5,6,1961,1960,1069
07/05/1961,5,7,1961,1960,1446
08/05/1961,5,8,1961,1960,1555
09/05/1961,5,9,1961,1960,1590
10/05/1961,5,10,1961,1960,1621
11/05/1961,5,11,1961,1960,1716
12/05/1961,5,12,1961,1960,1803
13/05/1961,5,13,1961,1960,1840
14/05/1961,5,14,1961,1960,1874
15/05/1961,5,15,1961,1960,1935
16/05/1961,5,16,1961,1960,1951
17/05/1961,5,17,1961,1960,1990
18/05/1961,5,18,1961,1960,2015
19/05/1961,5,19,1961,1960,2042
20/05/1961,5,20,1961,1960,2065
21/05/1961,5,21,1961,1960,2099
22/05/1961,5,22,1961,1960,2120
23/05/1961,5,23,1961,1960,2182
24/05/1961,5,24,1961,1960,2243
25/05/1961,5,25,1961,1960,2281
26/05/1961,5,26,1961,1960,2287
27/05/1961,5,27,1961,1960,2292
28/05/1961,5,28,1961,1960,2324
29/05/1961,5,29,1961,1960,2341
30/05/1961,5,30,1961,1960,2376
31/05/1961,5,31,1961,1960,2184
01/06/1961,6,1,1961,1960,863
02/06/1961,6,2,1961,1960,645
03/06/1961,6,3,1961,1960,638
04/06/1961,6,4,1961,1960,620
05/06/1961,6,5,1961,1960,616
06/06/1961,6,6,1961,1960,610
07/06/1961,6,7,1961,1960,596
08/06/1961,6,8,1961,1960,586
09/06/1961,6,9,1961,1960,540
10/06/1961,6,10,1961,1960,532
11/06/1961,6,11,1961,1960,525
12/06/1961,6,12,1961,1960,511
13/06/1961,6,13,1961,1960,499
14/06/1961,6,14,1961,1960,481
15/06/1961,6,15,1961,1960,474
16/06/1961,6,16,1961,1960,474
17/06/1961,6,17,1961,1960,474
18/06/1961,6,18,1961,1960,
19/06/1961,6,19,1961,1960,
20/06/1961,6,20,1961,1960,
21/06/1961,6,21,1961,1960,422
22/06/1961,6,22,1961,1960,417
23/06/1961,6,23,1961,1960,409
24/06/1961,6,24,1961,1960,403
25/06/1961,6,25,1961,1960,393
26/06/1961,6,26,1961,1960,379
27/06/1961,6,27,1961,1960,366
28/06/1961,6,28,1961,1960,357
29/06/1961,6,29,1961,1960,350
30/06/1961,6,30,1961,1960,340
01/07/1961,7,1,1961,1960,337
02/07/1961,7,2,1961,1960,330
03/07/1961,7,3,1961,1960,324
04/07/1961,7,4,1961,1960,317
05/07/1961,7,5,1961,1960,315
06/07/1961,7,6,1961,1960,311
07/07/1961,7,7,1961,1960,304
08/07/1961,7,8,1961,1960,302
09/07/1961,7,9,1961,1960,298
10/07/1961,7,10,1961,1960,291
11/07/1961,7,11,1961,1960,290
12/07/1961,7,12,1961,1960,290
13/07/1961,7,13,1961,1960,287
14/07/1961,7,14,1961,1960,285
15/07/1961,7,15,1961,1960,279
16/07/1961,7,16,1961,1960,277
17/07/1961,7,17,1961,1960,273
18/07/1961,7,18,1961,1960,267
19/07/1961,7,19,1961,1960,265
20/07/1961,7,20,1961,1960,261
21/07/1961,7,21,1961,1960,255
22/07/1961,7,22,1961,1960,253
23/07/1961,7,23,1961,1960,246
24/07/1961,7,24,1961,1960,242
25/07/1961,7,25,1961,1960,241
26/07/1961,7,26,1961,1960,235
27/07/1961,7,27,1961,1960,234
28/07/1961,7,28,1961,1960,231
29/07/1961,7,29,1961,1960,229
30/07/1961,7,30,1961,1960,224
31/07/1961,7,31,1961,1960,222
01/08/1961,8,1,1961,1960,220
02/08/1961,8,2,1961,1960,218
03/08/1961,8,3,1961,1960,213
04/08/1961,8,4,1961,1960,211
05/08/1961,8,5,1961,1960,209
06/08/1961,8,6,1961,1960,207
07/08/1961,8,7,1961,1960,202
08/08/1961,8,8,1961,1960,200
09/08/1961,8,9,1961,1960,198
10/08/1961,8,10,1961,1960,196
11/08/1961,8,11,1961,1960,191
12/08/1961,8,12,1961,1960,190
13/08/1961,8,13,1961,1960,187
14/08/1961,8,14,1961,1960,186
15/08/1961,8,15,1961,1960,180
16/08/1961,8,16,1961,1960,177
17/08/1961,8,17,1961,1960,176
18/08/1961,8,18,1961,1960,170
19/08/1961,8,19,1961,1960,167
20/08/1961,8,20,1961,1960,166
21/08/1961,8,21,1961,1960,161
22/08/1961,8,22,1961,1960,157
23/08/1961,8,23,1961,1960,157
24/08/1961,8,24,1961,1960,156
25/08/1961,8,25,1961,1960,151
26/08/1961,8,26,1961,1960,150
27/08/1961,8,27,1961,1960,148
28/08/1961,8,28,1961,1960,147
29/08/1961,8,29,1961,1960,147
30/08/1961,8,30,1961,1960,142
31/08/1961,8,31,1961,1960,141
01/09/1961,9,1,1961,1960,136
02/09/1961,9,2,1961,1960,135
03/09/1961,9,3,1961,1960,135
04/09/1961,9,4,1961,1960,133
05/09/1961,9,5,1961,1960,132
06/09/1961,9,6,1961,1960,127
07/09/1961,9,7,1961,1960,126
08/09/1961,9,8,1961,1960,126
09/09/1961,9,9,1961,1960,124
10/09/1961,9,10,1961,1960,123
11/09/1961,9,11,1961,1960,119
12/09/1961,9,12,1961,1960,117
13/09/1961,9,13,1961,1960,115
14/09/1961,9,14,1961,1960,114
15/09/1961,9,15,1961,1960,110
16/09/1961,9,16,1961,1960,109
17/09/1961,9,17,1961,1960,109
18/09/1961,9,18,1961,1960,107
19/09/1961,9,19,1961,1960,106
20/09/1961,9,20,1961,1960,102
21/09/1961,9,21,1961,1960,101
22/09/1961,9,22,1961,1960,101
23/09/1961,9,23,1961,1960,101
24/09/1961,9,24,1961,1960,99
25/09/1961,9,25,1961,1960,98
26/09/1961,9,26,1961,1960,94
27/09/1961,9,27,1961,1960,94
28/09/1961,9,28,1961,1960,94
