MonthId,Year,Month,WaterYear,WaterMonth,WaterDay,WaterWeek,CC_Factor,SampleFlow,Impact_2070,Flow,EWRChannelA,EWRChannelC,EWRChannelD,EWRChannelE,EWRChannelFG,EWRTotal,EWRProportion,FlowCanal,FlowSpill,SpillChannelA,SpillChannelC,SpillChannelD,SpillChannelE,SpillChannelFG,FlowChannelA,FlowChannelC,FlowChannelD,FlowChannelE,FlowChannelFG,FlowLeftChannel,Turbines,FlowTurbine1,FlowTurbine2,FlowTurbine3,FlowTurbine4,LevelTailwater,LevelHeadpond,HeadlossLeftChannel,HeadlossCanal,LevelForebay,HeadlossTurbine1,HeadlossTurbine2,HeadlossTurbine3,HeadlossTurbine4,HeadTurbine1,HeadTurbine2,HeadTurbine3,HeadTurbine4,EffTurbine1,EffTurbine2,EffTurbine3,EffTurbine4,LoadFactorTurbine1,LoadFactorTurbine2,LoadFactorTurbine3,LoadFactorTurbine4,EffGen1,EffGen2,EffGen3,EffGen4,PowerTurbine1,PowerTurbine2,PowerTurbine3,PowerTurbine4,Power,PerfMwPerCumec,Power_max,Power_min,Turbines_max,Turbines_min,Energy,Days,CapFactor
2037.11,2037.0,11.0,2037.0,2.0,46.5,7.066666666666666,0.5875000000000001,214.0849972460169,-0.2960105510000001,176.85428917358607,33.666666666666664,4.666666666666667,2.6666666666666665,2.0,41.333333333333336,84.33333333333333,0.48139594433942745,92.5209558402528,0.0,0.0,0.0,0.0,0.0,0.0,33.666666666666664,4.666666666666667,2.6666666666666665,2.0,41.333333333333336,133.5209558402528,1.0,92.5209558402528,,,,964.4662022051006,990.0,0.08540487130917708,0.0007005860904552124,989.9138945426005,0.06325624116563608,,,,25.38443609633361,,,,0.8729999999999999,,,,0.37008382336101125,,,,0.9623333333333335,,,,19.482203164144213,,,,19.482203164144213,0.10902281784015401,29.0788957478754,14.369898317689616,1,1,14027.186278183824,30,0.10823446202302334
2037.12,2037.0,12.0,2037.0,3.0,77.0,11.419354838709678,0.5875,319.12785757428594,-0.39636746799999983,244.81386581023267,35.516129032258064,5.0,3.6451612903225805,2.6451612903225805,47.61290322580645,94.41935483870968,0.40107705520183123,150.39451097152298,0.0,0.0,0.0,0.0,0.0,0.0,35.516129032258064,5.0,3.6451612903225805,2.6451612903225805,47.61290322580645,194.55580129410365,1.0,150.39451097152298,,,,964.7335934472361,990.0,0.10616113577503947,0.00573025626762731,989.8881086079573,0.1767802991422149,,,,24.977734861578927,,,,0.9122580645161292,,,,0.6015780438860919,,,,0.969032258064516,,,,32.77398112428267,,,,32.77398112428267,0.13014751661697482,56.49189793627833,17.224035683797286,1,1,24383.841956466313,31,0.18207767291268154
2038.01,2038.0,1.0,2037.0,4.0,108.0,15.870967741935484,0.6000000000000001,513.7488323244393,-0.32654580800000005,413.09131578817505,34.0,5.0,4.0,3.0,45.0,91.0,0.22521728152635614,322.09131578817505,0.0,0.0,0.0,0.0,0.0,0.0,34.0,5.0,4.0,3.0,45.0,365.0913157881751,1.7096774193548387,197.92066706017,174.9677322985526,,,965.3297069209469,990.0,0.16320375801083306,0.034418263157635014,989.8023779788318,0.2899929897047451,0.22172636366034187,,,24.18267806817988,24.121028967950256,,,0.9332258064516132,0.926818181818182,,,0.7916826682406799,0.6998709291942105,,,0.9735483870967739,0.9709090909090908,,,42.805885745620095,37.24962967594865,,,69.24110680597072,0.16688886768621253,95.05238566997082,54.30850788369828,2,1,51515.38346364223,31,0.38467281558872635
2038.02,2038.0,2.0,2037.0,5.0,137.5,20.071428571428573,0.5999999999999999,942.5582364433903,-0.32466112599999997,758.9510254248192,44.714285714285715,7.285714285714286,5.571428571428571,4.285714285714286,82.28571428571429,144.14285714285714,0.19773895288327123,614.8081682819619,0.0,0.0,0.0,0.0,0.0,0.0,44.714285714285715,7.285714285714286,5.571428571428571,4.285714285714286,82.28571428571429,672.3795968533906,2.6785714285714284,229.35068454463274,229.35068454463274,228.85838266751074,234.52865934571025,966.8135958034966,990.0,0.3220025107446931,0.12784153700812387,989.5501559522472,0.3753150242444373,0.3753150242444373,0.3745771015515688,0.3938653193499508,22.361245124506123,22.361245124506123,21.621637391314444,20.504129853716783,0.9389285714285717,0.9389285714285717,0.937333333333333,0.94,0.9174027381785311,0.9174027381785311,0.9154335306700431,0.9381146373828411,0.9767857142857145,0.9767857142857145,0.9760000000000003,0.975,46.085481174317586,46.085481174317586,44.30508874135076,43.09236508603607,122.06188347236392,0.16110704874640216,191.96044874565825,87.21632900888878,4,2,82025.58569342857,28,0.6781215748464664
2038.03,2038.0,3.0,2037.0,6.0,167.0,24.258064516129032,0.6000000000000001,2150.0400548334205,-0.39576539699999996,1639.4931813131907,59.0,11.0,12.0,13.0,144.0,239.0,0.14684376482775194,1095.1170379996051,305.3761433135856,37.77791191604415,6.47471355601898,11.598678951413094,16.610417837140634,232.9144210529687,96.77791191604416,17.47471355601898,23.598678951413095,29.61041783714063,376.9144210529685,1232.9683424230814,4.0,273.7792594999013,273.7792594999013,273.7792594999013,273.7792594999013,970.054091724166,990.0,0.9052368288547064,0.4744639089879702,988.6202992621576,0.5305141890721721,0.5305141890721721,0.5305141890721721,0.5305141890721721,18.035693348919217,18.035693348919217,18.035693348919217,18.035693348919217,0.9312989197728615,0.9312989197728615,0.9312989197728615,0.9312989197728615,1.0951170379996058,1.0951170379996058,1.0951170379996058,1.0951170379996058,0.9800000000000003,0.9800000000000003,0.9800000000000003,0.9800000000000003,44.18750463620848,44.18750463620848,44.18750463620848,44.18750463620848,176.75001854483392,0.10870931047391565,189.7297324619244,172.96717563068523,4,4,131502.01379735643,31,0.9819445474712994
2038.04,2038.0,4.0,2037.0,7.0,197.5,28.666666666666668,0.6,1898.9371987934405,-0.3863576779999997,1458.7358187172447,54.0,13.0,14.0,19.0,117.0,217.0,0.14914057791337412,1100.0,141.73581871724565,31.65165483731998,4.452295339154086,7.959071007206419,12.410048643445473,85.26274889011968,85.65165483732,17.452295339154087,21.95907100720641,31.410048643445474,202.26274889011975,1225.0630211836803,4.0,275.0,275.0,275.0,275.0,969.4763847496578,990.0,0.8844457100566852,0.4800000000000003,988.6355542899433,0.5349347800000003,0.5349347800000003,0.5349347800000003,0.5349347800000003,18.624234760285493,18.624234760285493,18.624234760285493,18.624234760285493,0.9318613447784324,0.9318613447784324,0.9318613447784324,0.9318613447784324,1.1000000000000005,1.1000000000000005,1.1000000000000005,1.1000000000000005,0.9800000000000003,0.9800000000000003,0.9800000000000003,0.9800000000000003,45.883748762265455,45.883748762265455,45.883748762265455,45.883748762265455,183.53499504906176,0.1262360791721787,187.7682089311937,177.5042387531731,4,4,132145.1964353245,30,1.0196388613836767
2038.05,2038.0,5.0,2037.0,8.0,228.0,33.0,0.6000000000000001,1485.1423769583587,-0.3628664760000001,1161.7973485472728,55.0,13.0,13.0,17.0,178.0,276.0,0.24224754800514617,885.7973485472727,0.0,0.0,0.0,0.0,0.0,0.0,55.0,13.0,13.0,17.0,178.0,966.7973485472727,3.6774193548387095,239.82668689532667,239.82668689532667,239.82668689532667,245.51599636667015,968.423466667515,990.0,0.5590135591685768,0.2778581091497412,989.1631283316817,0.40987458795407355,0.40987458795407355,0.40987458795407355,0.42791897367881165,20.329787076212668,20.329787076212668,20.329787076212668,19.792517967032147,0.9390322580645163,0.9390322580645163,0.9390322580645163,0.94,0.9593067475813071,0.9593067475813071,0.9593067475813071,0.9820639854666808,0.9790322580645163,0.9790322580645163,0.9790322580645163,0.9800000000000002,43.856220939810434,43.856220939810434,43.856220939810434,43.866924842799946,161.284966745199,0.1386596906920763,185.8100631354989,114.30759549675936,4,3,119996.01525842809,31,0.8960275930288836
2038.06,2038.0,6.0,2037.0,9.0,258.5,37.333333333333336,0.6,690.8731296958244,-0.350233472,545.6929927408994,47.666666666666664,10.666666666666666,10.0,10.333333333333334,98.66666666666667,177.33333333333334,0.34373377184576204,368.3596594075661,0.0,0.0,0.0,0.0,0.0,0.0,47.666666666666664,10.666666666666666,10.0,10.333333333333334,98.66666666666667,436.6929927408994,1.7666666666666666,212.5979107769899,202.70198232027195,204.84335543047865,,965.904119960799,990.0,0.1966195857021971,0.047480456633564226,989.7558999576643,0.327395617229763,0.2979004710174434,0.29786231147333464,,23.524384379635514,23.03902820813569,22.15799615599845,,0.9356666666666666,0.9322222222222218,0.9339999999999999,,0.8503916431079593,0.8108079292810876,0.8193734217219145,,0.9746666666666667,0.9738888888888891,0.9739999999999999,,44.785893149523446,41.52100054460807,40.50383554723514,,76.44913273416081,0.137648556768735,129.20335332177996,40.86574967761965,3,1,55043.37556859577,30,0.4247174040786711
2038.07,2038.0,7.0,2037.0,10.0,289.0,41.74193548387097,0.6000000000000001,370.9302503273009,-0.335436778,296.276061507787,42.0,9.0,8.0,6.0,70.0,135.0,0.45935015825594916,161.27606150778695,0.0,0.0,0.0,0.0,0.0,0.0,42.0,9.0,8.0,6.0,70.0,220.27606150778698,1.0,161.27606150778695,,,,964.8852226300733,990.0,0.11492834391415253,0.006209925279015694,989.878861730807,0.18918853897825122,,,,24.80445056175517,,,,0.9209677419354839,,,,0.6451042460311477,,,,0.9703225806451609,,,,35.09946308014521,,,,35.09946308014521,0.11760438797108408,47.380835613543894,26.39642123921401,1,1,26114.000531628033,31,0.1949970171119178
2038.08,2038.0,8.0,2037.0,11.0,320.0,46.12903225806452,0.6000000000000001,284.467916959635,-0.334548382,227.36694814978122,39.0,7.0,5.0,4.0,60.0,115.0,0.507917895750972,112.36694814978112,0.0,0.0,0.0,0.0,0.0,0.0,39.0,7.0,5.0,4.0,60.0,163.36694814978114,1.0,112.36694814978112,,,,964.7256288277097,990.0,0.09557964141469809,0.001371450645809107,989.9030489079399,0.09060018382179781,,,,25.08681989640776,,,,0.8954838709677418,,,,0.4494677925991246,,,,0.9648387096774198,,,,23.945796348700977,,,,23.945796348700977,0.10475206926338493,30.086900439775253,18.753117179510085,1,1,17815.672483433525,31,0.13303220193722765
2038.09,2038.0,9.0,2037.0,12.0,350.5,50.5,0.6,222.3305365655996,-0.29376432200000013,183.14286896514582,34.0,6.0,4.0,3.0,44.0,91.0,0.4994563458271733,92.14286896514577,0.0,0.0,0.0,0.0,0.0,0.0,34.0,6.0,4.0,3.0,44.0,136.14286896514577,1.0,92.14286896514577,,,,964.4853277806765,990.0,0.08629870532902698,0.0002623742688863718,989.9134389204024,0.06080896914165044,,,,25.367302170584097,,,,0.8756666666666665,,,,0.3685714758605832,,,,0.9610000000000005,,,,19.33708028352346,,,,19.33708028352346,0.1049292073416609,24.836903577379946,15.346449965433944,1,1,13922.697804136886,30,0.1074282237973525
2038.1,2038.0,10.0,2038.0,1.0,16.0,2.7419354838709675,0.6000000000000001,201.6144439220195,-0.24391966499999998,172.10780734964735,31.0,4.0,3.0,2.0,33.0,73.0,0.42515846567762205,99.10780734964729,0.0,0.0,0.0,0.0,0.0,0.0,31.0,4.0,3.0,2.0,33.0,137.1078073496473,1.0,99.10780734964729,,,,964.4546858454011,990.0,0.08662766159647065,0.00032624735814689045,989.9130460910453,0.06960647831567797,,,,25.388753767328648,,,,0.8841935483870966,,,,0.39643122939858905,,,,0.9609677419354843,,,,20.99302817186067,,,,20.99302817186067,0.12169673125617188,26.275443742528005,19.39244560823736,1,1,15618.812959864335,31,0.11662793428811481
2038.11,2038.0,11.0,2038.0,2.0,46.5,7.066666666666666,0.6,262.38532472649865,-0.2960105510000001,215.7840299985358,36.0,5.0,3.0,2.0,47.0,93.0,0.4350405268365519,122.78402999853584,0.0,0.0,0.0,0.0,0.0,0.0,36.0,5.0,3.0,2.0,47.0,166.78402999853586,1.0,122.78402999853584,,,,964.6332257657407,990.0,0.09674455568131904,0.002377426292514985,989.9008780180261,0.10956114750809806,,,,25.158091104777434,,,,0.9016666666666671,,,,0.49113611999414347,,,,0.966333333333333,,,,26.4602712921589,,,,26.4602712921589,0.12160063209404165,34.848257299512554,20.155536636064614,1,1,19051.39533035441,30,0.1470015071786606
2038.12,2038.0,12.0,2038.0,3.0,77.0,11.419354838709678,0.6000000000000001,436.946182021571,-0.39636746799999983,333.0314309294766,39.41935483870968,5.709677419354839,4.354838709677419,3.0,56.483870967741936,108.96774193548387,0.34001702833115005,224.06368899399274,0.0,0.0,0.0,0.0,0.0,0.0,39.41935483870968,5.709677419354839,4.354838709677419,3.0,56.483870967741936,273.54755996173463,1.2580645161290323,184.76519328245783,152.28167088219783,,,965.0329077603194,990.0,0.13267078826553141,0.0167260282220995,989.8506031835127,0.25734630098945793,0.1642043709239088,,,24.560349122203124,24.34330531900035,,,0.9270967741935486,0.9187500000000001,,,0.7390607731298311,0.6091266835287913,,,0.9738709677419356,0.9699999999999999,,,40.29921688073579,32.40928305244069,,,48.662902829752746,0.14347405196081672,67.55895588736017,28.28075430735371,2,1,36205.19970533604,31,0.270349460165293
2039.01,2039.0,1.0,2038.0,4.0,108.0,15.870967741935484,0.6125000000000004,542.7091258190044,-0.32654580800000005,434.16224944428575,41.0,6.0,4.0,3.0,66.0,120.0,0.27823969486661243,314.16224944428575,0.0,0.0,0.0,0.0,0.0,0.0,41.0,6.0,4.0,3.0,66.0,365.16224944428575,1.7419354838709677,191.50153386087302,165.325312308078,,,965.4135371646493,990.0,0.1632273153136004,0.03283244988885713,989.8039402347976,0.2742916251004529,0.19450324590025198,,,24.116111445048166,24.117212611894423,,,0.9287096774193552,0.9213043478260868,,,0.7660061354434922,0.661301249232312,,,0.9725806451612901,0.9699999999999998,,,41.09321099745623,34.95376453331806,,,67.02664919959543,0.1541635663684691,77.29205027384235,56.74286089681432,2,1,49867.827004499006,31,0.37237027333108574
2039.02,2039.0,2.0,2038.0,5.0,137.5,20.071428571428573,0.6125000000000004,662.6617036499855,-0.32466112599999997,530.8881505457349,34.57142857142857,6.0,4.714285714285714,3.7142857142857144,50.285714285714285,99.28571428571429,0.18818498533939235,431.6024362600207,0.0,0.0,0.0,0.0,0.0,0.0,34.57142857142857,6.0,4.714285714285714,3.7142857142857144,50.285714285714285,476.8881505457349,2.0,215.80121813001034,215.80121813001034,,,965.8363660835099,990.0,0.20139987742465396,0.056320487252004114,989.7422796353236,0.33177770148192787,0.33177770148192787,,,23.57413585033158,23.57413585033158,,,0.9375000000000002,0.9375000000000002,,,0.8632048725200409,0.8632048725200409,,,0.9742857142857145,0.9742857142857145,,,45.57954793638368,45.57954793638368,,,91.15909587276737,0.17146812021872407,102.97541967464474,80.5052264344192,2,2,61258.912426499664,28,0.5064394215153742
2039.03,2039.0,3.0,2038.0,6.0,167.0,24.258064516129032,0.6125000000000004,848.5885815407717,-0.39576539699999996,642.8853584620922,37.774193548387096,8.0,6.354838709677419,4.709677419354839,57.96774193548387,114.80645161290323,0.17897344538932702,528.0789068491887,0.0,0.0,0.0,0.0,0.0,0.0,37.774193548387096,8.0,6.354838709677419,4.709677419354839,57.96774193548387,580.2079391072534,2.2903225806451615,236.47373616034528,236.47373616034528,189.89716337593822,,966.3321742853597,990.0,0.2531790258977045,0.08319676977506182,989.6636242043268,0.4038573164544607,0.4038573164544607,0.2553624282295714,,22.927592602513148,22.927592602513148,22.87851448106979,,0.9412903225806447,0.9412903225806447,0.9299999999999999,,0.945894944641381,0.945894944641381,0.7595886535037528,,0.9770967741935486,0.9770967741935486,0.9699999999999999,,48.97760320665638,48.97760320665638,38.446401717461654,,109.11706497644676,0.1698106110245331,118.12777723543184,93.97599488907996,3,2,81183.09634247642,31,0.6062059165358156
2039.04,2039.0,4.0,2038.0,7.0,197.5,28.666666666666668,0.6125000000000004,848.061747528896,-0.3863576779999997,647.3729573886652,40.0,10.0,8.0,5.0,62.0,125.0,0.1931947184617103,522.3729573886652,0.0,0.0,0.0,0.0,0.0,0.0,40.0,10.0,8.0,5.0,62.0,580.3729573886652,2.1,252.00423123184515,252.00423123184515,183.64494924974915,,966.3526474068259,990.0,0.25311475790647264,0.07894918295546614,989.6679360591384,0.4532447894143628,0.4532447894143628,0.2387665019091859,,22.86204386289821,22.86204386289821,22.92316852845089,,0.9423333333333338,0.9423333333333338,0.93,,1.008016924927381,1.008016924927381,0.7345797969989963,,0.9790000000000003,0.9790000000000003,0.9700000000000001,,52.17181019928638,52.17181019928638,37.25437869034469,,108.06905826760722,0.16692724237605977,112.06537741497448,105.0223005455593,3,2,77809.72195267724,30,0.6003836570422626
2039.05,2039.0,5.0,2038.0,8.0,228.0,33.0,0.6125000000000004,770.4622301388904,-0.3628664760000001,599.2225951046604,42.0,9.0,8.0,6.0,82.0,147.0,0.24745775140551074,452.2225951046603,0.0,0.0,0.0,0.0,0.0,0.0,42.0,9.0,8.0,6.0,82.0,511.2225951046603,2.0,226.11129755233014,226.11129755233014,,,966.1395860204923,990.0,0.21800302474372538,0.06044451902093207,989.7215524562353,0.36675572255626776,0.36675572255626776,,,23.21521071318734,23.21521071318734,,,0.9374193548387099,0.9374193548387099,,,0.9044451902093205,0.9044451902093205,,,0.9774193548387096,0.9774193548387096,,,47.14651696117527,47.14651696117527,,,94.29303392235057,0.15698681500141728,102.8115761164852,68.43099456276472,2,2,70154.01723822883,31,0.5238501884575032
