WaterYear,Flow_max,Flow_min,EWRProportion_max,EWRProportion_min,HeadTurbine1_max,HeadTurbine1_min,LevelTailwater_max,LevelTailwater_min,Power_max,Power_min,Energy,CapFactor,Prop4Units,Prop3Units,Prop2Units,Prop1Units,Prop0Units,Days0Units
2034,1627.102797242248,251.64130253670155,0.4699679107022442,0.0940161011029168,24.98720323881021,18.039242194826173,970.0238558120593,964.7611573253242,192.694047931918,30.64712185299159,858591.6051032295,0.5445152239365991,0.19726027397260273,0.23013698630136986,0.2,0.3726027397260274,0.0,0
2035,1041.4145726087306,210.9011960783376,0.4655795732160256,0.12011338324123373,25.09310301107775,20.868330920857805,967.9851710132148,964.7076287136157,168.67453366984998,25.766838533150292,711322.8568829226,0.45111799650109247,0.0958904109589041,0.1780821917808219,0.29041095890410956,0.4383561643835616,0.0,0
2036,2450.564630340203,190.0212620874296,0.4666629380617067,0.0661072138209675,25.390297442885238,15.736640836367158,972.326457170518,964.407952665258,191.90401509989303,25.445296575108195,923272.5481896865,0.5855356089483045,0.3726027397260274,0.12602739726027398,0.11506849315068493,0.3863013698630137,0.0,0
2037,4473.140257991865,199.80062922342097,0.5300990754716497,0.05339926932851166,25.08102959378375,11.603525649817767,976.4595723570676,964.7061434449288,193.16728651035828,27.539046745977586,860930.7042231004,0.5459986708670094,0.40821917808219177,0.07671232876712329,0.2,0.3150684931506849,0.0,0
2038,4468.801548497366,210.88433851007088,0.4507483199124401,0.059710831321729524,25.097410636892015,11.610908778214776,976.4521892286704,964.7076218823644,187.55664187007142,25.33776351818225,843626.3794861404,0.5350243401104392,0.3561643835616438,0.09863013698630137,0.23013698630136986,0.3150684931506849,0.0,0
2039,2406.764967496673,306.118946231465,0.4777129239761656,0.09887001093850392,24.765315439452998,15.846741946353704,972.2163560605317,964.9104781408807,192.02347339719842,36.44929160650065,935655.5447463385,0.5933888538472466,0.3452054794520548,0.11232876712328767,0.22465753424657534,0.32054794520547947,0.0,0
2040,5174.075028622523,239.5438827747625,0.4309548240787054,0.0597020621570788,25.000060186718112,10.490417240990793,977.5933692842468,964.7384978034399,190.7447340548751,31.40646474215341,944067.96159307,0.5987239736130581,0.4575342465753425,0.1232876712328767,0.2054794520547945,0.2136986301369863,0.0,0
2041,4322.29336970045,307.53382690802675,0.453978809557681,0.05665228398418917,24.756653541230715,11.863112975843096,976.1999850310422,964.91513098665,191.9601719318094,36.743191261379884,981266.0631930415,0.6223148548915788,0.39452054794520547,0.136986301369863,0.26575342465753427,0.20273972602739726,0.0,0
2042,2478.419755764216,287.16496924420966,0.4962290096226657,0.07071458838887998,24.875408620662842,15.667230859674607,972.3958671472107,964.8513806760285,191.64203576672227,32.48371080389812,986041.2564009263,0.625343262557665,0.4191780821917808,0.1178082191780822,0.19452054794520549,0.2684931506849315,0.0,0
2043,2892.9841440579976,253.5455239426936,0.4485538720541522,0.07841214481776207,24.97851431763448,14.685801585320366,973.3772964215648,964.7651519968074,190.0354619509841,31.048340490853814,896955.7177670645,0.5688455845808374,0.3232876712328767,0.12602739726027398,0.2328767123287671,0.32054794520547947,0.0,0
2044,1150.4959285420387,212.95904171094463,0.4353272681182903,0.10864879822600132,25.071382416949817,20.08117635388725,968.3977576691724,964.7085756263266,186.09985180248188,27.31574779161032,694949.1086589752,0.44073383349757433,0.08767123287671233,0.12054794520547946,0.3561643835616438,0.43561643835616437,0.0,0
2045,898.5938455942846,200.4991183291949,0.427135215962587,0.12787421870144214,25.087471432825,21.574763475189144,967.4191186830465,964.7061499644104,146.75134154535982,26.513506206696945,709569.1337238789,0.4500057925696847,0.0,0.3095890410958904,0.2602739726027397,0.4301369863013699,0.0,0
2046,1434.2585745780152,188.30168690174943,0.4122485038285697,0.10114702154363614,25.39075800826365,18.671670977569605,969.3977613537147,964.3975309505513,193.33271264602985,25.850889281404147,725710.6181233615,0.4602426548220202,0.15616438356164383,0.12054794520547946,0.24383561643835616,0.4794520547945205,0.0,0
2047,1612.7934702866355,176.3960072952243,0.4096192297213453,0.09778086530845148,25.3780729078248,18.08435780712269,969.9787401997626,964.3985817171056,191.55273189284202,27.304739623487016,785536.3339048343,0.49818387487622673,0.1917808219178082,0.16986301369863013,0.2136986301369863,0.4273972602739726,0.0,0
2048,2397.3253942499373,176.64012998997373,0.4461301055751881,0.06502089294206817,25.347958964451216,15.870626643915742,972.1924713629696,964.3996296956476,191.68045812012645,27.620048831254028,712643.6192445387,0.4519556184960291,0.17534246575342466,0.08767123287671233,0.2493150684931507,0.4876712328767123,0.0,0
2049,1625.0820138860568,214.47895791649253,0.4360008876455197,0.09107232664897187,25.083545409265216,18.045600988351183,970.017497018534,964.7094164980158,192.04084548177627,26.820323447763986,830589.252478477,0.5267562484008605,0.19452054794520549,0.1726027397260274,0.26301369863013696,0.3698630136986301,0.0,0
2050,1921.8300538737967,190.9703898350275,0.4370653735122401,0.0770099310819285,25.390727915913075,17.153021522441307,970.910076484444,964.3982194890796,191.2750798870792,27.562175900972967,768472.8197591566,0.4873622651947974,0.19452054794520549,0.15616438356164383,0.18904109589041096,0.4602739726027397,0.0,0
2051,3102.7050358495794,183.74302655590665,0.4954089235205135,0.0734347927038058,25.39068157848261,14.222348427889486,973.8407495789958,964.3992763960034,191.343546594702,23.831408190347982,854430.6016173066,0.5418763328369525,0.3643835616438356,0.07945205479452055,0.16164383561643836,0.3972602739726027,0.0,0
2052,833.5465509169017,188.6727769378734,0.4659687200238971,0.13252549400522495,25.387774972616448,21.99313358145902,967.15136492218,964.3989837968784,136.6949815598972,22.442294204660392,614058.2610636088,0.38943319448478486,0.0,0.20273972602739726,0.3095890410958904,0.4876712328767123,0.0,0
