WaterYear,Flow_max,Flow_min,EWRProportion_max,EWRProportion_min,HeadTurbine1_max,HeadTurbine1_min,PowerTurbine1_max,LevelTailwater_max,LevelTailwater_min,Power_max,Power_min,Energy,CapFactor,Prop4Units,Prop3Units,Prop2Units,Prop1Units,Prop0Units,Days0Units,PropDays1uPotentialGtRatedPower,PropDays2uPotentialGtRatedPower,PropDays3uPotentialGtRatedPower,PropDays4uPotentialGtRatedPower,FstDay1uPotentialLessRatedPower,LstDay1uPotentialLessRatedPower,FstDay2uPotentialLessRatedPower,LstDay2uPotentialLessRatedPower,FstDay3uPotentialLessRatedPower,LstDay3uPotentialLessRatedPower,FstDay4uPotentialLessRatedPower,LstDay4uPotentialLessRatedPower,Exceedance
1934,3283.774797836415,175.85611591818073,0.5267857636058051,0.0717423366946936,25.43455782697633,13.900813316231918,58.2592582121566,974.1622846906532,964.4021858203422,190.59951811327767,18.15533699818577,869733.0234747267,0.5515810651158846,0.33424657534246577,0.1095890410958904,0.19452054794520549,0.36164383561643837,0.0,0,270,267,264,259,56.0,150.0,54.0,151.0,53.0,153.0,50.0,155.0,0.30000000000000004
1935,2506.7096108185306,188.7180946975509,0.492798531847444,0.0590415416932449,25.427210637538835,15.740005842840516,59.6811581320607,972.3230921640449,964.4021858203422,192.68468736416307,20.169133166597145,823122.918451652,0.5220211304234221,0.28493150684931506,0.11232876712328767,0.18082191780821918,0.4246575342465753,0.0,0,293,289,286,276,80.0,152.0,77.0,153.0,75.0,154.0,69.0,158.0,0.65
1936,3636.51361567394,207.0860123264856,0.5415999598712461,0.0498682140995586,25.378267545690903,13.153342964147626,59.40380360712247,974.9097550427376,964.4425160739588,191.5275631359327,23.679736306471664,844191.6441759372,0.5353828286250236,0.3917808219178082,0.06575342465753424,0.16712328767123288,0.37534246575342467,0.0,0,244,241,237,231,44.0,164.0,43.0,166.0,42.0,169.0,40.0,173.0,0.5
1937,3248.562294141462,228.01195590968243,0.5518389945518419,0.0455586153502141,25.20760231250693,13.975430288347368,58.36425256720626,974.087667718538,964.568071735458,194.6887810867683,26.83867940438185,853046.5042787037,0.5409985440631049,0.29863013698630136,0.1178082191780822,0.2136986301369863,0.3698630136986301,0.0,0,306,304,299,284,85.0,143.0,85.0,145.0,81.0,146.0,74.0,154.0,0.45
1938,2891.117890135456,219.11865300258552,0.49333029909217,0.070235257013336,25.28088442657646,14.812123789316914,59.95547658806168,973.2509742175685,964.5147119180156,191.70107002135651,26.11416865297083,830537.9311522064,0.5267237006292531,0.3041095890410959,0.1095890410958904,0.17534246575342466,0.410958904109589,0.0,0,288,285,281,273,55.0,131.0,53.0,132.0,52.0,135.0,51.0,142.0,0.6000000000000001
1939,5331.4830933361045,216.96545287729248,0.5376639346851664,0.0461164878235218,25.29846013687321,10.07610093901765,60.021164816668445,978.0204839637375,964.5017927172638,192.0635208412918,25.47951606056611,894360.8555574438,0.5671999337629654,0.4191780821917808,0.1178082191780822,0.17534246575342466,0.29041095890410956,0.0,0,262,258,252,243,63.0,166.0,61.0,168.0,59.0,172.0,54.0,176.0,0.25
1940,3345.7074668016407,228.01195590968243,0.5175167220035639,0.054696951785489,25.25115606304181,13.7695750415199,59.33970793833326,974.2935229653654,964.568071735458,192.0635208412918,23.545282307274643,874211.6538509054,0.5544213938679005,0.3643835616438356,0.057534246575342465,0.19726027397260273,0.38082191780821917,0.0,0,277,273,265,255,55.0,142.0,53.0,144.0,49.0,148.0,44.0,153.0,0.30000000000000004
1941,2175.853784527441,188.7180946975509,0.4822007139582517,0.0680192764111413,25.42328234827473,16.538623354577638,59.40380360712247,971.5244746523076,964.4021858203422,191.74728057548836,20.58777336094075,763735.5000591578,0.4843578767498464,0.22465753424657534,0.10410958904109589,0.21643835616438356,0.4547945205479452,0.0,0,321,319,317,307,98.0,141.0,97.0,142.0,96.0,143.0,91.0,148.0,0.9
1942,1683.4305970646828,169.35749394086574,0.4349226338728007,0.0879157122711565,25.38763939487324,17.985860693291627,60.73538220815003,970.0772373135936,964.4039059066135,194.6887810867683,25.47802598682181,822675.4853748914,0.5217373702276075,0.25205479452054796,0.0958904109589041,0.2493150684931507,0.40273972602739727,0.0,0,309,305,300,288,93.0,148.0,92.0,151.0,91.0,155.0,85.0,161.0,0.65
1943,2549.262847794455,175.85611591818073,0.4496732016178926,0.0812268565980066,25.404320240711836,15.637291132898625,59.6811581320607,972.4258068739866,964.4021858203422,191.6822155282325,21.888027307447672,854205.8310171848,0.5417337842574739,0.3561643835616438,0.08493150684931507,0.14794520547945206,0.4136986301369863,0.0,0,265,260,256,247,51.0,151.0,49.0,154.0,47.0,156.0,41.0,159.0,0.4
1944,3908.4893007119,193.12284525272025,0.548638333076071,0.0594923785637072,25.388546736761192,12.577013536329176,59.33970793833326,975.486084470556,964.4021858203422,191.5275631359327,25.398233642289185,808956.1702002282,0.513036637620642,0.3041095890410959,0.1095890410958904,0.2191780821917808,0.36712328767123287,0.0,0,280,278,275,267,67.0,151.0,66.0,152.0,66.0,155.0,56.0,158.0,0.7000000000000001
1945,1569.5666450868512,198.90708982887787,0.4793219841421492,0.0963396592065473,25.415887366436817,18.35515416754488,59.33970793833326,969.7093691610498,964.4021858203422,193.4241671511808,22.446526807105247,879950.6629730876,0.5580610495770469,0.3041095890410959,0.12876712328767123,0.14246575342465753,0.4246575342465753,0.0,0,338,323,313,286,109.0,135.0,105.0,146.0,98.0,149.0,76.0,154.0,0.30000000000000004
1946,4795.818222324392,198.0470466931377,0.4809859877343974,0.0462789415964622,25.38763939487324,10.9267506600316,59.6811581320607,977.1363473468537,964.4021858203422,190.0972147070484,27.4901996627765,839776.6252678809,0.5325828420014465,0.36164383561643837,0.1178082191780822,0.18356164383561643,0.336986301369863,0.0,0,260,256,252,246,66.0,170.0,64.0,172.0,63.0,175.0,61.0,179.0,0.55
1947,6156.058548586994,261.07546534639675,0.4884650965451471,0.0388235423873377,24.970194610459995,8.920116059047317,59.6811581320607,979.243512600248,964.7443018613856,193.51577384659865,0.0,741837.9265173939,0.470470526710676,0.2958904109589041,0.10410958904109589,0.1726027397260274,0.3150684931506849,0.11506849315068493,42,241,238,235,228,52.0,176.0,51.0,178.0,50.0,180.0,47.0,184.0,0.9500000000000001
1948,916.5538782645328,198.0470466931377,0.4594867811434682,0.1336634644318608,25.42328234827473,21.323591594957723,59.74707115991228,967.566215513058,964.4021858203422,152.53298657419867,22.81057057417673,646537.509653061,0.4100313988159951,0.0,0.19726027397260273,0.3452054794520548,0.4575342465753425,0.0,0,365,365,365,365,,,,,,,,,1.0
1949,5256.888969216422,169.35749394086574,0.53852101764521,0.030816705650176,25.389334553574365,10.184910865712098,59.46285308245549,977.9056090125932,964.4021858203422,190.0194911250129,20.27370172183109,754601.5334992184,0.47856515315779957,0.36164383561643837,0.07123287671232877,0.1643835616438356,0.40273972602739727,0.0,0,247,245,242,239,42.0,159.0,42.0,161.0,42.0,164.0,42.0,167.0,0.9500000000000001
1950,4476.342208292831,198.0470466931377,0.5074346050645173,0.0531103469218518,25.38763939487324,11.511391765709462,58.66812816616893,976.5517062411758,964.4021858203422,191.84471034437092,27.4901996627765,852136.4795965075,0.5404214101956542,0.3698630136986301,0.09315068493150686,0.2054794520547945,0.3315068493150685,0.0,0,251,250,246,239,59.0,172.0,59.0,173.0,58.0,176.0,55.0,180.0,0.45
1951,6156.058548586994,256.6659042898368,0.4804354782184812,0.0391296589849942,25.01473055689148,8.920116059047317,58.42455939946693,979.243512600248,964.7266636171594,191.2413647982821,0.0,804096.9795698497,0.5099549591386667,0.38904109589041097,0.0410958904109589,0.16712328767123288,0.3452054794520548,0.06027397260273973,22,232,230,226,218,10.0,143.0,10.0,145.0,9.0,148.0,6.0,153.0,0.75
1952,5888.375322344647,219.11865300258552,0.4825988590758823,0.044572993674391,25.28088442657646,9.263766142808509,59.26136574519084,978.8780979964108,964.5147119180156,193.17990411830996,0.0,811484.5952914627,0.5146401542944334,0.3424657534246575,0.10136986301369863,0.24383561643835616,0.27671232876712326,0.03561643835616438,13,252,249,245,239,62.0,174.0,61.0,176.0,59.0,178.0,57.0,182.0,0.7000000000000001
1953,3825.645919340985,258.9286564888063,0.5329653421577377,0.0576476144194458,25.05769052363345,12.752562606377026,59.67715944616008,975.3105354005082,964.7357146259552,193.57963579712856,25.950965490203465,905715.3062431064,0.5744008791496108,0.3726027397260274,0.1232876712328767,0.18356164383561643,0.32054794520547947,0.0,0,270,266,261,253,64.0,158.0,62.0,160.0,59.0,162.0,56.0,167.0,0.2
1954,3797.34050857074,213.83113399244053,0.4763460019098556,0.060514892992011,25.32392798582978,12.812543119675825,59.6811581320607,975.2505548872094,964.4829868039546,190.59951811327767,25.338033909020485,921098.0971696952,0.5841565811578483,0.4465753424657534,0.09041095890410959,0.1506849315068493,0.31232876712328766,0.0,0,234,231,224,218,37.0,167.0,37.0,170.0,33.0,173.0,31.0,177.0,0.15000000000000002
1955,5693.519049852624,250.8888759538732,0.4384411209216939,0.049835083174642,25.04664589523684,9.548001623498706,59.67715944616008,978.578019336773,964.7035555038156,192.4622014901836,0.0,846379.4449291273,0.5367703227607352,0.40273972602739727,0.11506849315068493,0.20821917808219179,0.23013698630136986,0.04657534246575343,17,229,226,223,215,57.0,193.0,56.0,195.0,55.0,197.0,52.0,202.0,0.5
1956,9125.046264119264,289.7090023536055,0.5017537083122138,0.0261916480292023,24.86140162768889,6.709921996093343,60.021164816668445,981.9431871141804,964.8588360094144,190.0194911250129,0.0,785819.5843895109,0.4983635111551946,0.2410958904109589,0.12602739726027398,0.27945205479452057,0.27945205479452057,0.07397260273972603,27,271,269,264,257,58.0,151.0,58.0,153.0,57.0,157.0,56.0,163.0,0.8500000000000001
1957,9912.101075056224,282.51762710592186,0.432302685215731,0.0198746964451109,24.835894583522112,6.398257576862719,60.021164816668445,982.443744688036,964.8300705084235,190.96061701257847,0.0,737011.225571422,0.4674094530513838,0.28493150684931506,0.09041095890410959,0.2136986301369863,0.24383561643835616,0.16712328767123288,61,225,219,213,206,12.0,154.0,10.0,155.0,6.0,158.0,6.0,164.0,0.9500000000000001
1958,4501.32750237501,244.46260450067643,0.4826914130323498,0.0527967492517041,25.117523817087143,11.465668677539,59.60420450805861,976.5974293293464,964.666775627004,192.2039778180255,27.50559718848025,944275.9582266789,0.5988558842127594,0.34794520547945207,0.1863013698630137,0.1917808219178082,0.273972602739726,0.0,0,283,280,275,265,69.0,150.0,68.0,152.0,66.0,155.0,61.0,160.0,0.1
1959,4795.818222324392,198.90708982887787,0.531997797889225,0.0436969698339106,25.43455782697633,10.9267506600316,58.66812816616893,977.1363473468537,964.4021858203422,192.39883441042676,21.724952650543685,824227.9623989387,0.5227219446974497,0.3232876712328767,0.1232876712328767,0.19452054794520549,0.36164383561643837,0.0,0,275,272,267,258,71.0,161.0,70.0,163.0,69.0,167.0,66.0,173.0,0.6000000000000001
1960,6109.560283746436,207.0860123264856,0.468404403128265,0.0343684362984263,25.378267545690903,8.973993273030331,58.71790019409595,979.1858547518456,964.4425160739588,190.97575869570304,0.0,804429.45746233,0.5101658152348617,0.31232876712328766,0.1232876712328767,0.2191780821917808,0.27945205479452057,0.06575342465753424,24,254,252,248,239,67.0,177.0,67.0,179.0,65.0,181.0,62.0,187.0,0.75
1961,5632.210260458824,266.40022953191016,0.4188208738115802,0.045464152162914,24.945044379249907,9.637432325425792,58.66195052788831,978.4836038011066,964.7656009181276,192.41756331949728,0.0,864830.6164428646,0.5484719789718827,0.42191780821917807,0.07671232876712329,0.27123287671232876,0.18356164383561643,0.04657534246575343,17,223,221,215,206,36.0,177.0,35.0,178.0,32.0,181.0,28.0,186.0,0.35000000000000003
1962,7034.53654195357,282.51762710592186,0.4247522578653453,0.0378774330756027,24.862000294731395,7.91259072006558,57.42863931145854,980.3224643494364,964.8300705084235,193.17261188443592,0.0,815820.9131839571,0.517390229061363,0.3972602739726027,0.07397260273972603,0.2219178082191781,0.1780821917808219,0.12876712328767123,47,212,209,203,187,16.0,168.0,15.0,170.0,13.0,174.0,1.0,178.0,0.65
