WaterYear,Flow_max,Flow_min,EWRProportion_max,EWRProportion_min,HeadTurbine1_max,HeadTurbine1_min,PowerTurbine1_max,LevelTailwater_max,LevelTailwater_min,Power_max,Power_min,Energy,CapFactor,Prop4Units,Prop3Units,Prop2Units,Prop1Units,Prop0Units,Days0Units,PropDays1uPotentialGtRatedPower,PropDays2uPotentialGtRatedPower,PropDays3uPotentialGtRatedPower,PropDays4uPotentialGtRatedPower,FstDay1uPotentialLessRatedPower,LstDay1uPotentialLessRatedPower,FstDay2uPotentialLessRatedPower,LstDay2uPotentialLessRatedPower,FstDay3uPotentialLessRatedPower,LstDay3uPotentialLessRatedPower,FstDay4uPotentialLessRatedPower,LstDay4uPotentialLessRatedPower,Exceedance
1966,3445.6562723883435,266.40022953190976,0.4913147177300279,0.04480158262252272,25.44504437924991,14.057778763014724,60.31087102497649,974.5053192438704,964.7656009181276,197.537960472464,31.449250948126373,919714.7013624263,0.5832792372922541,0.33972602739726027,0.12054794520547946,0.18356164383561643,0.3561643835616438,0.0,0,289,285,280,259,90.0,165.0,89.0,168.0,87.0,171.0,77.0,182.0,0.25
1967,5594.069795175452,256.6659042898363,0.44743459125932505,0.03699771557808741,25.50920033189287,10.193067555151359,60.521935996166974,978.4248674845703,964.7266636171594,194.79422312775856,32.397249663553914,908352.2155283223,0.5760731960478959,0.46301369863013697,0.09041095890410959,0.2465753424657534,0.20273972602739726,0.0,0,223,219,217,203,19.0,161.0,18.0,164.0,18.0,166.0,16.0,178.0,0.30000000000000004
1968,8571.63865618811,280.8790272711299,0.3916276735529208,0.034860950337764804,25.347158013359078,7.427788721909637,60.494328909847574,981.5925025624608,964.8235161090843,196.36953505100098,0.0,820554.4207565712,0.5203921998709863,0.29041095890410956,0.14794520547945206,0.2684931506849315,0.13972602739726028,0.15342465753424658,56,243,240,236,214,51.0,172.0,50.0,174.0,49.0,177.0,40.0,190.0,0.8
1969,4990.690795553161,335.8283516156156,0.4347459030710711,0.0419374801059182,25.03083887527202,11.07013385102296,59.947341111788646,977.4929641558624,965.079141758078,198.70595087514823,42.04943564316286,1015997.183639204,0.6443411869857966,0.4383561643835616,0.14520547945205478,0.3150684931506849,0.10136986301369863,0.0,0,248,244,239,216,28.0,144.0,27.0,147.0,25.0,150.0,15.0,163.0,0.05
1970,3141.212178585448,320.5117836285301,0.4707114397978658,0.07134102275298419,25.114234424023145,14.708447920644588,60.10026612866875,973.8546500862407,965.0025589181427,198.5131784338286,41.03285287046349,990721.907608244,0.6283117120803171,0.3835616438356164,0.13150684931506848,0.21643835616438356,0.2684931506849315,0.0,0,278,274,267,243,52.0,138.0,51.0,141.0,50.0,147.0,41.0,162.0,0.1
1971,1879.5337399159118,275.02702989881647,0.5066883384495814,0.07874293334400123,25.387075831125827,17.85229669331075,61.271826335720434,970.7108013135744,964.8001081195952,198.371399429589,35.4606565982575,967086.8383137282,0.613322449463298,0.29041095890410956,0.19452054794520549,0.2219178082191781,0.2958904109589041,0.0,0,328,322,313,285,106.0,143.0,104.0,147.0,101.0,153.0,89.0,169.0,0.1
1972,1228.7491541059394,234.53098723591492,0.5031318095348472,0.10172946982897604,25.698655040658878,20.083216162242774,60.58284852102592,968.6189259129044,964.6071859234157,198.12884202955019,25.646911408222213,828177.4711174709,0.5252267066955041,0.1780821917808219,0.1780821917808219,0.21643835616438356,0.4273972602739726,0.0,0,365,365,365,324,,,,,,,99.0,139.0,0.75
1973,2860.071249515923,209.35312898019922,0.5285827981457426,0.05960222886454435,25.860074633127628,15.387063956329555,60.714160352394806,973.1760340505556,964.4561187738813,196.36953505100098,24.626216635028864,956709.1466159687,0.6067409605631461,0.40821917808219177,0.11232876712328767,0.12876712328767123,0.3506849315068493,0.0,0,254,249,241,227,47.0,157.0,44.0,159.0,39.0,162.0,35.0,172.0,0.15000000000000002
1974,5498.718803886681,219.11865300258486,0.4763460019098563,0.043875604945507234,25.780884426576463,10.332155378687347,56.123864176065176,978.2780269579857,964.5147119180156,197.7484460586886,27.262266018442308,893672.7811960682,0.5667635598655937,0.4465753424657534,0.0684931506849315,0.20273972602739726,0.2821917808219178,0.0,0,237,235,230,212,34.0,161.0,34.0,163.0,33.0,167.0,26.0,178.0,0.35000000000000003
1975,5537.063002227241,241.2674784651609,0.4559255176030035,0.04376457430701482,25.625434903933378,10.276222964977435,60.521935996166974,978.33707702343,964.647604870791,196.41096720823623,29.12799032383388,873182.8823902472,0.5537689512875743,0.3917808219178082,0.12054794520547946,0.23013698630136986,0.2602739726027397,0.0,0,250,249,245,230,64.0,179.0,64.0,180.0,63.0,183.0,59.0,194.0,0.5
1976,2851.0349296246973,335.8283516156156,0.4255394548516334,0.07614888984361888,25.006761581534413,15.408875762963548,60.84755797993757,973.1542222439217,965.079141758078,198.51268906546792,43.77938697131622,1000481.5837638199,0.6345012580947614,0.3780821917808219,0.1178082191780822,0.2684931506849315,0.2356164383561644,0.0,0,259,256,252,235,61.0,166.0,60.0,168.0,59.0,171.0,51.0,180.0,0.05
1977,6348.595621445872,271.9562257336665,0.4247522578653459,0.04376457430701482,25.39711059328417,9.19702470048533,60.92336161650425,979.4822585705928,964.7878249029345,198.36948692344745,0.0,935878.9240397023,0.5935305200657676,0.4465753424657534,0.10136986301369863,0.2,0.18356164383561643,0.0684931506849315,25,231,228,221,195,51.0,184.0,49.0,185.0,45.0,188.0,29.0,199.0,0.2
1978,5390.8183966334,339.73414629451196,0.4371001436868592,0.0547226744243934,24.999018475165247,10.48954894744493,60.781312646450225,978.1118603308154,965.0986707314727,196.9712365740695,42.86006457477132,1049027.253880592,0.6652887201170675,0.4465753424657534,0.16986301369863013,0.3150684931506849,0.0684931506849315,0.0,0,251,248,243,217,50.0,163.0,49.0,165.0,47.0,168.0,31.0,178.0,0.05
1979,3076.024264251512,311.29832651120034,0.4453612545026768,0.062360624267995574,25.2044893430973,14.865798058691965,60.84755797993757,973.6972999481932,964.956491632556,196.49132533537215,38.654135249560426,1043320.5751931354,0.6616695682351189,0.4547945205479452,0.1178082191780822,0.2054794520547945,0.22465753424657534,0.0,0,230,228,224,208,22.0,157.0,22.0,159.0,21.0,162.0,15.0,172.0,0.05
1980,3445.6562723883435,282.51762710592146,0.4763400476991867,0.0607872221344025,25.36140162768889,14.057778763014724,60.10026612866875,974.5053192438704,964.8300705084237,195.71097271498607,33.68318674348746,958461.8241874161,0.6078525013872502,0.3589041095890411,0.12602739726027398,0.25205479452054796,0.26301369863013696,0.0,0,276,272,265,240,71.0,159.0,69.0,161.0,64.0,163.0,49.0,173.0,0.1
1981,1434.0918404196536,244.4626045006759,0.4836015644892589,0.08826924632333387,25.617523817087143,19.29778055039351,60.58284852102592,969.2716813305867,964.666775627004,197.577851455305,28.053135182049555,812996.6643524871,0.5155991022022368,0.16986301369863013,0.1589041095890411,0.29863013698630136,0.3726027397260274,0.0,0,365,365,364,322,,,,,112.0,112.0,96.0,138.0,0.8500000000000001
1982,1136.328881646943,223.29620539524257,0.4933302990921714,0.11181083974025516,25.733269063355504,20.71950038554932,61.271826335720434,968.3284621994618,964.5397772323714,188.61381595970832,26.633114937890983,869751.9625708077,0.5515930762118263,0.20273972602739726,0.20273972602739726,0.22465753424657534,0.3698630136986301,0.0,0,365,365,365,364,,,,,,,86.0,86.0,0.55
1983,1794.2212989814325,213.83113399243985,0.44805327890430624,0.07214833669635473,25.811395305647718,18.127921502483748,60.845335610217,970.4351765044015,964.4829868039546,199.24490132221658,27.262266018442308,825955.2799675886,0.5238174023132856,0.22465753424657534,0.136986301369863,0.2136986301369863,0.4273972602739726,0.0,0,334,330,321,295,83.0,114.0,82.0,117.0,81.0,125.0,73.0,143.0,0.75
1984,1938.363286248882,202.36918649496602,0.5350196187925648,0.07794585094288298,25.867608950809924,17.66223200515806,60.92325440671743,970.9008660017273,964.4142151189698,199.24490132221658,24.36876048291381,872780.6680341806,0.5535138686162993,0.2684931506849315,0.14794520547945206,0.19452054794520549,0.38904109589041097,0.0,0,322,316,310,281,102.0,144.0,100.0,148.0,97.0,151.0,80.0,163.0,0.5
1985,3058.1393347436165,207.086012326485,0.5278519142882396,0.05090933164663231,25.878267545690907,14.908968578193779,61.35299678610178,973.6541294286916,964.4425160739587,196.33543759151559,24.146272019830192,799797.2959864925,0.5072281176981814,0.2465753424657534,0.11232876712328767,0.2273972602739726,0.4136986301369863,0.0,0,319,316,310,292,101.0,146.0,101.0,149.0,99.0,153.0,92.0,164.0,0.8500000000000001
1986,2069.441905878044,241.2674784651609,0.5134569390406561,0.07341658632215482,25.64377584893271,17.29547961338649,60.63819712311347,971.2676183934987,964.647604870791,199.24490132221658,27.372383641279768,939875.2437230512,0.5960649693829599,0.27671232876712326,0.16712328767123288,0.2547945205479452,0.3013698630136986,0.0,0,315,309,303,279,78.0,127.0,77.0,132.0,75.0,136.0,66.0,151.0,0.15000000000000002
1987,2463.969763289497,228.0119559096817,0.5134569390406561,0.0611352427118351,25.720513686188326,16.34317099204857,61.541580175411596,972.2199270148367,964.568071735458,199.24490132221658,26.368488048439854,862049.3723246008,0.5467081255229584,0.3095890410958904,0.07123287671232877,0.2191780821917808,0.40273972602739727,0.0,0,317,314,308,277,99.0,147.0,98.0,149.0,96.0,153.0,57.0,165.0,0.6000000000000001
1988,3825.6459193409837,209.35312898019922,0.5074346050645181,0.06297784307126703,25.860074633127628,13.252562606377024,61.208191812142836,975.3105354005082,964.4561187738813,196.9041900336269,24.626216635028864,875682.3914136018,0.5553541295114167,0.39452054794520547,0.07945205479452055,0.17534246575342466,0.3506849315068493,0.0,0,246,245,241,225,53.0,171.0,53.0,172.0,52.0,175.0,45.0,184.0,0.45
1989,1015.7994747954344,213.83113399243985,0.4431611161336456,0.1128795074694022,25.811395305647718,21.467769170110973,61.35299678610178,967.9496554922142,964.4829868039546,168.55025089043488,27.453775467242735,773866.6724681295,0.4907830241426494,0.07671232876712329,0.30684931506849317,0.16986301369863013,0.4465753424657534,0.0,0,365,365,365,365,,,,,,,,,0.9500000000000001
1990,2294.569526323532,202.36918649496602,0.4793219841421505,0.07794585094288298,25.915887366436817,16.75206811575943,61.4786590395639,971.8110298911258,964.4142151189698,196.63402866934382,22.88811136568221,817831.8314851498,0.5186655450819063,0.29315068493150687,0.07945205479452055,0.15616438356164383,0.4712328767123288,0.0,0,294,287,282,267,61.0,131.0,59.0,136.0,59.0,141.0,53.0,150.0,0.8
