WaterYear,YearDecimal,Flow_min,Flow_median,Flow_mean,Flow_max,Flow_range,Flow_sum,Flow_mean_pct_var,Flow_mean_5yr_mvCoefVar
1948,1949.25,193,403.0,457.25753424657535,905,712,166899,-58.303286850076944,41.77302354515549
1949,1950.25,171,556.0,1373.8027397260273,5187,5016,501438,25.2752649714565,44.836537880079604
1950,1951.25,193,624.0,1224.2739726027398,4402,4209,446860,11.639933361941178,41.14739100221919
1951,1952.25,257,633.5,1592.1338797814208,6170,5913,582721,45.18459447782669,17.91643183925936
1952,1953.25,221,648.0,1485.964383561644,5886,5665,542377,35.50313775466493,18.08725099954881
1953,1954.25,259,682.0,1102.8328767123287,3812,3553,402534,0.56587955045344,23.487469649410418
1954,1955.25,212,804.0,1286.4602739726026,3803,3591,469558,17.310620394679248,22.737949674514955
1955,1956.25,250,839.5,1760.9617486338798,5673,5423,644512,60.57978579130155,43.642465168447515
1956,1957.25,291,624.0,1521.682191780822,9154,8863,555414,38.760197709101725,43.61718064408663
1957,1958.25,284,804.0,2333.958904109589,9912,9628,851895,112.83064277709099,46.26904434621711
1958,1959.25,243,748.0,1103.8986301369864,4432,4189,402923,0.6630642035389757,45.288667507831654
1959,1960.25,195,577.5,1133.9562841530055,4629,4434,415028,3.4039821405843584,46.14480089966616
1960,1961.25,201,720.0,1473.6246575342466,6081,5880,537873,34.377894367782716,38.34691169110872
1961,1962.25,267,892.0,1728.558904109589,5570,5303,630924,57.62501301626768,40.333628493823106
1962,1963.25,284,1089.0,2103.2520547945205,7115,6831,767687,91.79278862021333,43.806644282754675
1963,1964.25,291,818.0,1018.25956284153,2450,2159,372683,-7.146249708213907,44.923763197882266
1964,1965.25,264,572.0,968.1506849315068,2743,2479,353375,-11.715612380217607,44.15881008799751
1965,1966.25,246,589.0,1209.676712328767,5396,5150,441532,10.308828396286545,33.916787530752096
1966,1967.25,267,589.0,975.5232876712329,3452,3185,356066,-11.043314433037317,49.06399473528595
1967,1968.25,257,859.0,1845.0956284153006,5513,5256,675305,68.25184363331466,43.05991739538596
1968,1969.25,281,877.0,2149.227397260274,8540,8259,784468,95.9852196315966,45.48328990653528
1969,1970.25,335,847.0,1539.454794520548,4874,4539,561901,40.3808579779083,50.717479614096895
1970,1971.25,320,706.0,1076.4602739726026,3139,2819,392908,-1.8390034073902854,57.490057879191966
1971,1972.25,276,642.5,780.120218579235,1881,1605,285524,-28.861863303901885,33.31852370906722
1972,1973.25,229,453.0,579.386301369863,1208,979,211476,-47.16652520330782,35.172575707741636
1973,1974.25,209,819.0,1116.5369863013698,2840,2631,407536,1.815539279846156,41.488795549893744
1974,1975.25,221,761.0,1595.6465753424657,5415,5194,582411,45.50491256604197,37.6863724328414
1975,1976.25,240,720.0,1560.6748633879781,5434,5194,571207,42.31588814869543,29.95337982992049
1976,1977.25,335,703.0,1132.978082191781,2831,2496,413537,3.3147811902991307,24.527019022308654
1977,1978.25,274,1051.0,1882.1041095890412,6348,6074,686968,71.6265983569485,25.768297815896084
1978,1979.25,338,859.0,1479.7452054794521,5326,4988,540107,34.9360190849885,28.132580456906325
1979,1980.25,312,845.5,1303.5765027322404,3068,2756,477109,18.871426783523184,43.19554174303886
1980,1981.25,284,667.0,1151.331506849315,3452,3168,420236,4.988405845877249,37.22907287243351
1981,1982.25,243,456.0,588.6164383561644,1437,1194,214845,-46.32484115126382,31.02247551283506
1982,1983.25,222,523.0,605.5561643835616,1117,895,221028,-44.78012981443152,21.278272615884298
1983,1984.25,212,449.5,652.8224043715848,1808,1596,238933,-40.469983555817336,6.530125867641449
1984,1985.25,199,486.0,727.8438356164384,1953,1754,265663,-33.62887791090414,6.893943323512428
1985,1986.25,201,440.0,748.9479452054794,3050,2849,273366,-31.704421914200402,4.952358044694217
1986,1987.25,240,602.0,793.3150684931506,2077,1837,289560,-27.658642294491152,23.220763446243495
1987,1988.25,225,457.5,773.6147540983607,2467,2242,283143,-29.455088053742216,26.807668443121553
1988,1989.25,209,637.0,1327.641095890411,3812,3603,484589,21.06584538318424,26.674026969796294
1989,1990.25,212,440.0,534.8438356164384,1028,816,195218,-51.22829407185375,30.606665930296874
1990,1991.25,199,422.0,771.0164383561644,2294,2095,281421,-29.692025048894855,30.85080189045418
1991,1992.25,175,451.0,479.12841530054646,905,730,175361,-56.30890997196572,15.293815359299542
1992,1993.25,164,408.0,873.2493150684932,3573,3409,318736,-20.369543481064134,17.823280819383168
1993,1994.25,156,325.0,574.9808219178083,1839,1683,209868,-47.5682550803297,18.535438832386593
1994,1995.25,133,270.0,410.2082191780822,1232,1099,149726,-62.59365201058497,18.280734873082338
1995,1996.25,115,275.0,359.89617486338796,819,704,131722,-67.18154115982043,26.512492084599852
1996,1997.25,103,365.0,547.1671232876712,1400,1297,199716,-50.104549677049995,32.299003152449565
1997,1998.25,157,514.0,1091.013698630137,3525,3368,398220,-0.5118957539448286,29.16760461404645
1998,1999.25,174,515.0,1055.2410958904109,3421,3247,385163,-3.7739523486431032,23.814129977417878
1999,2000.25,193,442.5,857.983606557377,3411,3218,314022,-21.761603362301873,15.831094684982167
2000,2001.25,140,593.0,1216.7698630136986,3677,3537,444121,10.955643478133357,15.638379945003525
2001,2002.25,195,542.0,794.7780821917809,2029,1834,290094,-27.525231999509998,20.487987991430064
2002,2003.25,194,596.0,1072.9205479452055,3846,3652,391616,-2.161786368280996,26.219996493455934
2003,2004.25,189,620.0,1317.568306010929,4339,4150,482230,20.147320922091993,23.935743761672228
2004,2005.25,194,458.0,631.6767123287672,1337,1143,230562,-42.39823140179053,29.328030804564538
2005,2006.25,157,566.0,960.1178082191781,2684,2527,350443,-12.448119842548563,30.52753963971418
2006,2007.25,210,690.0,1457.109589041096,4543,4333,531845,32.871906992976776,33.65554803797314
2007,2008.25,237,809.0,1300.2349726775956,3367,3130,475886,18.56671705271481,24.860585799432712
2008,2009.25,182,731.0,1504.1178082191782,5796,5614,549003,37.15852467328871,14.838493001697747
2009,2010.25,213,854.0,1685.4493150684932,5149,4936,615189,53.69390629055908,19.803168517728206
2010,2011.25,225,934.0,1681.8739726027397,4356,4131,613884,53.3678755134984,19.176157465569148
2011,2012.25,244,688.5,1210.0874316939892,3544,3300,442892,10.346281355011442,19.957387394246577
2012,2013.25,222,690.0,1336.6191780821919,3615,3393,487866,21.8845448900255,32.540110218992325
2013,2014.25,195,809.0,1340.5260273972603,3575,3380,489292,22.240805340668043,24.713615667936484
2014,2015.25,209,542.0,697.1917808219179,1460,1251,254475,-36.423998473168375,24.28730741111659
2015,2016.25,176,482.0,1013.4071038251366,2976,2800,370907,-7.5887390638276955,
2016,2017.25,157,566.0,1081.3643835616438,3890,3733,394698,-1.39180410398905,
