Year,MonthNo,MonthName,Energy
1993,7, Jul ,78.9
1993,8, Aug ,42.7
1993,9, Sep ,27.3
1993,10, Oct ,15.4
1993,11, Nov ,18.5
1993,12, Dec ,28.6
1994,1, Jan ,46.5
1994,2, Feb ,66.1
1994,3, Mar ,113
1994,4, Apr ,120
1994,5, May ,107.5
1994,6, Jun ,127.4
1994,7, Jul ,78.9
1994,8, Aug ,42.7
1994,9, Sep ,27.3
1994,10, Oct ,20
1994,11, Nov ,18.1
1994,12, Dec ,35.3
1995,1, Jan ,54.1
1995,2, Feb ,82
1995,3, Mar ,126.2
1995,4, Apr ,128.8
1995,5, May ,115.9
1995,6, Jun ,53.2
1995,7, Jul ,36.7
1995,8, Aug ,28.8
1995,9, Sep ,19.6
1995,10, Oct ,12.7
1995,11, Nov ,12.3
1995,12, Dec ,21.2
1996,1, Jan ,36.7
1996,2, Feb ,46.3
1996,3, Mar ,77.1
1996,4, Apr ,119.7
1996,5, May ,114.2
1996,6, Jun ,50.1
1996,7, Jul ,31.7
1996,8, Aug ,23.5
1996,9, Sep ,14.2
1996,10, Oct ,4.2
1996,11, Nov ,5.2
1996,12, Dec ,22.6
1997,1, Jan ,38.8
1997,2, Feb ,48.7
1997,3, Mar ,69.7
1997,4, Apr ,86.4
1997,5, May ,100
1997,6, Jun ,54.9
1997,7, Jul ,33.9
1997,8, Aug ,24.9
1997,9, Sep ,15.3
1997,10, Oct ,4.9
1997,11, Nov ,5
1997,12, Dec ,20.3
1998,1, Jan ,42.1
1998,2, Feb ,69.6
1998,3, Mar ,98.6
1998,4, Apr ,121.9
1998,5, May ,139.7
1998,6, Jun ,110.9
1998,7, Jul ,53.7
1998,8, Aug ,32.8
1998,9, Sep ,21.2
1998,10, Oct ,15.7
1998,11, Nov ,14
1998,12, Dec ,25.8
1999,1, Jan ,60.2
1999,2, Feb ,86.9
1999,3, Mar ,123.5
1999,4, Apr ,99.4
1999,5, May ,109.7
1999,6, Jun ,126.2
1999,7, Jul ,83.4
1999,8, Aug ,50.8
1999,9, Sep ,33.6
1999,10, Oct ,22.5
1999,11, Nov ,17.2
1999,12, Dec ,33.2
2000,1, Jan ,62.6
2000,2, Feb ,87
2000,3, Mar ,126.2
2000,4, Apr ,110.3
2000,5, May ,105.9
