Year,Month,Rainfall
1959,8,0
1959,9,0
1959,10,1
1959,11,97.8
1959,12,295.3
1960,1,149.5
1960,2,254.1
1960,3,73.4
1960,4,36.9
1960,5,0.8
1960,6,0
1960,7,0
1960,8,0
1960,9,0
1960,10,0.3
1960,11,76.3
1960,12,201.9
1961,1,235.7
1961,2,201.1
1961,3,268.9
1961,4,72.1
1961,5,4.6
1961,6,0
1961,7,0
1961,8,0
1961,9,0
1961,10,30.2
1961,11,136.2
1961,12,137.6
1962,1,416.9
1962,2,223.1
1962,3,40.1
1962,4,58.2
1962,5,0
1962,6,0
1962,7,0
1962,8,0
1962,9,0
1962,10,4.4
1962,11,102.9
1962,12,325.6
1963,1,146.4
1963,2,254.5
1963,3,182.5
1963,4,13.3
1963,5,0
1963,6,0
1963,7,0
1963,8,0
1963,9,0.5
1963,10,42.2
1963,11,210.6
1963,12,251.1
1964,1,225.2
1964,2,78
1964,3,38.9
1964,4,0
1964,5,5.1
1964,6,0
1964,7,0
1964,8,0
1964,9,0
1964,10,16.2
1964,11,86
1964,12,172.3
1965,1,166.5
1965,2,94.7
1965,3,58
1965,4,54.8
1965,5,0
1965,6,7.9
1965,7,0
1965,8,0
1965,9,0
1965,10,9.9
1965,11,213.7
1965,12,190.5
1966,1,223.4
1966,2,222.8
1966,3,149.3
1966,4,52.6
1966,5,0
1966,6,12.7
1966,7,0
1966,8,2.8
1966,9,0
1966,10,7.1
1966,11,46
1966,12,132.6
1967,1,292.7
1967,2,71.7
1967,3,128.7
1967,4,51
1967,5,0
1967,6,0
1967,7,0
1967,8,0
1967,9,0
1967,10,52.8
1967,11,183.4
1967,12,251.3
1968,1,287.8
1968,2,79.6
1968,3,108.1
1968,4,115.6
1968,5,0
1968,6,0
1968,7,0
1968,8,0
1968,9,0.8
1968,10,13.5
1968,11,199.8
1968,12,160.9
1969,1,110.4
1969,2,412.8
1969,3,201.8
1969,4,52.4
1969,5,0
1969,6,0
1969,7,0
1969,8,0
1969,9,0
1969,10,99.2
1969,11,110.4
1969,12,155.3
1970,1,168.9
1970,2,156.3
1970,3,84.2
1970,4,30
1970,5,0
1970,6,0
1970,7,0
1970,8,0
1970,9,0.8
1970,10,46.2
1970,11,143.5
1970,12,113
1971,1,250.9
1971,2,204
1971,3,80.1
1971,4,80.1
1971,5,37.6
1971,6,0.5
1971,7,0
1971,8,0
1971,9,1.1
1971,10,10.5
1971,11,37.9
1971,12,145.2
1972,1,269.9
1972,2,71.4
1972,3,278.2
1972,4,108.6
1972,5,2.8
1972,6,0
1972,7,0
1972,8,0
1972,9,19
1972,10,20.1
1972,11,25.7
1972,12,182.4
1973,1,103.7
1973,2,176.8
1973,3,67.8
1973,4,0
1973,5,0
1973,6,0
1973,7,0
1973,8,0
1973,9,0
1973,10,87.3
1973,11,57.1
1973,12,277.3
1974,1,275.6
1974,2,303.5
1974,3,111.2
1974,4,28.9
1974,5,42.5
1974,6,0
1974,7,0
1974,8,0
1974,9,5.9
1974,10,45
1974,11,88.3
1974,12,239.8
1975,1,271.8
1975,2,196.4
1975,3,198.2
1975,4,40.5
1975,5,0
1975,6,0
1975,7,0
1975,8,0
1975,9,3.8
1975,10,34.8
1975,11,25.6
1975,12,266.3
1976,1,231.2
1976,2,244.2
1976,3,210.5
1976,4,65.6
1976,5,23.6
1976,6,0
1976,7,0
1976,8,0
1976,9,1.8
1976,10,52.3
1976,11,79.7
1976,12,176.2
1977,1,71.7
1977,2,99
1977,3,228.3
1977,4,34.1
1977,5,3.5
1977,6,0
1977,7,0
1977,8,12.5
1977,9,9.8
1977,10,13.5
1977,11,78.6
1977,12,295.2
1978,1,179.7
1978,2,289.8
1978,3,286.7
1978,4,148
1978,5,3.4
1978,6,0
1978,7,0
1978,8,0
1978,9,1.8
1978,10,44.8
1978,11,195.3
1978,12,161.4
1979,1,194.2
1979,2,73.4
1979,3,187.8
1979,4,0.7
1979,5,0
1979,6,0
1979,7,0
1979,8,10.6
1979,9,0
1979,10,17
1979,11,204.9
1979,12,191.6
1980,1,132.1
1980,2,148.9
1980,3,153.3
1980,4,39
1980,5,0
1980,6,0
1980,7,0
1980,8,0
1980,9,0
1980,10,50.3
1980,11,131.2
1980,12,228.9
1981,1,158
1981,2,331.2
1981,3,244
1981,4,9.5
1981,5,0
1981,6,0
1981,7,0
1981,8,20
1981,9,0
1981,10,2.9
1981,11,58
1981,12,102.1
1982,1,177.4
1982,2,128.7
1982,3,59.5
1982,4,18.5
1982,5,2.1
1982,6,0
1982,7,0
1982,8,0
1982,9,9.9
1982,10,17.9
1982,11,208.7
1982,12,101.6
1983,1,236.9
1983,2,124.9
1983,3,102.9
1983,4,27.1
1983,5,15.5
1983,6,0
1983,7,0
1983,8,0
1983,9,0
1983,10,32.4
1983,11,78.5
1983,12,142.8
1984,1,102.7
1984,2,147.8
1984,3,105
1984,4,31.3
1984,5,0
1984,6,0
1984,7,0
1984,8,0
1984,9,7.1
1984,10,39.1
1984,11,140.9
1984,12,178.6
1985,1,130.5
1985,2,254.3
1985,3,62
1985,4,19.9
1985,5,1.4
1985,6,0
1985,7,0
1985,8,0
1985,9,0
1985,10,17.6
1985,11,53.4
1985,12,224.2
1986,1,227.8
1986,2,150
1986,3,160.9
1986,4,46.4
1986,5,2
1986,6,0
1986,7,0
1986,8,0
1986,9,1.6
1986,10,76.9
1986,11,129.6
1986,12,142.6
1987,1,164.1
1987,2,166
1987,3,83.8
1987,4,0
1987,5,4.6
1987,6,0
1987,7,0
1987,8,0
1987,9,0
1987,10,14.8
1987,11,39.8
1987,12,275.7
1988,1,195.8
1988,2,89.4
1988,3,209.4
1988,4,86
1988,5,0
1988,6,0
1988,7,0
1988,8,0
1988,9,1.5
1988,10,16.6
1988,11,40.3
1988,12,194.6
1989,1,253.7
1989,2,318.4
1989,3,168.1
1989,4,53.9
1989,5,0
1989,6,0
1989,7,0
1989,8,0
1989,9,0
1989,10,42.7
1989,11,20.9
1989,12,216.9
1990,1,368.2
1990,2,164.5
1990,3,63.6
1990,4,35.3
1990,5,2.4
1990,6,0
1990,7,0
1990,8,0
1990,9,1
1990,10,23.2
1990,11,66.9
1990,12,151.1
1991,1,239.5
1991,2,261.8
1991,3,143.8
1991,4,0
1991,5,0
1991,6,0
1991,7,0
1991,8,0
1991,9,0
1991,10,22.7
1991,11,56.6
1991,12,241.7
1992,1,131.3
1992,2,109.4
1992,3,125
1992,4,12.3
1992,5,4.2
1992,6,0
1992,7,0
1992,8,0
1992,9,0
1992,10,29.4
1992,11,39.5
1992,12,172.4
1993,1,377.6
1993,2,260.8
1993,3,157.4
1993,4,198.7
1993,5,0
1993,6,0
1993,7,0
1993,8,0
1993,9,4.5
1993,10,6.8
1993,11,151.7
1993,12,99.2
1994,1,287.8
1994,2,152.5
1994,3,7.1
1994,4,15.6
1994,5,0
1994,6,0
1994,7,0
1994,8,0
1994,9,0
1994,10,0
1994,11,58.3
1994,12,98.9
1995,1,82.9
1995,2,282.9
1995,3,116.8
1995,4,0
1995,5,0
1995,6,0
1995,7,0
1995,8,0
1995,9,0
1995,10,0.4
1995,11,55.3
1995,12,169.4
1996,1,258.8
1996,2,209.2
1996,3,68.5
1996,4,1.8
1996,5,2.4
1996,6,0
1996,7,0
1996,8,0
1996,9,0
1996,10,9.8
1996,11,68.8
1996,12,107.2
1997,1,233.8
1997,2,304.7
1997,3,101.8
1997,4,0.7
1997,5,1.9
1997,6,0
1997,7,0
1997,8,0
1997,9,3.7
1997,10,48.1
1997,11,120.4
1997,12,126.3
1998,1,362.5
1998,2,127.9
1998,3,126
1998,4,4.3
1998,5,0
1998,6,0
1998,7,0
1998,8,0
1998,9,0.9
1998,10,13
1998,11,97.8
1998,12,388.3
1999,1,228.4
1999,2,161.6
1999,3,223.1
1999,4,0
1999,5,0
1999,6,0
1999,7,0
1999,8,0
1999,9,0
1999,10,39.7
1999,11,55.8
1999,12,156.7
2000,1,198.4
2000,2,216.4
2000,3,295.6
2000,4,21
2000,5,7.4
2000,6,0
2000,7,0
2000,8,0
2000,9,0
2000,10,0.5
2000,11,161.8
2000,12,327.4
2001,1,168.5
2001,2,268.1
2001,3,89
2001,4,9.4
2001,5,0
2001,6,0
2001,7,0
2001,8,0
2001,9,0
2001,10,19.8
2001,11,128
2001,12,133.7
2002,1,219.5
2002,2,273.1
2002,3,104.2
2002,4,120.6
2002,5,0
2002,6,0
2002,7,0
2002,8,0.6
2002,9,2.3
2002,10,12.8
2002,11,124.7
2002,12,202.4
2003,1,172.6
2003,2,196.4
2003,3,100
2003,4,51.6
2003,5,0
2003,6,0
2003,7,0
2003,8,0
2003,9,0
2003,10,24.9
2003,11,57
2003,12,211.3
2004,1,275.2
2004,2,192.1
2004,3,312.1
2004,4,0
2004,5,0
2004,6,0
2004,7,0
2004,8,0
2004,9,37.4
2004,10,29.6
2004,11,45.5
2004,12,92.5
2005,1,102.4
2005,2,100.8
2005,3,81.3
2005,4,31.8
2005,5,0
2005,6,0
2005,7,0
2005,8,0
2005,9,0
2005,10,1
2005,11,104.3
2005,12,260.6
2006,1,172.1
2006,2,186
2006,3,142.3
2006,4,12.6
2006,5,0
